"","team_id","player_id","rank","player","k_7","season"
"1",615,29716,1,"Julie Graf","13.7",2019
"2",601,77208,2,"Lindsey Thayer","13.6",2017
"3",615,29716,3,"Julie Graf","13.5",2021
"4",685,55309,4,"Katie Murphy","13.1",2022
"5",789,45068,5,"Sadie Leonard","12.9",2025
"6",46,11082,6,"Nikki Camarati","12.9",2022
"7",745,36961,7,"Hanna Hull","12.6",2019
"8",789,45068,8,"Sadie Leonard","12.1",2023
"9",1133,72943,9,"Mckenna Smith","12.0",2022
"10",146,86634,10,"Olivia Zoeller","11.9",2021
"11",745,36961,11,"Hanna Hull","11.9",2017
"12",1036,25173,12,"Gina Followell","11.8",2021
"13",114,27969,13,"Anna Gernant","11.7",2017
"14",18,83775,14,"Jessica Wilcox","11.5",2021
"15",1036,25173,15,"Gina Followell","11.5",2022
"16",578,50467,16,"Maggie McCray","11.4",2025
"17",601,77208,17,"Lindsey Thayer","11.4",2018
"18",9500,16566,18,"Trinity Critelli","11.4",2023
"19",46,11082,19,"Nikki Camarati","11.3",2021
"20",60,71891,20,"Kayla Simacek","11.2",2021
"21",1400,63922,21,"Maitlin Raycroft","11.1",2017
"22",161,27643,22,"Megan Gavin","11.0",2022
"23",313,15691,23,"Anna Cornell","11.0",2025
"24",530,34741,24,"Fiona Higgins","10.8",2023
"25",615,29716,25,"Julie Graf","10.8",2018
"26",966,62453,26,"Juliana Presto","10.8",2022
"27",161,27643,27,"Megan Gavin","10.7",2021
"28",45,57499,28,"Moira O'reilly","10.6",2022
"29",120,58446,29,"Amanda Osterhus","10.6",2018
"30",1064,69231,30,"Elisabeth Schaffer","10.6",2018
"31",615,29716,31,"Julie Graf","10.5",2017
"32",286,39442,32,"Sydney Jones","10.4",2017
"33",263,16150,33,"Cheyanne Cox","10.4",2022
"34",364,33824,34,"Ashlyn Hemm","10.3",2022
"35",467,3784,35,"Taylor Barbour","10.2",2019
"36",177,34027,36,"Cami Henry","10.2",2021
"37",1451,66584,37,"Jazmyn Rohrer","10.2",2018
"38",300,83682,38,"Ally Wiegand","10.2",2018
