"","team_id","player_id","rank","player","opp_avg","season"
"1",30052,72880,1,"Kylee Smith",0.12,2019
"2",533,27072,2,"Gisselle Garcia",0.122,2025
"3",608,5917,2,"Kayla Betts",0.122,2023
"4",3,34619,4,"Lindsey Hibbs",0.125,2023
"5",30199,57129,5,"Callie Nunes",0.128,2018
"6",383,81883,6,"Mackenzie Ward",0.129,2022
"7",159,19021,7,"Darby Demarest",0.134,2019
"8",1057,5910,8,"Kristina Bettis",0.135,2022
"9",30052,72880,8,"Kylee Smith",0.135,2018
"10",262,45773,10,"Allison Lipovsky",0.136,2018
"11",1376,66483,11,"Brinson Rogers",0.138,2025
"12",262,45773,12,"Allison Lipovsky",0.144,2017
"13",383,65222,13,"Coley Ries",0.145,2017
"14",11403,16337,13,"Kali Crandall",0.145,2023
"15",309,72866,15,"Kenzee Smith",0.146,2022
"16",30052,72880,16,"Kylee Smith",0.147,2021
"17",30199,57129,17,"Callie Nunes",0.148,2019
"18",30220,2756,17,"Paige Austin",0.148,2022
"19",1438,1498,19,"Makenzie Amend",0.149,2022
"20",262,4755,20,"Hannah Beatus",0.15,2022
"21",10870,67440,21,"Madelayne Ruffner",0.152,2025
"22",8875,65893,22,"Kayla Robins",0.153,2017
"23",383,81883,22,"Mackenzie Ward",0.153,2021
"24",1328,75270,24,"Lexie Storrer",0.154,2021
"25",262,22171,25,"Genesis Eggart",0.155,2022
"26",591,37658,26,"Macy Irelan",0.156,2025
"27",262,45773,27,"Allison Lipovsky",0.157,2019
"28",701,44517,27,"Alyssa Leblanc",0.157,2023
"29",1072,36324,27,"Hannah Houge",0.157,2019
"30",30179,19757,27,"Jill Dickson",0.157,2023
"31",947,31006,31,"Jalissa Gum",0.158,2017
"32",30052,18068,31,"Kristen Davis",0.158,2023
"33",30028,644,31,"Primrose Aholelei",0.158,2025
"34",593,60568,34,"Morgan Perry",0.159,2021
"35",1438,1498,35,"Makenzie Amend",0.16,2021
"36",30244,60750,36,"Jodasea Peterson",0.161,2023
"37",689,23940,36,"Mary beth Feldman",0.161,2022
"38",30220,2756,36,"Paige Austin",0.161,2019
"39",3,55042,39,"Ally Muller",0.162,2021
"40",25,48645,40,"Brandy Marlett",0.164,2017
"41",280,67685,40,"Joni Russell",0.164,2023
"42",309,72866,40,"Kenzee Smith",0.164,2021
"43",13028,49767,40,"Laken Maxwell",0.164,2022
"44",3,34619,40,"Lindsey Hibbs",0.164,2022
"45",947,44053,40,"Shannon Lasey",0.164,2022
"46",436,69135,46,"Annie Scaramuzzi",0.165,2023
"47",280,67685,46,"Joni Russell",0.165,2025
"48",790,41681,46,"Jordyn Kleman",0.165,2019
"49",309,25464,49,"Haylie Foster",0.166,2022
"50",790,36481,50,"Izzy Howe",0.168,2025
"51",309,72866,50,"Kenzee Smith",0.168,2023
"52",30244,21518,52,"Keivana Durand",0.169,2025
"53",9012,61153,52,"Kiki Pickens",0.169,2025
"54",41,22401,54,"Amber Elliott",0.17,2022
"55",593,34668,54,"Haile Hicks",0.17,2023
"56",30180,54148,56,"Andrea Morales",0.171,2022
"57",584,85374,56,"Ashley Worrell",0.171,2022
"58",1116,37004,56,"Autumn Humes",0.171,2017
"59",262,4755,56,"Hannah Beatus",0.171,2023
"60",10,8023,56,"Katie Bracken",0.171,2023
"61",30202,39339,56,"Kayleigh Jones",0.171,2023
"62",11740,76158,56,"Kelsey Sweatt",0.171,2019
"63",30093,12649,56,"Reese Cauley",0.171,2025
"64",197,17824,56,"Sarah Davenport",0.171,2025
"65",757,10530,65,"Lyndsay Butler",0.172,2017
"66",1448,40055,66,"Anna Kasner",0.173,2021
"67",30045,457,66,"Ashton Adkins",0.173,2018
"68",360,72450,66,"Bekah Slattery",0.173,2019
"69",533,27072,66,"Gisselle Garcia",0.173,2023
"70",675,12653,66,"Jacqueline Cautela",0.173,2017
"71",1123,73465,66,"Michelle Sorensen",0.173,2017
"72",30199,32906,72,"Grayson Harvey",0.174,2017
"73",230,55341,72,"Melanie Murphy",0.174,2018
"74",9004,28325,72,"Mikayla Gilgert",0.174,2021
"75",2755,52842,75,"Claire Miller",0.176,2018
"76",1314,65846,75,"Emmie Robertson",0.176,2017
"77",309,82160,75,"Hallie Waters",0.176,2021
"78",10870,75706,75,"Lori Sturgill",0.176,2019
"79",30063,67854,75,"Morgan Ryan",0.176,2022
"80",1057,5910,80,"Kristina Bettis",0.177,2023
"81",1170,63375,80,"Lauren Rakes",0.177,2022
"82",1438,1498,80,"Makenzie Amend",0.177,2018
"83",25,25048,83,"Cheyenne Floyd",0.178,2025
"84",790,41681,83,"Jordyn Kleman",0.178,2017
"85",1072,33949,83,"Morgan Hendrix",0.178,2018
"86",30058,77457,83,"Shaniya Thomas",0.178,2019
"87",30177,25715,83,"Taylor Franco",0.178,2023
"88",30052,19213,83,"Tybee Denton",0.178,2023
"89",30045,10393,89,"Abbey Busby",0.179,2021
"90",30052,72880,89,"Kylee Smith",0.179,2017
"91",30028,28837,89,"Tatum Goff",0.179,2023
"92",1013,49365,92,"Addison Mass",0.18,2025
"93",9223,14467,92,"Amanda Coffrin",0.18,2018
"94",1274,360,92,"Jordan Adams",0.18,2018
"95",689,20554,92,"Makaleigh Dooley",0.18,2019
"96",427,20158,96,"Lauren Dixon",0.181,2023
"97",2814,18726,96,"Megan Deiter",0.181,2018
"98",1072,33949,96,"Morgan Hendrix",0.181,2019
"99",9004,25137,96,"Samantha Fohrman",0.181,2021
"100",30138,62976,100,"Ellie Quaethem",0.182,2023
"101",30028,25483,100,"Payton Foster",0.182,2021
"102",10870,75085,100,"Taylor Stocks",0.182,2019
