"","team_id","player_id","rank","player","hr","season"
"1",414,73647,1,"Karli Spaid",35,2024
"2",522,1274,2,"Jocelyn Alo",34,2021
"3",782,3912,3,"Addison Barnard",33,2022
"4",522,1274,4,"Jocelyn Alo",32,2022
"5",522,1274,5,"Jocelyn Alo",30,2018
"6",671,68494,6,"Dj Sanders",29,2017
"7",29,32447,7,"Jessie Harper",28,2019
"8",47,77930,7,"Mckayla Timmons",28,2024
"9",414,73647,7,"Karli Spaid",28,2022
"10",110,29852,10,"Megan Grant",27,2025
"11",414,28943,10,"Jenna Golembiewski",27,2024
"12",522,38506,10,"Tiare Jennings",27,2021
"13",8,33829,13,"Bailey Hemphill",26,2019
"14",31,22440,13,"Bri Ellis",26,2025
"15",430,17880,13,"Mia Davidson",26,2019
"16",31,10281,16,"Braxton Burnside",25,2021
"17",294,9072,16,"Ava Brown",25,2025
"18",472,36242,16,"Kelsey Horton",25,2018
"19",518,10250,16,"Jasmyn Burns",25,2025
"20",522,38506,16,"Tiare Jennings",25,2022
"21",694,53071,16,"Kiki Milloy",25,2023
"22",697,44651,16,"Haley Lee",25,2021
"23",29,72285,23,"Allie Skaggs",24,2022
"24",355,67189,23,"Rachel Roupe",24,2025
"25",458,80055,23,"Bailey Vannoy",24,2022
"26",522,32156,23,"Kinzie Hansen",24,2021
"27",756,41743,23,"Baylee Klingler",24,2022
"28",782,3912,23,"Addison Barnard",24,2024
"29",62,1112,29,"Elisa Allen",23,2025
"30",66,10558,29,"Makenzie Butt",23,2025
"31",110,85301,29,"Jordan Woolery",23,2025
"32",149,56729,29,"Morgan Noad",23,2016
"33",234,82027,29,"Jessie Warren",23,2017
"34",257,37645,29,"Tina Iosefa",23,2016
"35",257,19670,29,"Alyssa Dicarlo",23,2019
"36",306,40854,29,"Taryn Kern",23,2023
"37",317,29447,29,"Kate Gordon",23,2019
"38",367,66065,29,"Taylor Roby",23,2023
"39",463,3158,29,"Jordyn Bahl",23,2025
"40",509,45395,29,"Rachel Lewis",23,2022
"41",703,2692,29,"Reese Atwood",23,2024
"42",756,24997,29,"Morganne Flores",23,2019
"43",1092,62393,29,"Katie Prebble",23,2018
"44",29,49694,44,"Katiyana Mauga",22,2017
"45",29,54997,44,"Dejah Mulipola",22,2019
"46",31,48055,44,"Linnie Malkin",22,2022
"47",164,38421,44,"Grace Jenkins",22,2025
"48",191,67619,44,"Linda Rush",22,2019
"49",199,38150,44,"Mariah Jameyson",22,2018
"50",202,55352,44,"Paige Murphy",22,2018
"51",235,71606,44,"Taylor Shumaker",22,2025
"52",254,45903,44,"Megan Litumbe",22,2017
"53",402,61106,44,"Erika Piancastelli",22,2018
"54",402,61106,44,"Erika Piancastelli",22,2016
"55",414,73647,44,"Karli Spaid",22,2023
"56",430,17880,44,"Mia Davidson",22,2022
"57",430,44861,44,"Ulufa Leilua",22,2019
"58",458,66185,44,"Arianna Rodi",22,2024
"59",504,9888,44,"Sammey Bunch",22,2021
"60",522,47310,44,"Grace Lyons",22,2022
"61",522,38506,44,"Tiare Jennings",22,2024
"62",600,70507,44,"Jordan Seneca",22,2017
"63",661,35311,44,"Haley Hodges",22,2016
"64",782,3912,44,"Addison Barnard",22,2021
"65",10411,57543,44,"Alyssa Oakes",22,2019
"66",28,68490,66,"Cydney Sanders",21,2022
"67",29,74942,66,"Sydney Stewart",21,2025
"68",29,54997,66,"Dejah Mulipola",21,2021
"69",29,49694,66,"Katiyana Mauga",21,2016
"70",31,33568,66,"Rylin Hedgecock",21,2023
"71",37,15466,66,"Kasey Cooper",21,2016
"72",77,8768,66,"Ilove'a Brittingham",21,2025
"73",149,35970,66,"Georgia Hood",21,2025
"74",234,82027,66,"Jessie Warren",21,2018
"75",257,19670,66,"Alyssa Dicarlo",21,2018
"76",311,84206,66,"Sami Williams",21,2021
"77",317,29447,66,"Kate Gordon",21,2021
"78",386,50618,66,"Miah Mcdonald",21,2024
"79",386,61623,66,"Maddie Pleasants",21,2025
"80",414,28943,66,"Jenna Golembiewski",21,2025
"81",414,42016,66,"Kate Kobayashi",21,2024
"82",428,57552,66,"Jess Oakland",21,2024
"83",457,47254,66,"Kendra Lynch",21,2017
"84",458,46508,66,"Jenna Lord",21,2025
"85",463,43076,66,"Ava Kuszak",21,2025
"86",463,41911,66,"Mj Knighten",21,2016
"87",518,59200,66,"Hadley Parisien",21,2025
"88",703,2692,66,"Reese Atwood",21,2025
"89",742,51353,66,"Cori Mcmillan",21,2024
"90",756,559,66,"Ali Aguilar",21,2016
"91",782,60508,66,"Madison Perrigan",21,2021
"92",1104,24331,66,"Kristin Fifield",21,2023
"93",28,31317,93,"Maddi Hackbarth",20,2021
"94",29,58891,93,"Sharlize Palacios",20,2022
"95",31,28131,93,"Danielle Gibson",20,2022
"96",37,22440,93,"Bri Ellis",20,2022
"97",37,64851,93,"Jade Rhodes",20,2016
"98",37,80314,93,"Kendall Veach",20,2019
"99",77,38544,93,"Rylee Jensen",20,2021
"100",110,58891,93,"Sharlize Palacios",20,2024
"101",149,40393,93,"Delaney Keith",20,2025
"102",196,37853,93,"Emma Jackson",20,2025
"103",234,82027,93,"Jessie Warren",20,2016
"104",249,15042,93,"Jenna Cone",20,2019
"105",257,54749,93,"Sara Mosley",20,2024
"106",388,62956,93,"Saige Pye",20,2022
"107",428,42597,93,"Taylor Krapf",20,2025
"108",428,45598,93,"Kendyl Lindaman",20,2018
"109",428,45598,93,"Kendyl Lindaman",20,2017
"110",430,44861,93,"Ulufa Leilua",20,2021
"111",463,1835,93,"Billie Andrews",20,2022
"112",464,82045,93,"Nicole Warren",20,2016
"113",472,73727,93,"Desirae Spearman",20,2025
"114",503,55614,93,"Emily Naegele",20,2016
"115",513,8913,93,"Cait Brooks",20,2019
"116",518,53054,93,"Reagan Milliken",20,2025
"117",518,61450,93,"Lilli Piper",20,2018
"118",518,42371,93,"Kami Kortokrax",20,2025
"119",522,27067,93,"Gabbie Garcia",20,2025
"120",609,48070,93,"Abby Mallo",20,2025
"121",700,32876,93,"Jessica Hartwell",20,2018
"122",739,67541,93,"Maranda Runco",20,2025
