"","team_id","player_id","rank","player","xbh","season"
"1",522,38506,1,"Tiare Jennings",52,2021
"2",306,53206,2,"Taylor Minnick",50,2025
"3",414,73647,3,"Karli Spaid",48,2024
"4",522,1274,4,"Jocelyn Alo",47,2021
"5",110,85301,5,"Jordan Woolery",45,2025
"6",355,67189,6,"Rachel Roupe",44,2025
"7",522,1274,6,"Jocelyn Alo",44,2022
"8",311,84206,8,"Sami Williams",43,2019
"9",386,50618,8,"Miah Mcdonald",43,2024
"10",402,61106,8,"Erika Piancastelli",43,2018
"11",164,38421,11,"Grace Jenkins",42,2025
"12",234,71257,11,"Sydney Sherrill",42,2018
"13",416,25122,11,"Lea Foerster",42,2017
"14",466,38402,11,"Aaliyah Jenkins",42,2025
"15",671,68494,11,"Dj Sanders",42,2017
"16",1104,24331,11,"Kristin Fifield",42,2023
"17",37,15466,17,"Kasey Cooper",41,2016
"18",191,67619,17,"Linda Rush",41,2019
"19",234,82027,17,"Jessie Warren",41,2017
"20",414,28943,17,"Jenna Golembiewski",41,2024
"21",428,57552,17,"Jess Oakland",41,2024
"22",463,3158,17,"Jordyn Bahl",41,2025
"23",47,77930,23,"Mckayla Timmons",40,2024
"24",110,29852,23,"Megan Grant",40,2025
"25",202,55352,23,"Paige Murphy",40,2018
"26",235,71606,23,"Taylor Shumaker",40,2025
"27",317,29447,23,"Kate Gordon",40,2019
"28",414,73647,23,"Karli Spaid",40,2022
"29",518,10250,23,"Jasmyn Burns",40,2025
"30",522,66753,23,"Sydney Romero",40,2019
"31",661,35311,23,"Haley Hodges",40,2016
"32",782,3912,23,"Addison Barnard",40,2022
"33",29,59000,33,"Alyssa Palomino",39,2019
"34",196,37853,33,"Emma Jackson",39,2024
"35",257,19670,33,"Alyssa Dicarlo",39,2019
"36",294,9072,33,"Ava Brown",39,2025
"37",311,84206,33,"Sami Williams",39,2021
"38",367,30207,33,"Carmyn Greenwood",39,2022
"39",458,80055,33,"Bailey Vannoy",39,2022
"40",539,41776,33,"Brooke Klosowicz",39,2025
"41",756,41743,33,"Baylee Klingler",39,2022
"42",1356,12613,33,"Madison Cathcart",39,2018
"43",29,32447,43,"Jessie Harper",38,2019
"44",193,17862,43,"Claire Davidson",38,2024
"45",402,61106,43,"Erika Piancastelli",38,2016
"46",458,46508,43,"Jenna Lord",38,2025
"47",464,82045,43,"Nicole Warren",38,2016
"48",694,53071,43,"Kiki Milloy",38,2023
"49",700,32876,43,"Jessica Hartwell",38,2018
"50",703,74684,43,"Lindsey Stephens",38,2016
"51",66,10558,51,"Makenzie Butt",37,2025
"52",115,50312,51,"Rachel Mccollum",37,2018
"53",129,74586,51,"Shannon Stein",37,2022
"54",149,66841,51,"Keirstin Roose",37,2025
"55",229,46014,51,"Emily Lochten",37,2018
"56",255,6413,51,"Mallorie Black",37,2024
"57",257,19670,51,"Alyssa Dicarlo",37,2018
"58",302,82564,51,"Kayla Wedl",37,2021
"59",306,40854,51,"Taryn Kern",37,2023
"60",459,77414,51,"Lindsay Thomas",37,2016
"61",504,9888,51,"Sammey Bunch",37,2021
"62",522,1274,51,"Jocelyn Alo",37,2018
"63",587,72965,51,"Morgan Smith",37,2024
"64",670,79965,51,"Sara Vanderford",37,2024
"65",101,74822,65,"Megan Stevens",36,2019
"66",110,61781,65,"Savannah Pola",36,2025
"67",191,19974,65,"Kristi Dimeo",36,2019
"68",234,82027,65,"Jessie Warren",36,2018
"69",299,18363,65,"Jordan De los reyes",36,2017
"70",428,42597,65,"Taylor Krapf",36,2025
"71",439,4046,65,"Lindsey Baron",36,2019
"72",454,8353,65,"Logan Braundmeier",36,2022
"73",458,80055,65,"Bailey Vannoy",36,2021
"74",472,36242,65,"Kelsey Horton",36,2018
"75",522,38506,65,"Tiare Jennings",36,2024
"76",522,14225,65,"Caleigh Clifton",36,2019
"77",661,23460,65,"Lexi Fair",36,2022
"78",703,2692,65,"Reese Atwood",36,2025
"79",703,2692,65,"Reese Atwood",36,2024
"80",711,52663,65,"Brook Miko",36,2018
"81",756,559,65,"Ali Aguilar",36,2016
"82",782,3912,65,"Addison Barnard",36,2024
"83",796,42270,65,"Kayla Konwent",36,2019
"84",8,33829,84,"Bailey Hemphill",35,2019
"85",28,31316,84,"Kindra Hackbarth",35,2019
"86",28,68490,84,"Cydney Sanders",35,2022
"87",31,22440,84,"Bri Ellis",35,2025
"88",101,36253,84,"Savannah Horvath",35,2018
"89",110,60325,84,"Briana Perez",35,2022
"90",110,73715,84,"Delaney Spaulding",35,2017
"91",147,10803,84,"Valerie Cagle",35,2023
"92",234,32291,84,"Kalei Harding",35,2023
"93",235,81601,84,"Skylar Wallace",35,2024
"94",355,6299,84,"Autumn Bishop",35,2018
"95",402,55181,84,"Jada Munoz",35,2025
"96",414,6671,84,"Holly Blaska",35,2024
"97",428,47504,84,"Sam Macken",35,2016
"98",428,19128,84,"Natalie Denhartog",35,2019
"99",463,43076,84,"Ava Kuszak",35,2025
"100",466,58863,84,"Haley Painter",35,2025
"101",466,58863,84,"Haley Painter",35,2024
"102",498,9239,84,"Morgan Brown",35,2025
"103",502,54146,84,"Amailee Morales",35,2024
"104",518,53054,84,"Reagan Milliken",35,2025
"105",518,61450,84,"Lilli Piper",35,2018
"106",521,23849,84,"Alysen Febrey",35,2021
"107",522,8750,84,"Alyssa Brito",35,2024
"108",522,8750,84,"Alyssa Brito",35,2023
"109",522,38506,84,"Tiare Jennings",35,2022
"110",625,70986,84,"Olivia Shaw",35,2025
"111",694,30250,84,"Meghan Gregg",35,2017
"112",746,37412,84,"Jade Hylton",35,2025
"113",1092,62393,84,"Katie Prebble",35,2018
"114",1395,11452,84,"Georgia Capell",35,2018
"115",28600,33003,84,"Alyssa Hastings",35,2025
