"","team_id","player_id","rank","player","fip","season"
"1",8875,65893,1,"Kayla Robins",-0.273,2017
"2",3,34619,2,"Lindsey Hibbs",-0.259,2023
"3",10870,67440,3,"Madelayne Ruffner",-0.229,2025
"4",54,85983,4,"Jessica Yost",0.088,2017
"5",3,34619,5,"Lindsey Hibbs",0.142,2022
"6",262,45773,6,"Allison Lipovsky",0.248,2018
"7",1438,1498,7,"Makenzie Amend",0.321,2021
"8",608,5917,8,"Kayla Betts",0.401,2023
"9",197,86347,9,"Katie Zaun",0.537,2022
"10",533,27072,10,"Gisselle Garcia",0.546,2025
"11",383,81883,11,"Mackenzie Ward",0.552,2021
"12",3,55042,12,"Ally Muller",0.59,2021
"13",383,65222,13,"Coley Ries",0.598,2017
"14",30220,2756,14,"Paige Austin",0.635,2022
"15",30052,72880,15,"Kylee Smith",0.646,2018
"16",280,67685,16,"Joni Russell",0.648,2023
"17",30138,62976,17,"Ellie Quaethem",0.649,2023
"18",1348,18921,18,"Carissa Della vecchia",0.65,2023
"19",593,60568,19,"Morgan Perry",0.666,2021
"20",262,45773,20,"Allison Lipovsky",0.71,2019
"21",701,44517,21,"Alyssa Leblanc",0.789,2023
"22",30052,72880,22,"Kylee Smith",0.796,2019
"23",360,72450,23,"Bekah Slattery",0.88,2019
"24",197,17824,24,"Sarah Davenport",0.891,2025
"25",354,27218,25,"Delaney Garden",0.948,2025
"26",383,81883,26,"Mackenzie Ward",0.958,2022
"27",347,10702,27,"Jersey Cabana",0.988,2023
"28",30002,70534,28,"Ashlan Sensing",1.027,2023
"29",280,67685,29,"Joni Russell",1.028,2025
"30",658,60613,30,"Jessica Perucki",1.029,2023
"31",74,9932,31,"Katie Burawski",1.038,2022
"32",56,20319,32,"Payton Doiron",1.042,2023
"33",947,31006,33,"Jalissa Gum",1.051,2017
"34",30050,4242,34,"Rosie Bartletti",1.062,2025
"35",30199,57129,35,"Callie Nunes",1.086,2018
"36",689,50839,36,"Gwen McGinnis",1.088,2025
"37",95,43981,37,"Brooke Larsen",1.096,2022
"38",1402,18611,38,"Alix Dedreu",1.102,2019
"39",2746,31891,39,"Grace Hammer",1.107,2023
"40",30244,21518,40,"Keivana Durand",1.127,2025
"41",30138,36647,41,"Sami Huck",1.145,2025
"42",533,27072,42,"Gisselle Garcia",1.148,2022
"43",689,20554,43,"Makaleigh Dooley",1.157,2018
"44",790,59768,44,"Liz Pautz",1.163,2019
"45",30028,34853,45,"Erin Hill",1.167,2021
"46",30202,39339,45,"Kayleigh Jones",1.167,2023
"47",1348,18921,47,"Carissa Della vecchia",1.194,2021
"48",1438,1498,48,"Makenzie Amend",1.211,2022
"49",30050,86368,49,"Taylor Zawacki",1.216,2023
"50",1376,66483,50,"Brinson Rogers",1.224,2025
"51",757,10530,51,"Lyndsay Butler",1.226,2017
"52",30137,10626,52,"Kelsey Byers",1.242,2021
"53",1057,5910,53,"Kristina Bettis",1.261,2022
"54",427,20158,54,"Lauren Dixon",1.281,2022
"55",1348,18921,55,"Carissa Della vecchia",1.294,2022
"56",333,33928,56,"Evyn Hendrickson",1.318,2021
"57",593,34668,56,"Haile Hicks",1.318,2023
"58",30180,54148,58,"Andrea Morales",1.32,2022
"59",543,1050,59,"Delaney Alix",1.323,2025
"60",427,20158,60,"Lauren Dixon",1.325,2023
"61",1328,75270,61,"Lexie Storrer",1.331,2021
"62",383,2300,62,"Mckayla Armbruster",1.356,2023
"63",468,4056,63,"Maddy Barone",1.361,2019
"64",689,20554,64,"Makaleigh Dooley",1.371,2019
"65",41,28592,65,"Grace Glanzer",1.372,2025
"66",3,25182,66,"Claire Fon",1.382,2023
"67",8366,9945,67,"Caitlyn Burch",1.393,2025
"68",10,32732,68,"Tyler Harrison",1.401,2017
"69",790,41681,69,"Jordyn Kleman",1.417,2021
"70",30123,43981,70,"Brooke Larsen",1.428,2018
"71",30028,5511,71,"Colleen Bentke",1.431,2018
"72",10870,75085,72,"Taylor Stocks",1.438,2019
"73",30058,37866,73,"Jaelyn Jackson",1.445,2023
"74",280,67685,74,"Joni Russell",1.453,2022
"75",30199,1380,75,"Daniela Alvarez",1.454,2023
"76",533,27072,75,"Gisselle Garcia",1.454,2023
"77",1245,8863,77,"Haley Brogden",1.455,2019
"78",1167,41119,78,"Abby Killian",1.456,2019
"79",9004,25137,79,"Samantha Fohrman",1.457,2021
"80",241,86423,80,"Cyrena Zemaitis",1.459,2018
"81",1266,17267,80,"Elyse Cuttic",1.459,2021
"82",30058,12943,82,"Bre'zhay Chambers",1.465,2022
"83",262,4755,83,"Hannah Beatus",1.469,2023
"84",30128,21300,84,"Maddi Duncan",1.475,2025
"85",208,64711,85,"Brandilyn Reymer",1.476,2025
"86",765,13774,86,"Danielle Ciliberto",1.477,2023
"87",9680,72031,87,"Kassidy Simons",1.478,2017
"88",262,4755,88,"Hannah Beatus",1.48,2022
"89",790,59768,88,"Liz Pautz",1.48,2022
"90",3,25182,90,"Claire Fon",1.483,2022
"91",30028,57429,91,"Shealyn O'leary",1.487,2023
"92",1448,40055,92,"Anna Kasner",1.49,2021
"93",1098,8431,92,"Holly Brehm",1.49,2023
"94",74,9932,94,"Katie Burawski",1.506,2021
"95",2814,28496,95,"Jaycee Ginter",1.507,2022
"96",1013,4476,96,"Danielle Bauer",1.538,2021
"97",1116,37004,97,"Autumn Humes",1.539,2017
"98",30063,67854,97,"Morgan Ryan",1.539,2022
"99",25,48645,99,"Brandy Marlett",1.541,2017
"100",591,37658,99,"Macy Irelan",1.541,2025
