"","team_id","player_id","rank","player","hr","season"
"1",1376,28726,1,"Brooke Goad",31,2018
"2",41,59156,2,"Mary Pardo",26,2022
"3",734,75885,2,"Abby Sulte",26,2024
"4",1097,84330,4,"Zoe Willis",25,2023
"5",9004,64399,4,"Samantha Reilly",25,2018
"6",734,60207,6,"Nikki Pennington",24,2021
"7",767,32277,6,"Ashley Hardin",24,2018
"8",159,15577,8,"Hannah rose Corbin",23,2023
"9",11416,2468,8,"Myah Arrieta",23,2024
"10",767,54046,10,"Kylee Moore",22,2018
"11",1376,20746,10,"Maddie Dow",22,2017
"12",30177,14546,10,"Morgan Colburn",22,2016
"13",423,83959,13,"Faith Willenbrock",21,2021
"14",41,59156,14,"Mary Pardo",20,2021
"15",92,63508,14,"Mariah Ramirez",20,2024
"16",155,13723,14,"Cassidy Chvatal",20,2025
"17",358,74252,14,"Ann marie Stanbridge",20,2023
"18",358,53408,14,"Marissa Mitchell",20,2024
"19",734,75885,14,"Abby Sulte",20,2023
"20",734,26939,14,"Aniston Gano",20,2024
"21",734,34909,14,"Morgan Hill",20,2021
"22",1238,21822,14,"Sierra Easterwood",20,2022
"23",1376,28726,14,"Brooke Goad",20,2016
"24",13028,6866,14,"Kayson Boatner",20,2022
"25",30138,74329,14,"Olivia Stansbury",20,2022
"26",30177,5931,14,"Sydney Beuthien",20,2017
"27",10,3677,27,"Kaitlyn Bannister",19,2017
"28",159,1483,27,"Elyse Ambrose",19,2023
"29",159,4573,27,"Kenzie Bayer",19,2023
"30",477,86196,27,"Kat Zabielski",19,2016
"31",767,32277,27,"Ashley Hardin",19,2016
"32",767,68267,27,"Ruby Salzman",19,2023
"33",996,10394,27,"Brenna Busby",19,2019
"34",1076,37435,27,"Courtney Iacobacci",19,2016
"35",9004,75661,27,"Kaitlyn Stufft",19,2022
"36",11416,62743,27,"Miranda Pruitt",19,2024
"37",11416,20095,27,"Ally Distler",19,2024
"38",11416,72754,27,"Ellie Smith",19,2021
"39",19117,13727,27,"Katie Chyrssofos",19,2016
"40",30002,14835,27,"Mary Collins",19,2019
"41",30052,71960,27,"Margaret Simmons",19,2021
"42",30180,18250,27,"Danelle Day",19,2018
"43",3,49228,43,"Brenna Martini",18,2017
"44",41,9686,43,"Kennedy Buckman",18,2023
"45",41,39760,43,"Maggie Kadrlik",18,2019
"46",309,57305,43,"Emily O'connor",18,2024
"47",358,78517,43,"Lp Trammell",18,2023
"48",638,48840,43,"Hannah Marsteller",18,2021
"49",734,65685,43,"Kiley Robb",18,2021
"50",1000,3226,43,"Macauley Bailey",18,2024
"51",1170,62591,43,"Madison Primm",18,2025
"52",1462,74803,43,"Hannah Stevens",18,2025
"53",1462,8958,43,"Savanna Brooks",18,2024
"54",9004,64399,43,"Samantha Reilly",18,2019
"55",11416,2468,43,"Myah Arrieta",18,2025
"56",11416,35330,43,"Brooke Hodgson",18,2017
"57",11416,16729,43,"Rylee Crouch",18,2023
"58",30028,60322,43,"Ashley Perez",18,2018
"59",30052,25309,43,"Hannah Forehand",18,2023
"60",30202,67812,43,"Ally Ryan",18,2024
"61",13,49812,61,"Malea Maye",17,2017
"62",25,69356,61,"Paxton Scheurer",17,2022
"63",429,21853,61,"Kamryn Eaton",17,2023
"64",436,58026,61,"Serena Olson",17,2018
"65",598,78609,61,"Sydney Trees",17,2022
"66",638,48840,61,"Hannah Marsteller",17,2022
"67",728,16604,61,"Katie Crogan",17,2022
"68",734,67611,61,"Kiley Rusen",17,2016
"69",767,55456,61,"Diana Murtha",17,2024
"70",767,7927,61,"Emilee Boyer",17,2025
"71",947,65322,61,"Tymber Riley",17,2022
"72",995,53668,61,"Marisa Monasseri",17,2016
"73",1009,65475,61,"Terin Ritz",17,2025
"74",1013,1888,61,"Isabella Andujar",17,2024
"75",1083,22324,61,"Angelique Elemen",17,2017
"76",1245,22566,61,"Kylie Emanuele",17,2024
"77",1376,23423,61,"Chelsea Fagan",17,2019
"78",1376,28726,61,"Brooke Goad",17,2017
"79",1448,1827,61,"Emma Andrewjeski",17,2024
"80",11416,35330,61,"Brooke Hodgson",17,2018
"81",11416,20095,61,"Ally Distler",17,2022
"82",30052,41970,61,"Carleigh Knowles",17,2025
"83",30093,48917,61,"Gia Martin",17,2024
"84",30180,18250,61,"Danelle Day",17,2019
"85",41,13719,85,"Torri Chute",16,2024
"86",41,39760,85,"Maggie Kadrlik",16,2016
"87",41,45489,85,"Abby Lien",16,2022
"88",41,59156,85,"Mary Pardo",16,2019
"89",427,8451,85,"Jessica Bren",16,2018
"90",638,45646,85,"Morgan Lindsay",16,2024
"91",701,44517,85,"Alyssa Leblanc",16,2023
"92",734,54325,85,"Brandy Morgan",16,2017
"93",734,26939,85,"Aniston Gano",16,2025
"94",767,54046,85,"Kylee Moore",16,2019
"95",1012,42769,85,"Mackenzi Kroll",16,2023
"96",1013,1888,85,"Isabella Andujar",16,2023
"97",1085,67112,85,"Savana Rosson",16,2022
"98",1097,84330,85,"Zoe Willis",16,2022
"99",1156,67802,85,"Katie Ruwe",16,2016
"100",1170,63375,85,"Lauren Rakes",16,2024
"101",1314,55902,85,"Nicole Nease",16,2016
"102",1371,82233,85,"Elexis Watson",16,2018
"103",1402,26605,85,"Andrea Gahan",16,2018
"104",1438,20546,85,"Kat Donzella",16,2019
"105",1462,8958,85,"Savanna Brooks",16,2025
"106",9004,75661,85,"Kaitlyn Stufft",16,2024
"107",11403,52595,85,"Kenzie Middleton",16,2023
"108",11416,42452,85,"Makayla Kovac",16,2016
"109",11416,37958,85,"Kaila Jacobi",16,2019
"110",11740,25282,85,"Jessica Ford",16,2024
"111",30051,52991,85,"Rikkelle Miller",16,2022
"112",30138,26636,85,"Brooke Gajewski",16,2018
"113",30177,24976,85,"Kasey Flores",16,2023
"114",30177,24976,85,"Kasey Flores",16,2022
"115",30193,303,85,"Alyssa Adams",16,2024
"116",30199,66580,85,"Rylie Rohr",16,2023
