"","team_id","player_id","rank","player","sb","season"
"1",655,63542,1,"Jaquelyn Ramon",63,2019
"2",388,17386,2,"Elicia D'orazio",59,2017
"3",529,47130,3,"Kai Luschar",58,2025
"4",655,43238,3,"Katie Lacour",58,2016
"5",671,53048,3,"Keeli Milligan",58,2019
"6",434,26543,6,"Taylor Gadbois",56,2016
"7",1004,83800,6,"Jenna Wildeman",56,2021
"8",651,38726,8,"Alexis Johns",55,2022
"9",386,21089,9,"Maureen Duddy",54,2016
"10",655,63542,9,"Jaquelyn Ramon",54,2017
"11",697,53048,9,"Keeli Milligan",54,2016
"12",234,41603,12,"Morgan Klaevemann",53,2016
"13",235,81601,13,"Skylar Wallace",52,2022
"14",257,22560,13,"Cortni Emanuel",52,2018
"15",671,18108,13,"Mihyia Davis",52,2023
"16",388,30165,16,"Kaelynn Greene",51,2016
"17",8,79934,17,"Audrey Vandagriff",50,2025
"18",97,18865,17,"Megan Delgadillo",50,2022
"19",466,70521,17,"Chelie Senini",50,2023
"20",229,58972,20,"Madisyn Palmer",49,2018
"21",1104,56530,20,"Gianna Nicoletti",49,2022
"22",8,9111,22,"Eliisa Brown",48,2019
"23",229,58972,22,"Madisyn Palmer",48,2019
"24",466,70521,22,"Chelie Senini",48,2022
"25",553,84214,22,"Shelby Williams",48,2017
"26",678,77001,22,"Jessie Tenbroeck",48,2017
"27",261,54035,27,"Kaytlyn Moore",47,2023
"28",365,1832,27,"Aliyah Andrews",47,2019
"29",10411,44162,27,"Denver Lauer",47,2023
"30",352,86158,30,"Nicole Yozzo",46,2018
"31",792,50088,30,"Macy Mccall",46,2021
"32",5,72093,32,"Ashley Sims",45,2017
"33",97,18865,32,"Megan Delgadillo",45,2024
"34",236,56785,32,"Neleh Nogay",45,2025
"35",270,34847,32,"Dasha Hill",45,2018
"36",2707,34787,32,"Kloe Hilbrenner",45,2021
"37",314,28145,37,"Kalyiah Gibson",44,2024
"38",388,17386,37,"Elicia D'orazio",44,2018
"39",498,51061,37,"Sydney Mckay",44,2017
"40",513,83105,37,"Karley Wester",44,2016
"41",7,19272,41,"Kindall Deramus",43,2022
"42",180,27683,41,"Leanna Gearhart",43,2016
"43",257,22560,41,"Cortni Emanuel",43,2017
"44",603,5989,41,"Jess Bianco",43,2023
"45",28755,6418,41,"Olivia Black",43,2025
"46",30095,4343,41,"Janessa Bassett",43,2018
"47",7,19272,47,"Kindall Deramus",42,2023
"48",108,19412,47,"Anna Dethlefson",42,2023
"49",199,34761,47,"Baylea Higgs",42,2016
"50",234,32738,47,"Cali Harrod",42,2019
"51",365,1832,47,"Aliyah Andrews",42,2018
"52",388,14622,47,"Alex Coleman",42,2023
"53",655,22052,47,"Maddie Edmonston",42,2018
"54",10411,28464,47,"Ansley Gilstrap",42,2018
"55",10411,44162,47,"Denver Lauer",42,2024
"56",68,15149,56,"Moriah Connolly",41,2017
"57",72,39968,56,"Kelly Kapp",41,2017
"58",229,58972,56,"Madisyn Palmer",41,2017
"59",261,82836,56,"India Wells",41,2023
"60",603,86500,56,"Lauren Zick",41,2017
"61",695,29064,56,"Carly Gonzales",41,2017
"62",716,5533,56,"Katie Benton",41,2016
"63",43,69400,63,"Natalie Schilling",40,2018
"64",87,44830,63,"Cate Lehner",40,2025
"65",116,59143,63,"Kara Paradowski",40,2021
"66",164,33012,63,"Lexi Hastings",40,2023
"67",231,52167,63,"Kally Meredith",40,2025
"68",393,42676,63,"Tatum Kresley",40,2022
"69",446,86028,63,"Damali Young",40,2017
"70",509,63205,63,"Sabrina Rabin",40,2016
"71",519,69064,63,"Taylor Saxton",40,2016
"72",1004,83800,63,"Jenna Wildeman",40,2022
"73",112,47569,73,"Kelsi Maday",39,2017
"74",164,48424,73,"Briana Marcelino",39,2022
"75",388,17386,73,"Elicia D'orazio",39,2016
"76",388,86469,73,"Morgan Zerkle",39,2017
"77",450,28405,73,"Bridgette Gilliano",39,2022
"78",553,77967,73,"Kearstin Tinsley",39,2025
"79",610,86311,73,"Kimiko Zapanta",39,2018
"80",692,24671,73,"Mackenzie Fitzgerald",39,2024
"81",694,53071,73,"Kiki Milloy",39,2023
"82",1004,16835,73,"Kayla Crutchmer",39,2019
"83",37,20898,83,"Victoria Draper",38,2018
"84",96,84502,83,"Mckenzie Wilson",38,2019
"85",116,59143,83,"Kara Paradowski",38,2019
"86",229,46014,83,"Emily Lochten",38,2018
"87",316,50404,83,"Allie Mccourt",38,2018
"88",386,79882,83,"Kyrsten Van natta",38,2016
"89",406,67382,83,"Meghan Rud",38,2017
"90",419,6250,83,"Precious Birdsong",38,2016
"91",457,55414,83,"Leah Murray",38,2017
"92",485,30805,83,"Alison Guckin",38,2022
"93",651,9421,83,"Anamarie Bruni",38,2021
"94",769,5166,83,"Lily Bell",38,2024
"95",108,81979,95,"Brianna Warner",37,2016
"96",111,64973,95,"Madeline Richard",37,2016
"97",115,59304,95,"Tyra Parker",37,2025
"98",178,27675,95,"Nicole Gazzola",37,2016
"99",235,81601,95,"Skylar Wallace",37,2024
"100",302,82318,95,"Lexi Watts",37,2019
"101",302,82318,95,"Lexi Watts",37,2016
"102",314,74687,95,"Mari Stephens",37,2024
"103",402,50450,95,"Cori Mccrary",37,2019
"104",579,42448,95,"Alaina Koutsogiani",37,2022
"105",655,56456,95,"Kinsey Nichols",37,2018
"106",671,9473,95,"Ciara Bryan",37,2021
"107",694,53071,95,"Kiki Milloy",37,2021
"108",10411,62540,95,"Sarah Price",37,2022
