"","team_id","player_id","rank","player","sb","season"
"1",1400,13907,1,"Caelee Clark",77,2024
"2",1400,39700,1,"Kelly Jurden",77,2022
"3",804,42529,3,"Kaela Kraemer",71,2022
"4",745,6983,4,"Courtney Bogan",70,2016
"5",1400,13907,5,"Caelee Clark",66,2023
"6",745,65051,6,"Kiersten Richardson",64,2017
"7",745,28941,7,"Jessica Goldyn",61,2021
"8",1400,40183,7,"Annie Kay",61,2025
"9",1400,13907,9,"Caelee Clark",59,2025
"10",300,67566,10,"Jillian Runyon",56,2017
"11",1400,39700,11,"Kelly Jurden",55,2019
"12",542,71258,12,"Vada blue Sherrill",54,2018
"13",18,46978,13,"Ashley Lugo",52,2021
"14",300,67566,14,"Jillian Runyon",50,2018
"15",542,71258,14,"Vada blue Sherrill",50,2019
"16",750,66066,14,"Liz Roby-miklus",50,2019
"17",44,31660,17,"Samantha Hall",49,2017
"18",18,46978,18,"Ashley Lugo",48,2022
"19",581,41146,18,"Ally Kim",48,2023
"20",730,48065,18,"Samantha Mallen",48,2025
"21",808,55374,18,"Nina Murphy-cook",48,2018
"22",808,55374,18,"Nina Murphy-cook",48,2016
"23",1062,80210,18,"Lindsey Vasquez",48,2017
"24",121,64612,24,"Clare Rettler",47,2024
"25",126,76525,24,"Sara Tallman",47,2018
"26",542,71258,24,"Vada blue Sherrill",47,2016
"27",745,11222,24,"Laci Campbell",47,2025
"28",30190,37234,24,"Maddie Hurst",47,2023
"29",581,41146,29,"Ally Kim",46,2022
"30",382,78339,30,"Jayleen Torres",45,2023
"31",424,15025,30,"Charley Condill",45,2025
"32",453,13750,30,"Sophia Cicchetti",45,2024
"33",745,65051,30,"Kiersten Richardson",45,2018
"34",781,1378,30,"Brianna Alvarez",45,2017
"35",1130,65447,30,"Natalie Ritchey",45,2023
"36",30084,71122,30,"Molly Shelley",45,2025
"37",44,46226,37,"Jessica Long",44,2017
"38",565,67985,37,"Naomi Sadler",44,2023
"39",88,53289,39,"Ariana Mirenda",43,2022
"40",750,74014,39,"Kaylie Springer",43,2022
"41",60,23797,41,"Allie Fauth",42,2022
"42",542,71258,41,"Vada blue Sherrill",42,2017
"43",783,36249,41,"Ally Horvath",42,2017
"44",300,67566,44,"Jillian Runyon",41,2016
"45",730,48065,44,"Samantha Mallen",41,2023
"46",1255,803,44,"Avery Alberghini",41,2019
"47",1400,39700,44,"Kelly Jurden",41,2021
"48",21830,74563,44,"Rebekah Stegmayer",41,2022
"49",121,64612,49,"Clare Rettler",40,2025
"50",303,1991,49,"Bryele Anthony",40,2025
"51",424,6551,49,"Rylee Blake",40,2023
"52",517,35676,49,"Jenna Hollar",40,2018
"53",15882,4998,49,"Lauren Begg",40,2023
"54",122,53004,54,"Sarah Miller",39,2021
"55",139,72463,54,"Candace Slaw",39,2024
"56",218,59842,54,"Raelyn Payne",39,2022
"57",344,53323,54,"Kaia Mismash",39,2025
"58",424,6551,54,"Rylee Blake",39,2024
"59",452,33485,54,"Grace Heath",39,2022
"60",793,33597,54,"Rachel Heffel",39,2017
"61",973,79264,54,"Brittany Tuttle",39,2018
"62",1062,80210,54,"Lindsey Vasquez",39,2016
"63",426,60567,63,"Molli Perry",38,2022
"64",467,26593,63,"Emily Gagne",38,2024
"65",745,62705,63,"Sarah Prosser",38,2023
"66",8490,24762,63,"Maddie Flanery",38,2024
"67",30084,71122,63,"Molly Shelley",38,2024
"68",30160,70930,63,"Bailey Shattell",38,2017
"69",18,80681,69,"Samantha Vidal",37,2025
