"","team_id","opponent_id","game_id","game_date","team","home","opponent","result","runs","allowed","record"
"1","10","25","1852482","02/07/2020","Alabama Huntsville","","Angelo St.","W",8,6,"1-0-0"
"2","10","230","1852665","02/07/2020","Alabama Huntsville","@","Florida Tech","W",3,2,"2-0-0"
"3","10","233","1852962","02/08/2020","Alabama Huntsville","@","Fla. Southern","L",1,3,"2-1-0"
"4","10","437","1852996","02/08/2020","Alabama Huntsville","","Molloy","W",8,0,"3-1-0"
"5","10","608","1853148","02/09/2020","Alabama Huntsville","@","Saint Leo","L",3,6,"3-2-0"
"6","10","181","1853754","02/15/2020","Alabama Huntsville","","Delta St.","W",7,5,"4-2-0"
"7","10","181","1869553","02/15/2020","Alabama Huntsville","","Delta St.","W",21,7,"5-2-0"
"8","10","181","1854304","02/16/2020","Alabama Huntsville","","Delta St.","W",9,1,"6-2-0"
"9","10","30153","1854887","02/22/2020","Alabama Huntsville","@","Union (TN)","L",2,5,"6-3-0"
"10","10","30153","1869531","02/22/2020","Alabama Huntsville","@","Union (TN)","L",2,6,"6-4-0"
"11","10","30153","1855262","02/23/2020","Alabama Huntsville","@","Union (TN)","W",6,1,"7-4-0"
"12","10","358","1856007","02/29/2020","Alabama Huntsville","","West Ala.","W",9,1,"8-4-0"
"13","10","358","1868883","02/29/2020","Alabama Huntsville","","West Ala.","W",6,3,"9-4-0"
"14","10","358","1969991","03/01/2020","Alabama Huntsville","","West Ala.","W",6,4,"10-4-0"
"15","10","1015","1857579","03/07/2020","Alabama Huntsville","","Christian Brothers","W",5,4,"11-4-0"
"16","10","1015","1869478","03/07/2020","Alabama Huntsville","","Christian Brothers","W",7,1,"12-4-0"
"17","10","1015","1858237","03/08/2020","Alabama Huntsville","","Christian Brothers","W",9,1,"13-4-0"
"18","10","30154","1858785","03/11/2020","Alabama Huntsville","","Young Harris","L",11,12,"13-5-0"
"19","10","30154","1875333","03/11/2020","Alabama Huntsville","","Young Harris","L",3,10,"13-6-0"
"20","1000","1072","1853542","02/14/2020","Carson-Newman","@","Erskine","W",5,4,"1-1-0"
"21","1000","30154","1853524","02/14/2020","Carson-Newman","@","Young Harris","L",9,13,"0-1-0"
