Rank,Team,Record,Team ID
1,Jackson St.,1-0-0,314
2,Hampton,1-0-0,270
3,UT Tyler,57-5-0,30028
4,Tampa,46-12-0,689
5,Alabama A&M,1-0-0,6
5,Southern U.,1-0-0,665
7,Francis Marion,51-4-0,1085
8,Central Okla.,48-11-0,1009
9,Augustana (SD),45-8-0,41
10,Saint Leo,35-13-0,608
11,Rogers St.,37-11-0,30180
12,AUM,39-12-0,30093
13,North Georgia,43-15-0,30052
14,West Tex. A&M,51-8-0,767
15,East Tex. Baptist,4-0-0,1062
15,Hardin-Simmons,4-0-0,271
17,Saginaw Valley,49-14-0,591
18,Montana,2-0-0,441
19,Nova Southeastern,33-14-0,24639
20,East Stroudsburg,47-12-1,197
21,Barry,35-18-0,49
22,Southern Ark.,40-6-0,1376
23,Pace,47-13-0,533
24,Western Wash.,46-9-0,1448
25,N.C. A&T,1-0-0,488
26,Wingate,38-20-0,1462
27,Pittsburg St.,34-14-0,1314
28,Lenoir-Rhyne,38-15-0,1170
29,Cal St. San Marcos,36-22-0,30198
30,Rollins,30-13-0,584
31,West Florida,36-14-0,11740
32,Angelo St.,42-14-0,25
33,Mo. Southern St.,33-17-0,9012
34,Minnesota St.,37-19-0,383
35,Embry-Riddle (FL),25-17-0,9680
36,Shippensburg,36-22-0,638
37,Kutztown,38-19-0,339
38,Cal St. East Bay,33-15-0,98
39,Mississippi Col.,34-15-0,429
40,Winona St.,40-14-0,790
41,Okla. Christian,34-20-0,30179
42,Colo. Christian,39-11-0,11403
43,Missouri Western,31-17-0,9013
44,West Ala.,27-15-0,358
45,Florida Tech,27-18-0,230
46,Minn. Duluth,36-16-0,427
47,Alabama Huntsville,26-19-0,10
48,Drury,35-19-0,1057
49,UMES,3-0-0,393
50,Tiffin,40-13-0,1403
51,Flagler,33-19-0,30092
52,West Chester,32-18-0,765
53,Findlay,34-16-0,1079
54,North Dakota,3-0-0,494
55,St. Cloud St.,38-13-0,598
56,Eckerd,26-18-0,208
57,CUI,37-15-0,30199
58,Bloomsburg,33-21-0,65
59,Okla. Baptist,33-13-0,30202
60,San Fran. St.,35-18-0,628
61,Saint Martin's,29-13-0,1343
62,Wilmington (DE),35-19-0,1460
63,Shepherd,28-23-1,10870
64,Hillsdale,38-15-0,280
65,Emporia St.,27-21-0,1071
66,Tusculum,35-19-0,12830
67,Sonoma St.,33-22-0,645
68,Washburn,27-19-0,2814
69,Colorado Mesa,34-12-0,11416
70,Grove City,1-0-0,265
71,UIndy,39-20-0,309
72,Ga. Southwestern,25-23-0,1097
73,Delaware St.,7-0-0,178
74,MSU Denver,37-16-0,413
75,Lincoln Memorial,31-19-0,1176
76,Central Mo.,30-18-0,130
77,Rhodes,2-0-0,573
78,Biola,36-17-0,30220
79,Harding,34-18-0,1116
80,Lander,24-24-0,1167
81,Valdosta St.,24-22-0,734
82,Columbus St.,30-22-0,159
83,Barton,26-22-0,15646
84,Cal St. Dom. Hills,25-23-0,92
85,USC Aiken,26-23-0,11276
86,Grambling,2-2-0,261
87,Goldey-Beacom,40-16-0,8366
88,Emory & Henry,28-19-0,216
89,Carson-Newman,25-19-0,1000
90,Ferris St.,28-19-0,224
91,Cameron,29-23-0,996
92,USC Beaufort,24-22-0,30259
93,St. Mary's (TX),25-24-0,1346
94,Montevallo,29-23-0,1238
95,Cal Poly Humboldt,28-21-0,291
