"team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops","team"
1167,30401,2019,"Lexi Griffin",1,1,0,0,1,1,1,0,0,0,0,0,"1.000",1,"5.000","Lander"
30221,52857,2019,"Emma Miller",1,1,0,0,1,4,1,0,0,0,0,0,"1.000",1,"5.000","Davenport"
30240,76017,2019,"Kayla Sutton",1,1,0,1,0,1,4,3,0,0,1,0,"1.000",1,"4.000","Allen"
30244,73714,2019,"Brooke Spaulding",2,2,0,0,1,2,2,0,2,0,1,0,"1.000",1,"3.500","Edward Waters"
60,66492,2019,"Ellie Rogers",1,1,1,0,0,0,1,0,0,0,0,0,"1.000",1,"3.000","Bethel (MN)"
78,59006,2019,"Julia Palopoli",1,1,1,0,0,1,0,0,0,0,0,0,"1.000",1,"3.000","SUNY Brockport"
199,70248,2019,"Laney Searcy",1,1,1,0,0,3,0,0,0,0,0,0,"1.000",1,"3.000","Tex. A&M-Commerce"
320,69140,2019,"Kasyn Scarantine",1,1,1,0,0,0,1,0,1,0,0,0,"1.000",1,"3.000","John Carroll"
454,74095,2019,"Carly St george",1,1,1,0,0,2,0,0,0,0,0,0,"1.000",1,"3.000","Murray St."
622,34578,2019,"Bk Hewitt",1,1,1,0,0,2,2,0,0,0,0,0,"1.000",1,"3.000","Salisbury"
30177,82604,2019,"Jordan Wehr",1,1,1,0,0,2,0,0,0,0,0,0,"1.000",1,"3.000","Lubbock Christian"
1004,38902,2019,"Jordan Johnson",3,3,2,0,0,2,1,0,0,0,0,0,"1.000",1,"2.667","Central Ark."
28749,11253,2019,"Taylor Campbell",3,3,2,0,0,3,0,1,1,0,0,0,"1.000",1,"2.667","Transylvania"
508,64186,2019,"Marissa Reed",2,1,0,0,1,1,1,0,0,0,0,0,"0.500",0.5,"2.500","Northwestern St."
545,41883,2019,"Brittany Knight",2,1,0,0,1,2,1,0,0,0,0,0,"0.500",0.5,"2.500","Pittsburgh"
804,44106,2019,"Hayley Lathop",2,2,1,0,0,1,0,0,0,0,0,0,"1.000",1,"2.500","Wis.-Superior"
1446,13623,2019,"Macy Christianson",2,2,1,0,0,1,5,0,0,0,0,0,"1.000",1,"2.500","Western Ore."
424,62855,2019,"Kailey Pulec",3,3,0,1,0,2,1,0,0,0,0,0,"1.000",0.75,"2.417","Millikin"
730,55518,2019,"Alyssa Myers",3,3,2,0,0,1,0,0,0,0,0,0,"1.000",0.75,"2.417","Ursinus"
30240,64268,2019,"Kyla Reeves",3,2,0,0,1,3,3,0,0,1,1,0,"0.667",0.667,"2.334","Allen"
443,68540,2019,"Taylor Sanders",6,5,0,0,1,4,2,0,0,0,0,0,"0.833",0.833,"2.166","Moravian"
685,21460,2019,"Sam Duplissey",7,5,2,0,1,9,2,0,0,0,0,0,"0.714",0.714,"2.143","Susquehanna"
60,17404,2019,"Angela Dabu",3,2,2,0,0,1,8,1,0,0,2,1,"0.667",0.75,"2.083","Bethel (MN)"
139,38308,2019,"Krista Jasak",5,3,1,0,1,5,13,1,0,1,2,0,"0.600",0.667,"2.067","Chris. Newport"
4,32740,2019,"Ally Harry",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Adrian"
4,38201,2019,"Sam Jankowiak",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000","Adrian"
7,38346,2019,"Justine Jean",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000","Alabama St."
10,27343,2019,"Torrie Garner",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Alabama Huntsville"
16,25770,2019,"Brooke Franklin",1,1,0,0,0,0,5,0,1,0,0,0,"1.000",1,"2.000","Albright"
29,42900,2019,"Riley Kuderca",1,1,0,0,0,0,7,0,0,0,1,3,"1.000",1,"2.000","Arizona"
35,78860,2019,"Kayla Troyer",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Ashland"
36,80349,2019,"Vimary Vega betancourt",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Assumption"
40,25906,2019,"Kelcie Fredrickson",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Augustana (IL)"
50,61818,2019,"Danielle Polirer",1,1,0,0,0,1,1,1,0,0,0,0,"1.000",1,"2.000","Bates"
60,51828,2019,"Morgan Meissner",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Bethel (MN)"
73,13041,2019,"Kirsten Chandonnet",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Brandeis"
117,85576,2019,"Alyx Wulff",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Capital"
125,74924,2019,"Mackenzie Stewart",1,1,0,0,0,0,0,0,0,0,1,0,"1.000",1,"2.000","Centenary (LA)"
126,26151,2019,"Maci Fritz",1,1,0,0,0,1,7,1,0,0,1,0,"1.000",1,"2.000","Central (IA)"
126,47862,2019,"Meredith Mahoney",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000","Central (IA)"
146,65292,2019,"Amanda Riley",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Clarkson"
167,31529,2019,"Katie Hale",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Cornell"
189,77932,2019,"Nicole Timmons",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Drake"
192,41628,2019,"Alyssa Klawitter",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Dubuque"
199,59765,2019,"Cally Pausewang",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Tex. A&M-Commerce"
217,23374,2019,"Max Faass",1,1,0,0,0,2,0,0,0,0,0,0,"1.000",1,"2.000","Emory"
225,65758,2019,"Brittney Roberts",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Ferrum"
225,50434,2019,"Morgan Mccoy",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Ferrum"
230,61603,2019,"Allie Platon",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Florida Tech"
246,76694,2019,"Rebecca Tatone",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Gannon"
275,79309,2019,"Mackenzie Tyler",1,1,0,0,0,0,5,1,0,0,3,1,"1.000",1,"2.000","Harvard"
283,15564,2019,"Alexa Corben",1,1,0,0,0,0,0,0,1,0,0,0,"1.000",1,"2.000","Hofstra"
300,53708,2019,"Madie Monk",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Ill. Wesleyan"
326,13634,2019,"Kennedy Christl",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Kalamazoo"
344,19786,2019,"Missy Dieckman-meyer",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Lake Forest"
358,44398,2019,"Kamree Lay",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","West Ala."
380,64344,2019,"Emily Reid",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Maine"
437,79089,2019,"Jenna Turato",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Molloy"
438,52202,2019,"Rebecca Merletti",1,1,0,0,0,1,0,1,0,0,0,0,"1.000",1,"2.000","Monmouth (IL)"
443,35038,2019,"Aly Hine",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Moravian"
443,21657,2019,"Morgan Dwyer",1,1,0,0,0,0,1,1,0,0,0,0,"1.000",1,"2.000","Moravian"
450,58004,2019,"Katie Olson",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Mount St. Mary's"
455,71617,2019,"Jolyn Shunk",1,1,0,0,0,0,0,1,0,0,0,0,"1.000",1,"2.000","Muskingum"
468,16006,2019,"Corrine Coults",1,1,0,0,0,1,1,1,0,0,0,0,"1.000",1,"2.000","Southern N.H."
498,84399,2019,"Blaire Wilson",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","ULM"
504,46685,2019,"Hannah Loving",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","UNI"
525,54755,2019,"Ashley Moss",1,1,0,0,0,0,1,0,0,0,1,0,"1.000",1,"2.000","Olivet"
563,36801,2019,"Kayla Huffman",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Radford"
584,63386,2019,"Reagan Raley",1,1,0,0,0,0,1,2,0,0,0,0,"1.000",1,"2.000","Rollins"
615,53375,2019,"Hannah Mitchell",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","St. Olaf"
620,72012,2019,"Mara Simon",1,1,0,0,0,0,0,2,1,0,0,0,"1.000",1,"2.000","St. Thomas (MN)"
638,50342,2019,"Maddie Mcconnell",1,1,0,0,0,0,7,1,0,0,0,0,"1.000",1,"2.000","Shippensburg"
641,19244,2019,"Mackenzie Dephillips",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Simpson"
649,60940,2019,"Olivia Pfeifer",1,1,0,0,0,0,12,0,0,0,2,0,"1.000",1,"2.000","South Dakota St."
656,23295,2019,"Annika Evensen",1,1,0,0,0,0,0,1,0,0,0,0,"1.000",1,"2.000","UMass Dartmouth"
661,72778,2019,"Haylee Smith",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Southern Ind."
689,11658,2019,"Alissa Carfora",1,1,0,0,0,0,0,0,1,0,0,0,"1.000",1,"2.000","Tampa"
694,54770,2019,"Matty Moss",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Tennessee"
711,11467,2019,"Katie Capizzi",1,1,0,0,0,0,3,0,0,0,0,0,"1.000",1,"2.000","Towson"
720,37415,2019,"Nina Hylton",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",1,"2.000","Tuskegee"
728,83783,2019,"Sydney Wilcox",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Upper Iowa"
750,84748,2019,"Lauren Wisdom",2,2,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Wartburg"
765,82537,2019,"Emily Webster",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","West Chester"
765,36203,2019,"Peighton Hornick",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","West Chester"
781,59056,2019,"Sofia Paniagua",1,1,0,0,0,1,7,0,0,0,0,0,"1.000",1,"2.000","Whittier"
798,72564,2019,"Bailey Smaney",1,1,0,0,0,1,0,1,0,0,0,0,"1.000",1,"2.000","Wis.-Oshkosh"
805,82662,2019,"Abby Weinert",1,1,0,0,0,0,6,0,0,0,0,0,"1.000",1,"2.000","Wis.-Whitewater"
987,53826,2019,"Beth Montgomery",1,1,0,0,0,0,0,0,1,0,0,0,"1.000",1,"2.000","Bluffton"
1000,7097,2019,"Cheyenne Boles",2,2,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Carson-Newman"
1000,39343,2019,"Kelsey Jones",1,1,0,0,0,1,3,0,0,0,0,0,"1.000",1,"2.000","Carson-Newman"
1004,21797,2019,"Callie Eary",1,1,0,0,0,0,11,0,0,0,4,0,"1.000",1,"2.000","Central Ark."
1050,3360,2019,"Madi Baker",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Defiance"
1057,21091,2019,"Daisy Dudek",1,1,0,0,0,0,1,1,0,0,0,0,"1.000",1,"2.000","Drury"
1079,35433,2019,"Lauren Hoffman",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Findlay"
1096,37046,2019,"Nicole Humphries",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Georgia College"
1112,65141,2019,"Grace Rickman",1,1,0,0,0,1,2,0,0,0,0,0,"1.000",1,"2.000","Guilford"
1112,33904,2019,"Sydney Hendren",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Guilford"
1157,75916,2019,"Andrea Summey",1,1,0,0,0,0,1,0,0,0,0,2,"1.000",1,"2.000","Kennesaw St."
1254,20953,2019,"Abby Driscoll",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Neumann"
1254,22111,2019,"Lauren Edwards",1,1,0,0,0,2,1,0,0,0,0,0,"1.000",1,"2.000","Neumann"
1267,49677,2019,"Robyn Matula",1,1,0,0,0,0,2,0,0,0,0,0,"1.000",1,"2.000","Northland"
1274,69746,2019,"Ashlee Schriever",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Northwest Nazarene"
1274,53872,2019,"Audree Montmeny",1,1,0,0,0,1,0,1,0,0,0,0,"1.000",1,"2.000","Northwest Nazarene"
1320,12581,2019,"Hailey Caswell",1,1,0,0,0,0,0,1,0,0,0,0,"1.000",1,"2.000","Presbyterian"
1348,2617,2019,"Kim Astrologo",1,1,0,0,0,1,1,0,2,0,0,0,"1.000",1,"2.000","St. Thomas Aquinas"
1402,61851,2019,"Ashley Pollard",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Thomas More"
1402,76833,2019,"Lauren Taylor",1,1,0,0,0,0,1,1,0,0,0,0,"1.000",1,"2.000","Thomas More"
1439,32464,2019,"Samantha Harper",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","West Virginia St."
1461,72667,2019,"Bailey Smith",1,1,0,0,0,2,0,0,0,0,0,0,"1.000",1,"2.000","Wilmington (OH)"
2751,62077,2019,"Bella Portillo",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000","Pacific (OR)"
2758,83533,2019,"Breanna Whitmarsh",2,2,0,0,0,2,2,0,0,0,0,0,"1.000",1,"2.000","Thomas (ME)"
8490,1941,2019,"Hayley Anguiano",1,1,0,0,0,0,2,0,0,0,3,1,"1.000",1,"2.000","LeTourneau"
8688,78183,2019,"Winnie Tomsheck",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","St. Mary's (IN)"
22626,62623,2019,"Kayla Prior",4,3,0,1,0,2,7,0,0,0,0,1,"0.750",0.75,"2.000","JWU (Providence)"
28749,31042,2019,"Jessica Gunter",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Transylvania"
30051,55068,2019,"Haley Mullins",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","King (TN)"
30058,64959,2019,"Yemaya Rich",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000","Claflin"
30123,63756,2019,"Alyssa Rasmussen",1,1,0,0,0,0,2,0,0,0,1,0,"1.000",1,"2.000","Academy of Art"
30134,72083,2019,"Seanna Simpson",1,1,0,0,0,0,1,1,0,0,0,0,"1.000",1,"2.000","Black Hills St."
30136,69683,2019,"Kayla Scholz",4,3,2,0,0,0,12,0,0,0,3,0,"0.750",0.75,"2.000","Lindenwood"
30141,32436,2019,"Alison Harper",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Walsh"
30197,71383,2019,"Kassie Shipley",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Belhaven"
30240,17980,2019,"Chyna Davis",2,2,0,0,0,1,1,1,0,0,1,0,"1.000",1,"2.000","Allen"
30240,30417,2019,"Shelby Griffin",1,1,0,0,0,1,4,3,0,0,2,0,"1.000",1,"2.000","Allen"
506055,72758,2019,"Emily Smith",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000","Valley City St."
309,45457,2019,"Ariana Liceara",7,5,1,1,0,2,3,2,0,0,0,0,"0.714",0.778,"1.921","UIndy"
292,67924,2019,"Meaghan Sabella",3,2,1,0,0,0,4,5,0,0,0,1,"0.667",0.875,"1.875","Hunter"
805,69352,2019,"Megan Schetter",5,3,1,1,0,3,0,0,1,0,0,0,"0.600",0.667,"1.867","Wis.-Whitewater"
237,56769,2019,"Audriannal Noel",6,4,0,0,1,2,2,0,0,1,0,0,"0.667",0.667,"1.834","Fort Valley St."
612,75105,2019,"Signey Stoesz",3,2,1,0,0,0,0,2,1,0,0,0,"0.667",0.833,"1.833","Saint Mary's (MN)"
143,65235,2019,"Alyssa Rieth",2,1,1,0,0,0,2,3,0,1,0,1,"0.500",0.8,"1.800","Clarion"
117,64282,2019,"Kim Rega",4,3,1,0,0,4,3,0,0,1,0,0,"0.750",0.75,"1.750","Capital"
531,9389,2019,"Chase Brumfield",2,1,1,0,0,1,1,2,0,1,0,0,"0.500",0.75,"1.750","Otterbein"
30047,45983,2019,"Shannon Lloyd",119,68,12,6,13,54,38,25,0,15,10,1,"0.571",0.641,"1.742","Keystone"
144,84031,2019,"Caitlyn Williams",12,8,1,0,1,6,8,0,1,1,10,0,"0.667",0.692,"1.692","Clark Atlanta"
259,8210,2019,"Shea Branda",2,1,1,0,0,2,13,1,0,1,3,0,"0.500",0.667,"1.667","Rowan"
291,68183,2019,"Sarah Salinas",1,1,0,0,0,1,7,1,0,0,1,0,"1.000",0.667,"1.667","Cal Poly Humboldt"
620,23516,2019,"Paige Falde",2,1,1,0,0,1,6,1,0,0,1,0,"0.500",0.667,"1.667","St. Thomas (MN)"
