"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"1",80,8194,2021,"Jadey Hagiwara",1,1,0,0,1,2,1,1,0,0,0,0,"1.000",1,"5.000"
"2",28,2125,2021,"Harleigh Braswell",2,2,0,0,1,3,1,3,2,0,0,0,"1.000",1,"3.500"
"3",418,17286,2021,"Kaylee Rodriguez",2,2,0,0,1,3,10,1,0,0,1,1,"1.000",1,"3.500"
"4",122,13851,2021,"Sarah Miller",5,3,0,0,3,4,3,0,0,0,1,0,"0.600",0.6,"3.000"
"5",518,14914,2021,"Destinee Noury",1,1,1,0,0,0,1,0,0,0,0,0,"1.000",1,"3.000"
"6",110,3110,2021,"Lauryn Carter",2,1,0,0,1,2,13,0,0,0,1,0,"0.500",0.5,"2.500"
"7",277,1120,2021,"Cira Bartolotti",2,1,0,0,1,1,4,0,0,1,1,0,"0.500",0.5,"2.500"
"8",178,7010,2021,"Gabriela Garcia",3,2,0,0,1,1,8,0,0,0,0,0,"0.667",0.667,"2.334"
"9",30191,4733,2021,"Lanae Davis",2,2,1,0,0,0,1,0,0,0,0,0,"1.000",0.667,"2.167"
"10",9,574,2021,"Gabi Apiag",2,2,0,0,0,1,1,1,0,0,0,0,"1.000",1,"2.000"
"11",27,4087,2021,"Shelby Cornett",1,1,0,0,0,0,2,0,0,0,0,0,"1.000",1,"2.000"
"12",80,164,2021,"Jodie Aguirre",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"13",122,20521,2021,"Carli Tucci",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"14",340,15639,2021,"Makie Paxson",1,1,0,0,0,2,0,0,0,0,0,1,"1.000",1,"2.000"
"15",433,3465,2021,"Raegan Cheyne",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"16",434,10514,2021,"Katherine Kadlec",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"17",434,8775,2021,"Riley Heckenkamp",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"18",459,2688,2021,"Breanna Butcher",3,3,0,0,0,3,2,0,0,0,0,0,"1.000",1,"2.000"
"19",509,9336,2021,"Maegan Hollins",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"20",554,819,2021,"Cate Bade",1,1,0,0,0,0,0,2,0,0,2,0,"1.000",1,"2.000"
"21",699,2768,2021,"Deja Cain",1,1,0,0,0,0,3,0,0,0,0,0,"1.000",1,"2.000"
"22",8411,2847,2021,"Bailey Camp",2,2,0,0,0,0,0,0,0,0,0,1,"1.000",1,"2.000"
"23",22626,3959,2021,"Jenna Conroy",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"24",522,11040,2021,"Paige Knight",5,3,0,0,1,4,5,1,0,0,0,0,"0.600",0.667,"1.867"
"25",334,14691,2021,"Vanessa Nesby",4,2,1,1,0,1,14,0,0,1,2,0,"0.500",0.5,"1.750"
"26",48,4329,2021,"Emily Crosby",13,7,0,1,2,3,4,0,0,4,0,0,"0.538",0.538,"1.692"
"27",446,1158,2021,"Kayla Bates",10,5,0,0,2,6,10,1,1,2,6,1,"0.500",0.583,"1.683"
"28",522,360,2021,"Jocelyn Alo",183,87,12,1,34,89,71,38,3,16,3,0,"0.475",0.566,"1.675"
"29",30191,5043,2021,"Paityn Desormeaux",3,2,1,0,0,1,0,0,0,0,0,0,"0.667",0.667,"1.667"
"30",30197,19816,2021,"Elizabeth Taggard",10,6,1,0,1,6,4,2,0,1,0,0,"0.600",0.667,"1.667"
"31",43,15261,2021,"Lexi Osowski",3,1,0,0,1,2,1,0,0,0,0,0,"0.333",0.333,"1.666"
"32",317,8884,2021,"Hannah Hennessy",6,2,0,1,1,2,12,0,1,2,2,0,"0.333",0.429,"1.596"
"33",504,2551,2021,"Sammey Bunch",151,67,12,3,22,55,58,39,12,17,7,0,"0.444",0.581,"1.581"
"34",191,17618,2021,"Linda Rush",117,56,9,1,15,51,51,30,4,18,5,0,"0.479",0.592,"1.549"
"35",522,10121,2021,"Tiare Jennings",197,91,25,0,27,92,81,26,3,17,2,0,"0.462",0.517,"1.517"
"36",386,3884,2021,"Kaley Coltrain",74,34,7,0,10,30,13,13,2,9,0,0,"0.459",0.551,"1.510"
"37",77,2326,2021,"Carley Brown",1,1,0,0,0,1,1,0,0,0,0,0,"1.000",0.5,"1.500"
"38",419,19820,2021,"Danielle Taitt",2,1,1,0,0,2,0,0,0,1,0,0,"0.500",0.5,"1.500"
"39",450,1451,2021,"Amanda Berkley",2,1,1,0,0,1,0,0,0,0,0,0,"0.500",0.5,"1.500"
"40",697,11717,2021,"Haley Lee",154,65,7,0,25,51,42,36,3,22,3,0,"0.422",0.536,"1.491"
"41",339,749,2021,"Hannah Auvil",7,4,2,0,0,2,2,0,1,0,0,0,"0.571",0.625,"1.482"
"42",414,4432,2021,"Allie Cummins",148,65,16,0,17,59,58,50,2,28,11,2,"0.439",0.576,"1.468"
"43",428,4202,2021,"Delanie Cox",8,2,0,0,2,4,2,3,0,6,0,0,"0.250",0.455,"1.455"
"44",172,13257,2021,"Billie Mcfadyen",18,10,5,0,0,9,4,3,0,1,0,1,"0.556",0.619,"1.452"
"45",311,21933,2021,"Sami Williams",184,82,15,3,21,54,66,25,5,24,11,3,"0.446",0.521,"1.423"
"46",277,20110,2021,"Samantha Thomas",3,2,0,0,0,0,1,0,1,0,0,0,"0.667",0.75,"1.417"
"47",649,1256,2021,"Allison Beaudry",25,8,1,2,3,7,10,9,2,10,1,0,"0.320",0.528,"1.408"
"48",249,3916,2021,"Jenna Cone",142,59,15,0,17,51,42,26,7,6,1,1,"0.415",0.523,"1.403"
"49",31,2637,2021,"Braxton Burnside",157,56,9,0,25,54,51,41,7,22,0,0,"0.357",0.507,"1.399"
"50",590,7561,2021,"Alyssa Gonzalez",104,38,6,0,17,43,21,20,2,21,0,0,"0.365",0.476,"1.389"
"51",522,8378,2021,"Kinzie Hansen",178,78,9,0,24,66,54,19,2,7,0,0,"0.438",0.495,"1.388"
"52",709,4986,2021,"Dayna Denner",145,61,20,1,13,37,28,37,6,26,1,0,"0.421",0.547,"1.388"
"53",28,8164,2021,"Maddi Hackbarth",138,53,13,0,20,58,34,23,1,24,1,0,"0.384",0.47,"1.383"
"54",29,14380,2021,"Dejah Mulipola",148,57,8,0,21,63,53,34,8,31,0,0,"0.385",0.516,"1.381"
"55",434,15935,2021,"Chantice Phillips",5,2,2,0,0,4,1,1,1,2,0,1,"0.400",0.571,"1.371"
"56",8,8847,2021,"Bailey Hemphill",147,62,8,1,14,57,47,57,7,6,0,0,"0.422",0.583,"1.359"
"57",414,19147,2021,"Karli Spaid",144,58,13,3,17,49,56,14,3,24,19,1,"0.403",0.463,"1.352"
"58",388,8469,2021,"Aly Harrell",94,39,8,0,10,29,25,17,5,3,1,0,"0.415",0.526,"1.345"
"59",334,11172,2021,"Kayla Kowalik",202,100,11,6,12,37,77,27,1,18,23,4,"0.495",0.549,"1.336"
"60",191,1978,2021,"Carly Bowen",6,4,0,0,0,2,5,0,0,2,0,0,"0.667",0.667,"1.334"
