"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"54",341,62960,2025,"Ashley Rodriguez",5,3,2,0,1,6,2,0,2,2,1,0,"0.600",0.625,"2.225"
"55",674,7285,2025,"Sydney Boulaphinh",8,4,0,0,3,5,5,2,0,2,0,0,"0.500",0.6,"2.225"
"56",1062,49387,2025,"Maddie Melton",7,6,2,1,0,6,2,1,0,0,2,0,"0.857",0.778,"2.207"
"57",30180,63177,2025,"Abbey Rogers",12,10,2,1,1,8,7,3,0,0,1,0,"0.833",0.765,"2.182"
"58",13,61155,2025,"Erielle Reid",2,1,0,1,0,0,2,1,0,0,0,0,"0.500",0.667,"2.167"
"59",689,74666,2025,"Joey Trawick",2,1,0,1,0,0,2,0,1,0,1,0,"0.500",0.667,"2.167"
"60",720,13289,2025,"Caroline Clark",6,5,0,0,1,5,4,0,0,1,1,0,"0.833",0.833,"2.166"
"61",237,42859,2025,"Leah Leonard",6,4,0,1,1,2,3,1,0,0,0,0,"0.667",0.625,"2.125"
"62",30192,66293,2025,"Abby Schreiner",6,4,1,0,1,5,4,3,0,0,0,0,"0.667",0.778,"2.111"
"63",472,70064,2025,"Desirae Spearman",27,15,2,0,7,17,17,13,0,3,0,1,"0.556",0.7,"2.107"
"64",30262,26973,2025,"Sarah Giles",22,12,1,1,6,18,8,3,2,0,0,0,"0.545",0.607,"2.107"
"65",23008,73161,2025,"Karsyn Tencleve",4,4,1,0,0,1,2,1,0,0,0,0,"1.000",0.833,"2.083"
"66",390,59357,2025,"Shelby Presgraves",6,5,0,1,0,4,6,4,0,1,3,0,"0.833",0.9,"2.067"
"67",30152,41859,2025,"Ashley Larson",5,3,1,0,1,2,3,1,0,2,1,0,"0.600",0.667,"2.067"
"68",701,74566,2025,"Hawwa Townsend",8,5,1,0,2,5,3,0,0,0,1,0,"0.625",0.556,"2.056"
"69",31,21413,2025,"Bri Ellis",30,17,4,0,7,24,13,9,1,1,0,0,"0.567",0.643,"2.043"
"70",339,68916,2025,"Morgan Slomkowski",8,4,1,0,2,3,5,2,2,0,0,0,"0.500",0.667,"2.042"
"71",430,21828,2025,"Paige Ernstes",7,5,1,0,1,3,2,1,0,1,0,0,"0.714",0.75,"2.036"
"72",1314,64280,2025,"Alleyna Rushing",7,5,1,0,1,3,3,1,0,0,0,1,"0.714",0.75,"2.036"
"73",1009,62230,2025,"Terin Ritz",11,6,1,2,1,13,6,7,2,1,2,0,"0.545",0.75,"2.023"
"74",463,40980,2025,"Ava Kuszak",29,16,1,0,8,19,16,5,1,5,1,1,"0.552",0.595,"2.009"
"75",6,63508,2025,"Calia Rooks",1,1,0,0,0,0,0,2,0,0,1,1,"1.000",1,"2.000"
"76",6,16055,2025,"Susanna Cruit",1,1,0,0,0,0,1,0,0,0,0,0,"1.000",1,"2.000"
"77",13,4968,2025,"Adrica Bellamy",1,1,0,0,0,1,1,0,0,0,1,0,"1.000",1,"2.000"
