"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"1",28,11419,2015,"Nichole Chilson",2,2,0,0,1,4,3,0,0,0,0,0,"1.000",1,"3.500"
"2",428,13695,2015,"Ellie Cowger",1,1,1,0,0,1,16,1,0,0,5,1,"1.000",1,"3.000"
"3",743,15344,2015,"Krysten Davis",1,1,1,0,0,0,0,0,0,0,0,0,"1.000",1,"3.000"
"4",62,40741,2015,"Carrie Maniccia",2,1,0,0,1,1,11,0,0,0,1,3,"0.500",0.5,"2.500"
"5",144,67170,2015,"Zhandria Usher",2,1,0,0,1,2,1,0,0,1,0,0,"0.500",0.5,"2.500"
"6",334,1620,2015,"Haley Andrus",2,1,0,0,1,2,1,0,0,0,0,0,"0.500",0.5,"2.500"
"7",799,18060,2015,"Carly Dundee",5,3,0,0,2,4,3,1,0,0,0,0,"0.600",0.667,"2.467"
"8",9754,3340,2015,"Kylie Barnard",6,5,1,0,1,6,3,1,1,0,0,0,"0.833",0.875,"2.375"
"9",288,44326,2015,"Courtney Mica",3,2,0,0,1,1,7,0,0,1,1,0,"0.667",0.667,"2.334"
"10",7,44861,2015,"Rachel Mills",1,1,0,0,0,0,1,0,0,0,0,1,"1.000",1,"2.000"
"11",28,62945,2015,"Brynley Steele",2,2,0,0,0,3,14,2,0,0,0,1,"1.000",1,"2.000"
"12",29,6637,2015,"Nancy Bowling",2,2,0,0,0,3,1,0,0,0,0,0,"1.000",1,"2.000"
"13",48,19693,2015,"Jordan Evans",4,2,1,0,1,4,2,0,0,0,0,0,"0.500",0.5,"2.000"
"14",97,19540,2015,"Megan Estacio",1,1,0,0,0,0,4,1,0,0,0,0,"1.000",1,"2.000"
"15",128,47474,2015,"Andrea Neswiacheny",1,1,0,0,0,1,13,1,0,0,5,3,"1.000",1,"2.000"
"16",370,20092,2015,"Rachel Farrington",1,1,0,0,0,1,0,0,0,0,0,0,"1.000",1,"2.000"
"17",418,64384,2015,"Morgan Swift",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"18",430,10268,2015,"Carmen Carter",1,1,0,0,0,0,6,0,0,0,0,0,"1.000",1,"2.000"
"19",444,54756,2015,"Abigail Rhodes",1,1,0,0,0,1,9,0,0,0,2,0,"1.000",1,"2.000"
"20",508,32992,2015,"Michaela Johnson",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"21",709,70959,2015,"Hannah Williams",1,1,0,0,0,0,1,0,0,0,1,0,"1.000",1,"2.000"
"22",744,33377,2015,"Amber Jordan",1,1,0,0,0,2,0,1,1,0,0,0,"1.000",1,"2.000"
"23",8411,9356,2015,"Kelbe Callaway",1,1,0,0,0,0,0,0,0,0,0,0,"1.000",1,"2.000"
"24",8411,51737,2015,"Mackenzie Pierce",1,1,0,0,0,2,0,0,0,0,0,0,"1.000",1,"2.000"
"25",632,72228,2015,"Torrian Wright",83,47,4,0,17,50,42,56,4,6,3,0,"0.566",0.748,"1.977"
"26",742,11790,2015,"Alyssa Clark",3,1,0,0,1,2,2,1,0,1,0,0,"0.333",0.5,"1.833"
"27",9754,18046,2015,"Paige Duncan",1,1,0,0,0,2,1,3,0,0,0,0,"1.000",0.8,"1.800"
"28",149,8144,2015,"Cassidy Brzozowski",2,1,1,0,0,0,3,2,0,1,0,0,"0.500",0.75,"1.750"
"29",368,44881,2015,"Kate Mims",3,2,1,0,0,0,0,1,0,1,0,0,"0.667",0.75,"1.750"
"30",694,22449,2015,"Erin Gabriel",2,1,1,0,0,1,0,1,0,0,0,0,"0.500",0.667,"1.667"
"31",744,26958,2015,"Taylor Hamilton",3,2,1,0,0,3,2,0,0,0,0,0,"0.667",0.667,"1.667"
"32",30095,3697,2015,"Janessa Bassett",3,2,1,0,0,0,1,0,0,0,0,0,"0.667",0.667,"1.667"
"33",340,40321,2015,"Bridgett Magee",3,1,0,0,1,1,1,0,0,1,0,0,"0.333",0.333,"1.666"
"34",799,47699,2015,"Jordan Nichols",3,1,0,0,1,2,1,0,0,1,0,0,"0.333",0.333,"1.666"
"35",671,18945,2015,"Lexie Elkins",149,66,5,0,32,83,44,35,6,10,1,1,"0.443",0.543,"1.664"
