"","team_id","player_id","rank","player","slg"
"1",671,17847,1,"Dj Sanders","1.012"
"2",14,19026,2,"Elizabeth Snow","0.957"
"3",234,21319,3,"Jessie Warren","0.922"
"4",428,11978,4,"Kendyl Lindaman","0.911"
"5",115,18073,5,"Amber Schisler","0.861"
"6",450,8828,6,"Rachel Heinze","0.860"
"7",688,15005,7,"Sydney O'hara","0.852"
"8",191,17619,8,"Linda Rush","0.850"
"9",29,12996,9,"Katiyana Mauga","0.846"
"10",554,16830,10,"Marissa Reynolds","0.845"
"11",458,15341,11,"Haley Pace","0.841"
"12",626,15750,12,"Jenavee Peres","0.840"
"13",694,7870,13,"Meghan Gregg","0.838"
"14",735,19455,14,"Samantha Stewart","0.836"
"15",229,12078,15,"Emily Lochten","0.829"
"16",254,12052,16,"Megan Litumbe","0.826"
"17",249,3917,17,"Jenna Cone","0.822"
"18",299,4818,17,"Jordan De los reyes","0.822"
"19",253,19016,19,"Emily Snider","0.810"
"20",796,13797,20,"Chloe Miller","0.804"
"21",416,6546,21,"Lea Foerster","0.803"
"22",472,9485,22,"Kelsey Horton","0.799"
"23",62,16887,23,"Kate Richard","0.798"
"24",457,12386,24,"Kendra Lynch","0.791"
"25",388,22545,25,"Morgan Zerkle","0.789"
"26",518,16029,26,"Lilli Piper","0.787"
"27",331,7957,27,"Maddy Grimm","0.784"
"28",671,4238,28,"Aleah Craighton","0.779"
"29",301,6079,29,"Nicole Evans","0.775"
"30",61,9952,30,"Ryan Jackson","0.770"
"31",31,18150,31,"Nicole Schroeder","0.767"
"32",2,8789,32,"Peyton Hedrick","0.765"
"33",30024,20790,33,"Brittney Vansway","0.760"
"34",441,3782,34,"Delene Colburn","0.749"
"35",635,21143,35,"Alexis Walkden","0.746"
"36",331,19178,35,"Holly Speers","0.746"
"37",454,20605,37,"Jessica Twaddle","0.744"
"38",2699,7610,38,"Maggie Good","0.743"
"39",29,8460,39,"Jessie Harper","0.740"
"40",600,18347,40,"Jordan Seneca","0.736"
"41",17,4374,41,"Jessica Crum","0.734"
"42",732,6482,42,"Hannah Flippen","0.728"
"43",66,3305,42,"Rebekah Cervantes","0.728"
"44",236,18448,44,"Madi Shaw","0.726"
"45",102,2297,45,"Suzy Brookshire","0.722"
"46",1157,19705,46,"Courtney Sutter","0.721"
"47",28,7546,47,"Chelsea Gonzales","0.720"
"48",556,12339,48,"Nicole Lundstrom","0.719"
"49",654,491,48,"Rachel Anderson","0.719"
"50",156,14654,50,"Amber Nelson","0.714"
"51",231,20028,51,"Stephanie Texeira","0.712"
"52",110,19168,51,"Delaney Spaulding","0.712"
"53",459,18557,53,"Marisa Sholtes","0.711"
"54",101,9489,54,"Savannah Horvath","0.709"
"55",48,6972,54,"Jade Gandara","0.709"
"56",716,8572,56,"Becca Hartley","0.707"
"57",670,15227,57,"Ariel Ortiz","0.702"
"58",29,15418,57,"Alyssa Palomino","0.702"
"59",236,9664,59,"Jess Hughes","0.701"
"60",315,13325,59,"Jamie Mcguire","0.701"
"61",540,323,61,"Leah Allen","0.697"
"62",368,3172,62,"Courtney Cashman","0.696"
"63",665,19706,63,"Kiara Suttles","0.690"
"64",158,8033,63,"Sommer Grzybek","0.690"
"65",294,2621,65,"Kacie Burnett","0.688"
"66",416,6089,66,"Kaitlyn Eveland","0.686"
"67",72,13101,66,"Caitlyn Mccarron","0.686"
"68",639,4124,66,"Madysen Cossack","0.686"
"69",386,11132,66,"Janna Korak","0.686"
"70",587,8243,66,"Rebecca Hall","0.686"
"71",402,15954,71,"Erika Piancastelli","0.681"
"72",175,19035,71,"Gabrielle Snyder","0.681"
"73",709,16870,73,"Chandler Rice","0.680"
"74",196,2650,74,"Meredith Burroughs","0.675"
"75",14927,4942,75,"Chelsey Deloney","0.674"
"76",116,3233,75,"Lauren Castro","0.674"
"77",388,13159,77,"Taylor Mccord","0.671"
"78",671,8688,78,"Haley Hayden","0.669"
"79",444,16451,78,"Allison Rager","0.669"
"80",77,19642,78,"Libby Sugg","0.669"
"81",28,11779,81,"Ulufa Leilua","0.667"
"82",756,145,82,"Ali Aguilar","0.665"
"83",626,19623,83,"Molly Sturdivant","0.664"
"84",2678,7042,83,"Paige Garcia","0.664"
"85",29,14381,85,"Dejah Mulipola","0.663"
"86",774,3564,86,"Kelsea Cichocki","0.661"
"87",697,20943,86,"Tori Vidales","0.661"
"88",2699,15602,88,"Roni Patterson","0.659"
"89",110,19895,88,"Brianna Tautalafua","0.659"
"90",158,7694,90,"Madison Gott","0.658"
"91",739,247,91,"Nikki Alden","0.657"
"92",697,17945,92,"Riley Sartain","0.656"
"93",77,11568,92,"Caitlyn Larsen alldredge","0.656"
"94",505,5074,92,"Dani Devlin","0.656"
"95",67,4115,95,"Tatiana Cortez","0.653"
"96",418,2911,96,"Faith Canfield","0.652"
"97",80,13315,96,"Annie Mcgregor","0.652"
"98",704,18873,98,"Cortney Smith","0.651"
"99",464,10923,99,"Vicky Kinney","0.650"
"100",204,11216,99,"Michelle Kriegshauser","0.650"
