"","team_id","player_id","rank","player","avg"
"1",294,2621,1,"Kacie Burnett","0.487"
"2",688,15005,2,"Sydney O'hara","0.484"
"3",388,22545,3,"Morgan Zerkle","0.476"
"4",626,15750,4,"Jenavee Peres","0.454"
"5",758,17764,5,"Takesha Saltern","0.451"
"6",404,4357,5,"Lindsay Crowdus","0.451"
"7",419,1608,7,"Precious Birdsong","0.443"
"8",231,18130,8,"Jackie Schoff","0.439"
"9",72,10572,9,"Kelly Kapp","0.438"
"10",115,18073,10,"Amber Schisler","0.437"
"11",694,7870,10,"Meghan Gregg","0.437"
"12",554,16830,12,"Marissa Reynolds","0.436"
"13",257,5867,12,"Sydni Emanuel","0.436"
"14",402,13123,14,"Justyce Mcclain","0.435"
"15",288,20103,14,"Maya Thomas","0.435"
"16",458,15341,16,"Haley Pace","0.433"
"17",428,11978,17,"Kendyl Lindaman","0.432"
"18",66,3305,17,"Rebekah Cervantes","0.432"
"19",2678,8676,17,"Tonnay Hawkins","0.432"
"20",14,19026,20,"Elizabeth Snow","0.431"
"21",796,13797,20,"Chloe Miller","0.431"
"22",625,13057,20,"Shelby Maze","0.431"
"23",368,3172,23,"Courtney Cashman","0.430"
"24",51,2983,23,"Lindsey Cargill","0.430"
"25",175,19035,25,"Gabrielle Snyder","0.429"
"26",529,12438,25,"Alexis Mack","0.429"
"27",433,4204,25,"Elantra Cox","0.429"
"28",72,13101,28,"Caitlyn Mccarron","0.428"
"29",732,6482,29,"Hannah Flippen","0.424"
"30",257,5864,30,"Cortni Emanuel","0.423"
"31",2711,15730,31,"Navia Penrod","0.422"
"32",518,16029,32,"Lilli Piper","0.421"
"33",2707,11674,32,"Kendra Leach","0.421"
"34",96,9561,34,"Morgan Howe","0.418"
"35",275,16881,34,"Rhianna Rich","0.418"
"36",51,21166,34,"Kyla Walker","0.418"
"37",441,15104,37,"Bethany Olea","0.416"
"38",472,9485,38,"Kelsey Horton","0.415"
"39",202,13914,38,"Rachel Minogue","0.415"
"40",626,13663,38,"Zaria Meshack","0.415"
"41",191,17619,41,"Linda Rush","0.414"
"42",234,21319,42,"Jessie Warren","0.413"
"43",654,491,43,"Rachel Anderson","0.412"
"44",101,7446,43,"Taylor Glover","0.412"
"45",732,20670,45,"Anissa Urtez","0.410"
"46",234,10970,45,"Morgan Klaevemann","0.410"
"47",61,9952,47,"Ryan Jackson","0.408"
"48",540,323,47,"Leah Allen","0.408"
"49",792,562,47,"Maddie Antone","0.408"
"50",522,13592,47,"Nicole Mendes","0.408"
"51",110,15767,47,"Kylee Perez","0.408"
"52",450,8828,52,"Rachel Heinze","0.407"
"53",562,5417,52,"Rebecca Drake","0.407"
"54",149,6573,54,"Taty Forbes","0.406"
"55",229,12078,55,"Emily Lochten","0.405"
"56",774,3564,55,"Kelsea Cichocki","0.405"
"57",17,9680,57,"Taylor Hughes","0.403"
"58",627,19191,57,"Taylor Spence","0.403"
"59",7,3296,59,"Valerie Centeno","0.402"
"60",365,11465,59,"Bailey Landry","0.402"
"61",587,716,61,"Taryn Atlee","0.400"
"62",651,22323,61,"Kristen Wyckoff","0.400"
"63",416,6546,63,"Lea Foerster","0.399"
"64",529,20625,63,"Nikki Udria","0.399"
"65",748,20428,63,"Brianna Tredway","0.399"
"66",302,21416,63,"Lexi Watts","0.399"
"67",521,18546,67,"Vanessa Shippy","0.398"
"68",418,2911,67,"Faith Canfield","0.398"
"69",513,21625,67,"Ali Wester","0.398"
"70",441,3782,70,"Delene Colburn","0.397"
"71",388,4525,70,"Elicia D'orazio","0.397"
"72",406,17556,72,"Meghan Rud","0.396"
"73",646,20287,72,"Kaleigh Todd","0.396"
"74",249,3917,74,"Jenna Cone","0.395"
"75",77,19870,74,"Lexi Tarrow","0.395"
"76",202,14465,76,"Paige Murphy","0.394"
"77",404,20477,76,"Kyler Trosclair klatt","0.394"
"78",703,5850,76,"Taylor Ellsworth","0.394"
"79",706,19451,76,"Lindsey Stewart","0.394"
"80",655,14766,80,"Kinsey Nichols","0.393"
"81",483,14348,80,"Samantha Mracich","0.393"
"82",314,14683,80,"Victoria Nelson","0.393"
"83",709,16870,83,"Chandler Rice","0.392"
"84",678,21367,83,"Kelsey Waters","0.392"
"85",156,14654,85,"Amber Nelson","0.391"
"86",416,6089,85,"Kaitlyn Eveland","0.391"
"87",428,9516,85,"Maddie Houlihan","0.391"
"88",454,20605,88,"Jessica Twaddle","0.390"
"89",418,3536,88,"Kelly Christner","0.390"
"90",490,2960,90,"Jade Caraway","0.389"
"91",1014,5574,90,"Taylor Dupree","0.389"
"92",671,17847,92,"Dj Sanders","0.388"
"93",735,19455,92,"Samantha Stewart","0.388"
"94",235,12208,92,"Amanda Lorenz","0.388"
"95",29,13633,92,"Mo Mercado","0.388"
"96",346,17266,92,"Brittany Rodriguez","0.388"
"97",253,19016,97,"Emily Snider","0.387"
"98",600,13355,97,"Cheyenne Mckee","0.387"
"99",444,16451,99,"Allison Rager","0.386"
"100",678,20822,99,"Jazz Vasquez","0.386"
