"","team_id","player_id","rank","player","ip"
"1",493,70181,1,"Jacquelyn Sertic",288.2
"2",388,20029,2,"Jordan Dixon",278
"3",670,67171,3,"Randi Rupp",260.2
"4",90,37177,4,"Sierra Hyland",258.2
"5",96,21198,5,"Kamalani Dung",251.1
"6",756,1407,5,"Taran Alvelo",251.1
"7",433,44397,7,"Kaitlin Lee",247
"8",719,81728,8,"Emily Watson",244.3
"9",317,29104,9,"Megan Good",244.1
"10",439,64888,10,"Amanda Riley",243.1
"11",346,46761,11,"Ciara Luna",237.1
"12",301,84530,12,"Breanna Wonderly",236.1
"13",1004,28850,12,"Kayla Gomness",236.1
"14",331,43003,14,"Ronnie Ladines",235.3
"15",702,13776,14,"Samantha Clakley",235.3
"16",418,5868,16,"Megan Betsa",234.1
"17",490,71434,17,"Peyton Silverman",231.1
"18",299,24270,18,"Sarah Finck",230.2
"19",519,20494,19,"Savannah jo Dorsey",230
"20",796,51797,20,"Kaitlyn Menz",228.2
"21",28600,39272,21,"Mandy Jordan",226.2
"22",67,20802,22,"Jessica Dreswick",226
"23",661,44826,23,"Jennifer Leonhardt",223.3
"24",52,26316,24,"Sabrina Fussenegger",222.1
"25",129,41592,25,"Rachel Knapp",221.3
"26",782,47804,26,"Kaitlyn Malone",221.2
"27",5,31823,27,"Lexie Handley",221
"28",458,84253,28,"Haley Wiseman",219.3
"29",758,7006,29,"Kirtlyn Bohling",219.2
"30",660,12902,30,"Haley Chambers-book",219
"31",107,15019,31,"Zoe Conley",218
"32",51,70041,32,"Kelsee Selman",217.1
"33",457,60791,33,"Brittany Pickett",216.1
"34",739,44023,34,"Brette Lawrence",216
"35",196,65048,35,"Lydia Ritchie",214
"36",563,54276,36,"Abby Morrow",211.3
"37",77,9780,37,"Mckenna Bull",211.1
"38",498,16141,38,"Melanie Coyne",210.3
"39",189,72376,39,"Kailee Smith",210.2
"40",328,63939,40,"Alexis Reid",210.1
"41",29,57185,41,"Danielle O'toole",209.3
"42",659,38993,42,"Brianna Jones",208.3
"43",371,39114,43,"Kiley Jones",207.3
"44",1068,53118,44,"Kiandra Mitchum",207.2
"45",231,67618,45,"Shannon Saile",207.1
"46",630,45420,46,"Katelyn Linford",206.1
"47",454,65575,46,"Mason Robinson",206.1
"48",2,35570,48,"Sidney Holman-mansell",205
"49",37,11687,49,"Kaylee Carlson",204.2
"50",10411,50879,50,"Holly Mckinnon",203.3
"51",522,58936,50,"Paige Parker",203.3
"52",277,34965,52,"Brittany Hitchcock",203.2
"53",428,30395,52,"Sara Groenewegen",203.2
"54",771,37425,54,"Emily Ira",203.1
"55",446,4972,55,"Amy Begg",202.2
"56",26172,12080,55,"Liz Carter",202.2
"57",817,46861,57,"Maddi Lusk",202.1
"58",367,4860,58,"Maryssa Becker",201.2
"59",104,30816,58,"Veronika Gulvin",201.2
"60",772,20677,60,"Kathryn Downing",200
"61",8,58062,61,"Alexis Osorio",198.3
"62",1157,17169,62,"Alley Cutting",198.1
"63",184,54996,62,"Liz Murphy",198.1
"64",236,62633,64,"Lauren Quense",197.1
"65",110,27002,65,"Rachel Garcia",196.2
"66",128,82801,66,"Alea White",196.1
"67",1356,43688,67,"Andie Larkins",195.3
"68",459,4587,68,"Alicia Bazonski",195.2
"69",228,59931,68,"Kenya Pereira",195.2
"70",606,79984,70,"Ashley Ventura",194.3
"71",502,63672,71,"Jayme Reddacliff",194.1
"72",2711,29926,71,"Logan Green",194.1
"73",244,5750,73,"Lindsey Bert",193.1
"74",248,80439,74,"Marina Vitalich",192.3
"75",235,4008,75,"Kelly Barnhill",192.2
"76",746,58043,76,"Erika Osherow",192.1
"77",355,19844,76,"Julia Dimartino",192.1
"78",28755,63280,78,"Riley Randolph",191.3
"79",694,54443,79,"Matty Moss",191.1
"80",334,62226,79,"Meagan Prince",191.1
"81",508,9195,81,"Mikayla Brown",190.2
"82",115,3324,82,"Katie Baker",190.1
"83",400,14652,82,"Meg Colleran",190.1
"84",315,28202,84,"Whitney Gillespie",189.3
"85",2699,24260,85,"Nickole Finch",188.2
"86",363,27484,85,"Sydney Gay",188.2
"87",472,29916,87,"Kayla Green",188.1
"88",488,80663,88,"Zadaisha Waddell",187.3
"89",234,10266,89,"Jessica Burroughs",187.1
"90",695,40455,90,"Brooke Kennedy",187
"91",700,69672,91,"Kassidy Scott",186.2
"92",441,35769,91,"Michaela Hood",186.2
"93",349,21690,93,"Alexis Eastman",184.3
"94",270,2977,94,"Allyson Babinsack",184.1
"95",180,11597,95,"Jordan Cargile",184
"96",483,43395,96,"Megan Landry",183.3
"97",305,37271,97,"Kenzie Ihle",183.1
"98",521,55580,98,"Brandi Needham",182.2
"99",352,11130,99,"Christine Campbell",181.2
"100",466,37499,99,"Mckenna Isenberg",181.2
