"","team_id","player_id","rank","player","opp_avg"
"1",382,71375,1,"Charli Shinstine",0.142
"2",1036,25173,2,"Gina Followell",0.149
"3",789,45068,3,"Sadie Leonard",0.15
"4",1400,75544,4,"Ashlyn Strother",0.151
"5",122,53321,5,"Lexi Miskey",0.154
"6",20220,44828,6,"Kennedy Lehn",0.156
"7",30190,82408,7,"Mackenzie Weaver",0.16
"8",1179,40502,8,"Tayah Kelley",0.162
"9",60,71891,9,"Kayla Simacek",0.165
"10",30197,12059,10,"Kennedy Carruth",0.167
"11",1203,46220,11,"Grason Long",0.168
"12",565,22449,12,"Gracie Ellis",0.17
"13",1133,72943,12,"Mckenna Smith",0.17
"14",313,61470,14,"Riley Piromalli",0.174
"15",281,39939,15,"Darian Kanno",0.175
"16",1062,40472,15,"Hannah Kelley",0.175
"17",973,31580,17,"Blair Hall",0.179
"18",139,1022,17,"Kate Alger",0.179
"19",372,15472,19,"Kendra Cooper",0.183
"20",542,54675,20,"Kali Morton",0.184
"21",622,84618,21,"Lindsey Windsor",0.185
"22",259,47179,21,"Rylee Lutz",0.185
"23",424,2332,23,"Aly Armstrong",0.186
"24",787,52874,23,"Jaelynn Miller",0.186
"25",401,51870,25,"Brianna Melchionda",0.188
"26",717,19771,25,"Sophia Dicocco",0.188
"27",28593,2854,27,"Margaret Axelson",0.189
"28",656,64995,28,"Jill Richards",0.19
"29",150,77805,29,"Ellie Thurow",0.192
"30",126,36935,29,"Sydni Huisman",0.192
"31",16142,50984,31,"Alexa Mchugh",0.193
"32",17094,55308,31,"Katherine Murphy",0.193
"33",8981,16060,33,"Jaylin Couto",0.194
"34",45,57499,33,"Moira O'reilly",0.194
"35",681,78518,35,"Nerina Tramp",0.195
"36",1062,16600,36,"Ashley Croft",0.197
"37",549,81152,36,"Devin Waddell",0.197
"38",578,40024,36,"Jada Karnes",0.197
"39",656,71420,36,"Kaitlyn Shirshac",0.197
"40",798,24449,40,"Madelyn Fink",0.198
"41",605,60140,40,"Meredith Pence",0.198
"42",190,14950,42,"Bailey Comeau",0.199
"43",390,9945,42,"Caitlyn Burch",0.199
"44",11538,43085,44,"Hailey Kutz",0.2
"45",475,66675,44,"Lindsay Roman",0.2
"46",258,25371,44,"Paige Forry",0.2
"47",581,8800,47,"Molly Broccolo",0.202
"48",351,72135,48,"Erin Sinatra",0.203
"49",19,5086,49,"Aleya Belardinelli",0.204
"50",452,10816,49,"Kendyll Cahill",0.204
"51",1434,84539,49,"Sydney Wilson",0.204
"52",1111,41622,52,"Alison Klaus",0.205
"53",30081,69029,52,"Mackenzie Sawdey",0.205
"54",15,61434,54,"Ashley Pion",0.207
"55",88,10677,54,"Avery Byrnes",0.207
"56",200,75119,54,"Carley Stoker",0.207
"57",325,3710,54,"Cate Baran",0.207
"58",595,57038,54,"Elly Novak",0.207
"59",455,72776,54,"Hannah Smith",0.207
"60",321,68698,54,"Jailene Santiago",0.207
"61",966,62453,54,"Juliana Presto",0.207
"62",364,33824,62,"Ashlyn Hemm",0.208
"63",297,20867,62,"Julia Drake",0.208
"64",336,57062,64,"Emily Novicki",0.209
"65",398,43795,65,"Caroline Langmeyer",0.21
"66",601,59626,65,"Jess Patterson",0.21
"67",805,1724,65,"Maddy Anderson",0.21
"68",802,86748,68,"Ashley Zygowski",0.212
"69",722,81437,68,"Dana Walker",0.212
"70",775,4952,68,"Megan Beebe",0.212
"71",137,33602,68,"Paige Heffke",0.212
"72",238,54210,72,"Ally Moran",0.213
"73",319,17393,72,"Sidnie Dabbadie",0.213
"74",1164,31664,72,"Skylar Hall",0.213
"75",4,69252,75,"Macee Schang",0.214
"76",18,33028,76,"Arden Hatch",0.215
"77",351,81722,76,"Jordan Walter",0.215
"78",1468,54471,78,"Bridget Morris",0.216
"79",8567,40627,78,"Casey Kemp",0.216
"80",382,54815,78,"Emily Mottoshiski",0.216
"81",1203,24973,78,"Kami Flores",0.216
"82",114,42623,78,"Kirsten Krause",0.216
"83",745,70218,83,"Emily Seale",0.219
"84",8486,71068,84,"Eryn Sheeley",0.22
"85",134,48024,84,"Rose Malen",0.22
"86",798,56136,84,"Sydney Nemetz",0.22
"87",373,67693,87,"Kylie Russell",0.221
"88",40,63688,87,"Nadia Ranieri",0.221
"89",300,48481,87,"Nina Mardjetko",0.221
"90",296,46146,90,"Alex Loizon",0.223
"91",200,80743,91,"Alyssa Vilchez",0.224
"92",642,63346,91,"Lindsey Raimondi",0.224
"93",126,4829,93,"Emma Beck",0.225
"94",150,2741,93,"Hannah Ausenhus",0.225
"95",263,71943,93,"Kassie Simmons",0.225
"96",443,17072,93,"Madi Cunningham",0.225
"97",30044,72680,97,"Briana Smith",0.226
"98",8530,45344,97,"Jenna Lewis",0.226
"99",168,82570,97,"Karlee Weeden",0.226
"100",9500,16566,100,"Trinity Critelli",0.227
