"","team_id","player_id","rank","player","sb"
"1",422,74875,1,"Nyia Westbrook",56
"2",55,46377,2,"Taylor Mcneal",53
"3",25,40723,3,"Ashlyn Lerma",51
"4",584,71058,4,"Ashley Troutman",48
"5",358,25669,5,"Kelsie Gilliam",47
"6",9004,41315,6,"Taylor Lipkins",45
"7",30028,65654,7,"Jt Smith",43
"8",70,21037,8,"Kayla Evans",41
"9",568,11152,8,"Jessi Case",41
"10",291,29467,10,"Micaela Harris",40
"11",422,58021,10,"Erielle Reid",40
"12",1346,26301,10,"Lauren Gonzales",40
"13",1460,48737,10,"Lexi Moore",40
"14",30002,1684,14,"Kendall Andrews",38
"15",584,25273,15,"Grace Germer",37
"16",765,46855,15,"Madison Melvin",37
"17",20794,64978,15,"Morgan Simpson",37
"18",728,11922,18,"Ari Charles",36
"19",1071,73757,18,"Abbey Ward",36
"20",30002,8296,18,"Jessie Brown",36
"21",30050,3845,18,"Rosie Bartletti",36
"22",1245,13990,22,"Courtlynn Cooney",34
"23",30127,19062,22,"Megan Duclos",34
"24",360,26466,24,"Delaney Good",33
"25",24639,65478,24,"Alexis Smith",33
"26",174,48874,26,"Sharon Morales",32
"27",197,74506,26,"Abigail Weirich",32
"28",720,57764,26,"T'yauna Rector",32
"29",144,63219,29,"Jazmine Scott",31
"30",437,13784,29,"Steph Conrade",31
"31",591,55912,29,"Jackie Popko",31
"32",1013,60361,29,"Hannah Rose",31
"33",9012,72224,29,"Yazmin Vargas",31
"34",30119,42922,29,"Allison Madden",31
"35",13,33636,35,"Madison Hurt",30
"36",30050,37690,35,"Ashley Klinzing",30
"37",262,25980,37,"Lydia Goble",29
"38",1071,75829,37,"Lexi Williams",29
"39",20794,62329,37,"Taylor Scala",29
"40",307,71085,40,"Paige Truax",28
"41",309,50923,40,"Megan Nichols",28
"42",984,772,40,"Sierra Albritton",28
"43",1462,31852,40,"Kaylee Hobgood",28
"44",197,72653,44,"Reilly Vicendese",27
"45",241,38152,44,"Melissa Konopinski",27
"46",243,25602,44,"Laura Gilford",27
"47",395,64344,44,"Taylor Shingler",27
"48",413,26928,44,"Kami Grammerstorf",27
"49",591,25291,44,"Sarah Gersch",27
"50",1085,15649,44,"Makayla Cuthbertson",27
"51",1097,65052,44,"Kimmy Singer",27
"52",1403,74960,44,"Taylor Whalen",27
"53",30134,40319,44,"Kayla Lee",27
"54",30179,2949,44,"Brooklin Bain",27
"55",30191,32408,44,"Macy Holt",27
"56",262,12540,56,"Joanna Cirrincione",26
"57",470,12090,56,"Bella Chenet",26
"58",1460,25694,56,"Taylor Gillis",26
"59",8875,48053,56,"Mckenzie Misenhiemer",26
"60",30058,32897,56,"Brenay Howard",26
"61",30141,46072,56,"Sydney Mckeever",26
"62",360,45318,62,"Riley Mcclellan",25
"63",395,50601,62,"Melanie Nelson",25
"64",985,75340,62,"Paige Whittington",25
"65",1076,49143,62,"Judeah Morris",25
"66",2720,60009,62,"Raelynn Rogers",25
"67",8366,35059,62,"Chasedy Johnson",25
"68",8935,47519,62,"Chesney Miles",25
"69",30063,26942,62,"Nina Grandey",25
"70",55,40899,70,"Deyonce Lewis",24
"71",155,16820,70,"Lauren Decker",24
"72",197,46117,70,"Brooke Mckeown",24
"73",230,51074,70,"Ella Niles",24
"74",262,32276,70,"Hannah Hollister",24
"75",643,8220,70,"Arielle Brown",24
"76",1314,2168,70,"Heather Arnett",24
"77",8366,16334,70,"Hannah Davis",24
"78",9223,75636,70,"Lexis Wilkinson",24
"79",30177,31076,70,"Skylar Herrera",24
"80",767,45391,80,"Gabie Mcconnell",23
"81",1096,32012,80,"Mackenzie Hoffman",23
"82",1334,72704,80,"Arianna Vidales",23
"83",2814,46520,80,"Marrit Mead",23
"84",30127,33276,80,"Amy Hughes",23
"85",30244,39322,80,"Caitlynne Lamug",23
"86",70,31506,86,"Jayla Hill",22
"87",241,10301,86,"Ashley Cangiano",22
"88",395,14282,86,"Emily Corona",22
"89",408,23723,86,"Madison Fry",22
"90",1012,60560,86,"Aliyah Rothstein",22
"91",1071,17712,86,"Alexis Dial",22
"92",1071,14185,86,"Ari Cordova",22
"93",9223,16349,86,"Jenna Davis",22
"94",30013,42795,86,"Ana Macha",22
"95",30126,21941,86,"Danielle Fick",22
"96",30177,56908,86,"Berkeley Quinn",22
"97",36,19585,97,"Jordan Dwyer",21
"98",70,35720,97,"Morgan Joseph",21
"99",237,75860,97,"Miriah Williams",21
"100",241,75712,97,"Bella Williams",21
"101",243,56119,97,"Brianna Powell",21
"102",333,53795,97,"Shelbi Patterson",21
"103",339,67695,97,"Brianna Stocklin",21
"104",347,4029,97,"Ariana Battle",21
"105",358,12832,97,"Taylor Clegg",21
"106",645,78109,97,"Anna Zoia-buescher",21
"107",1116,35482,97,"Hanna Jones",21
"108",2697,21544,97,"Jayda Favela",21
"109",12830,50823,97,"Kallyn Newport",21
"110",30244,63236,97,"Laura Scott",21
