"","team_id","player_id","rank","player","sb"
"1",671,17876,1,"Mihyia Davis",52
"2",466,69559,2,"Chelie Senini",50
"3",261,53307,3,"Kaytlyn Moore",47
"4",10411,43573,3,"Denver Lauer",47
"5",603,5919,5,"Jess Bianco",43
"6",7,19018,6,"Kindall Deramus",42
"7",108,19154,6,"Anna Dethlefson",42
"8",388,14439,6,"Alex Coleman",42
"9",261,81707,9,"India Wells",41
"10",164,32569,10,"Lexi Hastings",40
"11",694,52356,11,"Kiki Milloy",39
"12",363,61099,12,"Jaden Pone",36
"13",366,67030,12,"Sierra Sacco",36
"14",380,50205,12,"Grace Mcgouldrick",36
"15",112,22350,15,"Morgan Eng",35
"16",116,50124,15,"Christie Mcgee-ross",35
"17",164,37584,17,"Aziah James",34
"18",315,38759,17,"Emma Jones",34
"19",503,70628,17,"Caitlyn Shumaker",34
"20",1104,10075,17,"Hannah Burnett",34
"21",732,18901,21,"Haley Denning",33
"22",655,28935,22,"Cameron Goodman",32
"23",115,49554,23,"Makayla Mcclain",31
"24",234,24396,23,"Devyn Flaherty",31
"25",248,80934,23,"Rachel Warrens",31
"26",235,80489,26,"Skylar Wallace",30
"27",434,42796,26,"Jenna Laird",30
"28",626,22696,26,"Bella Espinoza",30
"29",115,58502,29,"Tyra Parker",29
"30",175,68963,29,"Emma Schutter",29
"31",419,50932,29,"Laura Mealer",29
"32",175,17397,32,"Emily Daniel",28
"33",392,51936,32,"Megan Mikami",28
"34",756,11949,32,"Brooklyn Carter",28
"35",235,23184,35,"Kendra Falby",27
"36",275,6813,35,"Lauren Bobowski",27
"37",283,47688,35,"Chelsea Manto",27
"38",314,36165,35,"Samiyyah Huckabee",27
"39",646,8210,35,"Mackenzie Brasher",27
"40",231,43254,40,"Ashton Lansdell",26
"41",254,9010,40,"Emily Brown",26
"42",355,47015,40,"Kk Madrey",26
"43",386,25564,40,"Sam Freeland",26
"44",419,21633,40,"Shelby Echols",26
"45",587,67531,40,"Kyleigh Sand",26
"46",669,24916,40,"Abby Ford",26
"47",794,27823,40,"Tiffany Giese",26
"48",2711,32014,40,"Kayla Harper",26
"49",68,14332,49,"Caitlin Coker",25
"50",261,38573,49,"Ta'mya Johnson",25
"51",402,69544,49,"Alayis Seneca",25
"52",402,63839,49,"Reese Reyna",25
"53",671,33040,49,"Karly Heath",25
"54",28755,6342,49,"Olivia Black",25
"55",220,80894,55,"Charli Warren",24
"56",314,73682,55,"Mari Stephens",24
"57",367,34040,55,"Daisy Hess",24
"58",466,28021,55,"Bridgette Gilliano",24
"59",483,71244,55,"Claire Sisco",24
"60",603,37759,55,"London Jarrard",24
"61",5,71283,61,"Brooke Sivek",23
"62",7,54800,61,"Madison Myers",23
"63",47,66165,61,"Remington Ross",23
"64",367,57697,61,"Korbe Otis",23
"65",466,13810,61,"Madison Clark",23
"66",503,37591,61,"Courtney James",23
"67",609,41916,61,"Gabbie Kowalik",23
"68",648,23078,61,"Jordan Fabian",23
"69",1004,82661,61,"Jenna Wildeman",23
"70",10411,76424,61,"Taliyah Thomas",23
"71",28755,13225,61,"Emily Chiarella",23
"72",7,26866,72,"Jaeda Gardner",22
"73",153,11687,72,"Rachel Carney",22
"74",234,66119,72,"Amaya Ross",22
"75",257,28960,72,"Dallis Goodnight",22
"76",388,13135,72,"Grace Chelemen",22
"77",392,50071,72,"Jaeda Mcfarland",22
"78",408,25871,72,"Madison Fry",22
"79",446,76278,72,"Asia Thomas",22
"80",498,3022,72,"Lourdes Bacon",22
"81",504,58538,72,"Madison Parks",22
"82",579,41883,72,"Alaina Koutsogiani",22
"83",746,2854,72,"Kelly Ayer",22
"84",746,36910,72,"Jade Hylton",22
"85",769,8463,72,"Brooklynn Brewington",22
"86",782,3866,72,"Addison Barnard",22
"87",1092,23482,72,"Kasey Fava",22
"88",14,60070,88,"Morgan Petty",21
"89",51,83358,88,"Mckenzie Wilson",21
"90",193,37966,88,"D'auna Jennings",21
"91",228,81126,88,"Kiauna Watson",21
"92",308,37946,88,"Taryn Jenkins",21
"93",386,62084,88,"Peyton Pusey",21
"94",464,66170,88,"Sydney Ross",21
"95",465,68576,88,"Maddie Schmidt",21
"96",488,22800,88,"Alyxx Estrada",21
"97",497,14168,88,"Lexi Cobb",21
"98",670,21493,88,"Hannah Earls",21
"99",678,22490,88,"Kami Eppley",21
"100",37,71628,100,"Abbey Smith",20
"101",62,31796,100,"Alayna Harbaugh",20
"102",116,14105,100,"Alyssa Cloutier",20
"103",147,7090,100,"Julia Bomhardt",20
"104",388,5951,100,"Sydney Bickel",20
"105",434,35481,100,"Alex Honnold",20
"106",483,50064,100,"Brianna Mcfaddin",20
"107",497,71017,100,"Cierra Simon",20
"108",509,70160,100,"Skyler Shellmyer",20
"109",540,8977,100,"Brianna Brown",20
"110",563,50667,100,"Cori Mcmillan",20
"111",639,75253,100,"Mckenzie Swinson",20
"112",702,55227,100,"Marley Neises",20
"113",1004,32217,100,"Tremere Harris",20
"114",10411,61700,100,"Sarah Price",20
