"","team_id","player_id","rank","player","hr"
"1",1097,82946,1,"Zoe Willis",25
"2",159,15347,2,"Hannah rose Corbin",23
"3",358,73042,3,"Ann marie Stanbridge",20
"4",734,74645,3,"Abby Sulte",20
"5",159,1463,5,"Elyse Ambrose",19
"6",159,4509,5,"Kenzie Bayer",19
"7",767,67149,5,"Ruby Salzman",19
"8",41,9548,8,"Kennedy Buckman",18
"9",358,77236,8,"Lp Trammell",18
"10",11416,16477,8,"Rylee Crouch",18
"11",30052,24884,8,"Hannah Forehand",18
"12",429,21495,12,"Kamryn Eaton",17
"13",701,43785,13,"Alyssa Leblanc",16
"14",1012,42067,13,"Mackenzi Kroll",16
"15",1013,1863,13,"Isabella Andujar",16
"16",11403,51730,13,"Kenzie Middleton",16
"17",30177,24555,13,"Kasey Flores",16
"18",30199,65487,13,"Rylie Rohr",16
"19",429,43964,19,"Mccall Lee",15
"20",638,48041,19,"Hannah Marsteller",15
"21",734,44664,19,"Taylor Lewis",15
"22",1000,3182,19,"Macauley Bailey",15
"23",1097,47673,19,"Isabel Marcotte",15
"24",1174,1740,19,"Santana Anderson",15
"25",1238,64917,19,"Taylor Robinson",15
"26",11416,31158,19,"Brandi Haller",15
"27",12810,6948,19,"Chloe Bohuslavicky",15
"28",159,51950,28,"Brooke Miller",14
"29",309,56357,28,"Emily O'connor",14
"30",429,22447,28,"Jenna Ergle",14
"31",734,46638,28,"Taylor Macera",14
"32",1462,8829,28,"Savanna Brooks",14
"33",2720,14349,28,"Caitlyn Cole",14
"34",8956,67003,28,"Giovanna Salcido",14
"35",11403,51259,28,"Logan Menzies",14
"36",11416,61719,28,"Miranda Pruitt",14
"37",12810,83551,28,"Addy Wolfe",14
"38",12810,22890,28,"Savannah Evans",14
"39",30138,73119,28,"Olivia Stansbury",14
"40",429,23037,40,"Brooke Fagan",13
"41",643,36572,40,"Alexsa Hurd",13
"42",734,34335,40,"Morgan Hill",13
"43",767,54537,40,"Diana Murtha",13
"44",1009,18958,40,"Emily Deramus",13
"45",1009,31926,40,"Shayla Harper",13
"46",1085,39334,40,"Danielle Karacson",13
