"","team_id","player_id","rank","player","so"
"1",37,15732,1,"Maddie Penta",295
"2",8,6627,2,"Montana Fouts",293
"3",464,13696,3,"Kamryn Meyer",283
"4",428,15669,4,"Autumn Pease",273
"5",742,11795,5,"Emma Lemley",271
"6",504,9048,6,"Samantha Heyer",267
"7",97,19702,7,"Myka Sutherlin",242
"8",649,11034,7,"Tori Kniesche",242
"9",370,15763,9,"Jenna Perez",233
"10",115,18901,10,"Isabella Smith",232
"11",248,16618,11,"Aly Rayle",229
"12",110,6159,12,"Megan Faraimo",228
"13",521,13013,13,"Kelly Maxwell",224
"14",418,5022,14,"Lauren Derkowski",216
"15",388,14696,15,"Sydney Nester",214
"16",646,11370,15,"Olivia Lackie",214
"17",792,1135,17,"Reese Basinger",212
"18",454,10003,18,"Hannah James",211
"19",116,7316,19,"Megan Giese",208
"20",14927,10282,20,"Maya Johnson",207
"21",414,16247,21,"Brianna Pratt",205
"22",518,18843,22,"Allison Smith",203
"23",648,7452,23,"Donnie Gobourne",202
"24",175,10721,24,"Izzy Kemp",198
"25",509,21878,25,"Danielle Williams",196
"26",129,11775,26,"Grace Lehto",195
"27",1004,1260,27,"Kayla Beaver",194
"28",756,13701,27,"Ruby Meylan",194
"29",392,22321,29,"Courtney Wyche",192
"30",68,16865,29,"Kasey Ricard",192
"31",11504,4172,31,"Autumn Courtney",191
"32",732,12192,32,"Mariah Lopez",190
"33",716,10272,33,"Leanna Johnson",188
"34",147,2761,33,"Valerie Cagle",188
"35",43,1384,33,"Jordan Benefiel",188
"36",77,11139,36,"Kaysen Korth",187
"37",26172,174,37,"Primrose Aholelei",186
"38",664,11781,38,"Morgan Leinstock",185
"39",772,7066,39,"Katie Gardner",183
"40",310,22524,39,"Kara Zazzaro",183
"41",371,15737,41,"Peyton Pepkowski",180
"42",61,7551,42,"Halyne Gonzales",179
"43",31,4919,43,"Chenise Delce",177
"44",670,14399,44,"Jessica Mullins",176
"45",539,15543,45,"Bailey Parshall",173
"46",554,11599,46,"Alexis Laudenslager",171
"47",522,835,46,"Jordyn Bahl",171
"48",308,10340,48,"Alanah Jones",170
"49",694,17326,48,"Ashley Rogers",170
"50",600,20912,50,"Grace Vesco",168
"51",189,9748,50,"Mackenzie Hupke",168
"52",609,21573,52,"Chloe Wendling",167
"53",288,21836,53,"Kenna Wilkey",166
"54",1004,10246,53,"Jordan Johnson",166
"55",473,12011,55,"Amber Linton",164
"56",68,1790,56,"Allison Boaz",163
"57",774,864,56,"Rissa Bajusz",163
"58",149,2059,58,"Raelee Brabham",162
"59",493,20802,59,"Paige Vargas",160
"60",86,12301,60,"Alexis Lucyshyn",159
"61",193,4451,60,"Cassidy Curd",159
"62",2699,2461,60,"Madison Bryant",159
"63",48,10506,63,"Annah Junge",158
"64",519,13856,64,"Skipp Miller",157
"65",439,10787,64,"Billie Kerwood",157
"66",457,809,66,"Lilli Backes",156
"67",112,3288,66,"Jada Cecil",156
"68",255,14653,68,"Blake Neleman",153
"69",355,10643,69,"Karlie Keeney",152
"70",709,9724,69,"Erin Hunt",152
"71",674,20844,71,"Alana Vawter",151
"72",482,9057,71,"Madelyn Hickingbottom",151
"73",458,7897,73,"Sam Gress",150
"74",361,4193,74,"Lindsey Cowans",149
"75",671,11470,74,"Sam Landry",149
"76",306,4053,76,"Brianna Copeland",148
"77",67,5567,77,"Abby Dunning",147
"78",386,15950,77,"Calista Phippen",147
"79",817,9569,79,"Sophie Howell",146
"80",600,12739,79,"Rachel Marsden",146
"81",334,18133,79,"Stephanie Schoonover",146
"82",504,15353,82,"Kailyn Packard",145
"83",7,7851,83,"Bailey Greenlee",144
"84",572,12392,83,"Liz Lynchard",144
"85",108,2361,85,"Kenedi Brown",143
"86",198,842,86,"Brianna Bailey",142
"87",635,18977,86,"Shelby Smith",142
"88",90,16546,86,"Sophia Ramuno",142
"89",661,14729,89,"Josie Newman",141
"90",301,18599,89,"Sydney Sickels",141
"91",1320,7844,89,"Jenna Greene",141
"92",671,18135,89,"Meghan Schorman",141
"93",596,15927,93,"Emily Phelan",139
"94",646,8422,94,"Jenna Hardy",138
"95",10411,10685,95,"Alyssa Kelly",137
"96",711,7069,95,"Maddie Gardner",137
"97",446,9732,95,"Anaya Hunte",137
"98",1157,9151,95,"Kenley Hilleary",137
"99",29,14702,99,"Devyn Netz",135
"100",315,9360,100,"Jaliyah Holmes",134
"101",14927,19674,100,"Emma Summers",134
"102",66,3255,100,"Taylor Caudill",134
