"","team_id","player_id","rank","player","xbh"
"1",1104,6338,1,"Kristin Fifield",42
"2",694,13873,2,"Kiki Milloy",38
"3",306,10771,3,"Taryn Kern",37
"4",147,2761,4,"Valerie Cagle",35
"5",522,2234,4,"Alyssa Brito",35
"6",234,8411,4,"Kalei Harding",35
"7",235,21206,7,"Skylar Wallace",34
"8",110,2088,8,"Maya Brady",33
"9",504,16365,8,"Alexis Pupillo",33
"10",522,3816,8,"Jayda Coleman",33
"11",522,10122,8,"Tiare Jennings",33
"12",504,5246,12,"Mya Dodge",32
"13",367,17216,12,"Taylor Roby",32
"14",414,19148,12,"Karli Spaid",32
"15",518,21846,12,"Melina Wilkison",32
"16",419,13499,12,"Laura Mealer",32
"17",257,14315,12,"Sara Mosley",32
"18",742,15679,12,"Bre Peck",32
"19",355,9609,12,"Caroline Hudson",32
"20",521,14568,20,"Kiley Naomi",31
"21",110,7749,20,"Megan Grant",31
"22",414,1747,20,"Holly Blaska",31
"23",248,19856,20,"Haley Taormina",31
"24",472,1985,24,"Kayla Bowen",30
"25",31,8784,24,"Rylin Hedgecock",30
"26",128,6065,24,"Chloe Evans",30
"27",388,15309,27,"Autumn Owen",29
"28",257,10625,27,"Jayda Kearney",29
"29",700,22322,27,"Kailey Wyckoff",29
"30",694,16363,27,"Zaida Puni",29
"31",176,22132,27,"Anna Wohlers",29
"32",107,18948,27,"Makena Smith",29
"33",463,520,27,"Billie Andrews",29
"34",10411,5277,27,"Tiffany Domingue",29
"35",655,11234,27,"Bailey Krolczyk",29
"36",306,4053,27,"Brianna Copeland",29
"37",334,3754,37,"Erin Coffel",28
"38",434,9406,37,"Alex Honnold",28
"39",465,12820,37,"Ariana Martinez",28
"40",193,7493,37,"Ana Gold",28
"41",676,7012,37,"Gaby Garcia",28
"42",676,1411,37,"Mackenzie Bennett",28
"43",428,4983,37,"Natalie Denhartog",28
"44",306,13912,44,"Taylor Minnick",27
"45",694,7300,44,"Mckenna Gibson",27
"46",414,4433,44,"Allie Cummins",27
"47",521,1284,44,"Rachel Becker",27
"48",782,1025,44,"Addison Barnard",27
"49",603,10043,44,"London Jarrard",27
"50",756,10999,44,"Baylee Klingler",27
"51",283,7390,44,"Meghan Giordano",27
"52",392,11693,44,"Amelia Lech",27
"53",539,1668,44,"Lexie Black",27
"54",8,16238,44,"Ashley Prange",27
"55",782,12288,44,"Lauren Lucas",27
"56",149,10652,44,"Delaney Keith",27
"57",147,9970,44,"Caroline Jacobsen",27
"58",519,15441,44,"Annalia Paoli",27
"59",625,2417,44,"Grier Bruce",27
"60",428,3427,44,"Kayla Chavez",27
"61",703,7618,44,"Leighann Goode",27
"62",1004,14680,44,"Morgan Nelson",27
"63",6,17864,63,"Venice Sanders",26
"64",317,18526,63,"Hannah Shifflett",26
"65",659,12028,63,"Jackie Lis",26
"66",202,1096,63,"Vianna Barron",26
"67",202,15829,63,"Maggie Pertee",26
"68",739,6689,63,"Ava Franz",26
"69",458,11255,63,"Kassidy Krupit",26
"70",671,8760,63,"Karly Heath",26
"71",68,17405,63,"Kayla Roncin",26
"72",742,17036,63,"Emma Ritter",26
"73",193,20856,63,"Aminah Vega",26
"74",1104,5543,63,"Katelyn Dunckel",26
"75",772,8802,63,"Faith Hegh",26
"76",458,20787,63,"Bailey Vannoy",26
"77",257,3353,63,"Sydney Chambley",26
"78",355,17509,63,"Rachel Roupe",26
"79",96,4973,63,"Alesia Denby",26
"80",466,10079,63,"Aaliyah Jenkins",26
"81",2711,7443,63,"Shannon Glover",26
"82",352,3570,63,"Emily Cimino",26
"83",234,14355,63,"Kaley Mudge",26
"84",782,13380,84,"Sydney Mckinney",25
"85",367,15284,84,"Korbe Otis",25
"86",30095,3686,84,"Shea Clements",25
"87",522,11718,84,"Haley Lee",25
"88",257,11300,84,"Sydney Kuma",25
"89",28,20778,84,"Jordyn Vanhook",25
"90",414,7511,84,"Jenna Golembiewski",25
"91",244,12303,84,"Riley Ludlam",25
"92",235,5679,84,"Charla Echols",25
"93",732,1885,84,"Ellessa Bonstrom",25
"94",367,7664,84,"Sarah Gordon",25
"95",255,10604,84,"Emma Kauf",25
"96",317,12953,84,"Kk Mathis",25
"97",147,3632,84,"Mckenzie Clark",25
"98",68,3777,84,"Caitlin Coker",25
"99",201,13775,84,"Lindy Milkowski",25
"100",68,10658,84,"Lauren Keleher",25
"101",587,11974,84,"Payton Lincavage",25
"102",311,15056,84,"Milaysia Ochoa",25
"103",732,10162,84,"Julia Jimenez",25
"104",30095,9652,84,"Hannah Hughbanks",25
"105",625,3356,84,"Logan Champion",25
"106",434,4563,84,"Kara Daly",25
"107",306,19522,84,"Sarah Stone",25
