Team,Conf,Total,Team ID
Eastern Ill.,22-5-0,38-15-0,201
Southeast Mo. St.,19-8-0,25-24-0,654
Southern Ind.,16-10-0,22-19-0,661
Tennessee St.,15-10-0,24-23-0,691
UT Martin,15-12-0,28-23-0,695
Lindenwood,13-14-0,25-24-0,30136
Tennessee Tech,12-13-0,22-22-0,692
SIUE,9-17-0,17-33-0,660
Morehead St.,6-21-0,12-28-0,444
Western Ill.,5-22-0,16-34-0,771
