Team,Conf,Total,Team ID
Louisville,0-0,6-0-0,367
North Carolina,0-0,3-0-0,457
Virginia Tech,0-0,4-0-1,742
Clemson,0-0,6-1-0,147
Boston College,0-0,4-1-0,67
Duke,0-0,4-1-0,193
Florida St.,0-0,3-1-0,234
Notre Dame,0-0,3-2-0,513
Syracuse,0-0,3-2-0,688
Virginia,0-0,3-2-0,746
Pittsburgh,0-0,2-2-0,545
Georgia Tech,0-0,2-3-0,255
NC State,0-0,2-3-0,490
