Team,Conf,Total,Team ID
Fla. Atlantic,0-0,12-2-0,229
North Texas,0-0,8-2-0,497
UTSA,0-0,8-3-0,706
South Fla.,0-0,10-4-0,651
Memphis,0-0,7-3-0,404
UAB,0-0,6-3-0,9
Wichita St.,0-0,6-4-0,782
East Carolina,0-0,5-4-0,196
Tulsa,0-0,5-5-0,719
Charlotte,0-0,4-9-0,458
