Team,Conf,Total,Team ID
California,0-0,16-1-0,107
Arizona,0-0,15-1-0,29
Washington,0-0,14-2-0,756
Stanford,0-0,10-4-0,674
Arizona St.,0-0,11-6-0,28
Oregon,0-0,10-7-0,529
UCLA,0-0,7-5-0,110
Utah,0-0,8-6-0,732
Oregon St.,0-0,6-10-0,528
