Team,Conf,Total,Team ID
Idaho St.,0-0,3-1-0,294
Sacramento St.,0-0,3-1-0,102
Weber St.,0-0,3-2-0,758
Portland St.,0-0,2-3-0,550
Northern Colo.,0-0,1-3-0,502
Montana,0-0,1-4-0,441
