Team,Conf,Total,Team ID
Binghamton,0-0,3-2-0,62
Bryant,0-0,1-4-0,81
UMass Lowell,0-0,0-5-0,368
UAlbany,0-0,0-0,14
Maine,0-0,0-0,380
UMBC,0-0,0-0,391
