Team,Conf,Total,Team ID
Saint Louis,0-0,12-7-0,609
Dayton,0-0,10-8-0,175
Loyola Chicago,0-0,10-10-0,371
George Washington,0-0,9-11-0,249
Fordham,0-0,7-13-1,236
George Mason,0-0,7-15-0,248
Saint Joseph's,0-0,6-13-0,606
Massachusetts,0-0,4-15-0,400
St. Bonaventure,0-0,1-10-0,596
Rhode Island,0-0,1-15-0,572
