Team,Conf,Total,Team ID
Miami (OH),13-1-0,22-16-0,414
Ohio,8-2-0,25-10-0,519
Ball St.,9-4-0,24-10-0,47
Central Mich.,8-4-0,16-16-0,129
Akron,7-6-0,19-18-0,5
NIU,7-7-0,12-21-0,503
Western Mich.,4-7-0,10-26-0,774
Bowling Green,5-9-0,13-24-0,71
Toledo,3-8-0,10-22-0,709
Buffalo,3-8-0,8-24-0,86
Kent St.,0-11-0,6-28-0,331
