Team,Conf,Total,Team ID
Tulsa,2-0-0,14-7-0,719
UAB,2-0-0,12-11-0,9
North Texas,2-0-0,11-11-0,497
Charlotte,2-1-0,12-9-0,458
Fla. Atlantic,1-1-0,19-6-0,229
Wichita St.,1-1-0,10-7-0,782
South Fla.,1-2-0,18-8-0,651
East Carolina,0-2-0,21-4-0,196
UTSA,0-2-0,7-17-0,706
Memphis,0-2-0,3-18-0,404
