Team,Conf,Total,Team ID
Troy,0-0,2-0-0,716
South Alabama,0-0,2-1-0,646
App State,0-0,1-1-0,27
Coastal Carolina,0-0,1-1-0,149
Ga. Southern,0-0,1-1-0,253
Southern Miss.,0-0,1-1-0,664
Texas St.,0-0,1-1-0,670
Louisiana,0-0,0-2-0,671
Marshall,0-0,0-3-0,388
ULM,0-0,0-2-0,498
Georgia St.,0-0,0-0,254
James Madison,0-0,0-0,317
