Team,Conf,Total,Team ID
Cal St. Fullerton,20-4-0,34-21-0,97
Long Beach St.,18-6-0,31-23-0,99
CSUN,15-8-0,27-24-0,101
UC Davis,13-11-0,30-22-0,108
UC Santa Barbara,13-11-0,26-22-0,104
Hawaii,13-12-0,30-23-0,277
Cal Poly,10-14-0,19-23-0,90
UC Riverside,8-15-0,25-27-0,111
UC San Diego,8-16-0,19-33-0,112
CSU Bakersfield,2-23-0,7-43-0,94
