Team,Conf,Total,Team ID
Santa Clara,11-4-0,32-21-0,631
Saint Mary's (CA),11-4-0,28-22-0,610
Oregon St.,7-8-0,24-23-0,528
LMU (CA),7-8-0,22-31-0,370
Pacific,5-10-0,16-33-0,534
San Diego,4-11-0,19-29-0,627
