Team,Conf,Total,Team ID
Eastern Ky.,6-0-0,24-4-0,202
North Florida,6-0-0,22-8-0,2711
North Ala.,5-1-0,24-9-0,487
FGCU,5-1-0,22-12-0,28755
Bellarmine,3-3-0,11-17-0,52
Stetson,3-3-0,12-20-0,678
Jacksonville,2-4-0,12-17-0,316
Central Ark.,2-4-0,10-21-0,1004
Kennesaw St.,2-4-0,10-22-0,1157
Austin Peay,2-5-0,15-16-0,43
Lipscomb,1-6-0,11-20-0,28600
Queens (NC),0-6-0,13-15-0,11504
