Team,Conf,Total,Team ID
St. Thomas (MN),13-4-0,32-17-0,620
Omaha,16-5-0,37-11-0,464
South Dakota St.,13-6-0,28-25-0,649
South Dakota,12-10-0,30-22-0,650
North Dakota,8-13-0,26-30-0,494
North Dakota St.,6-13-0,19-31-0,493
Kansas City,1-18-0,5-43-0,2707
