Team,Conf,Total,Team ID
Chattanooga,2-0-0,20-8-0,693
UNC Greensboro,1-0-0,17-14-0,459
Furman,2-0-0,15-14-0,244
Mercer,1-0-0,11-15-0,406
Wofford,0-1-0,10-11-0,2915
Western Caro.,0-2-0,7-14-0,769
Samford,0-2-0,6-22-0,625
ETSU,0-1-0,4-15-0,198
