Team,Conf,Total,Team ID
Southeastern La.,5-1-0,26-8-0,655
McNeese,8-2-0,21-14-0,402
Lamar University,3-1-0,18-13-0,346
UIW,4-2-0,16-12-0,2743
Houston Christian,5-4-0,12-17-0,287
A&M-Corpus Christi,3-3-0,9-20-0,26172
Nicholls,1-7-0,12-20-0,483
Northwestern St.,0-9-0,2-28-0,508
