Team,Conf,Total,Team ID
Texas Tech,5-1-0,24-9-0,700
Arizona,7-3-0,29-5-0,29
Iowa St.,4-2-0,14-14-0,311
BYU,4-3-0,20-7-0,77
Oklahoma St.,4-3-0,19-8-0,521
Arizona St.,5-4-0,23-10-0,28
Kansas,3-3-0,15-12-0,328
UCF,3-6-0,21-14-1,128
Utah,2-4-0,10-23-0,732
Houston,2-5-0,17-11-0,288
Baylor,2-7-0,13-20-0,51
