Team,Conf,Total,Team ID
Delaware,19-3-0,36-9-0,180
Campbell,17-5-0,29-19-1,115
Stony Brook,16-6-0,32-13-0,683
UNCW,14-8-0,25-19-0,460
Hofstra,13-9-0,17-23-0,283
Elon,13-9-0,19-26-0,1068
Drexel,9-12-0,14-26-0,191
Monmouth,8-13-0,16-30-0,439
Towson,8-14-0,20-29-0,711
Hampton,6-16-0,15-31-0,270
N.C. A&T,5-17-0,11-32-0,488
Col. of Charleston,3-19-0,9-34-0,1014
