Team,Conf,Total,Team ID
Liberty,19-5-0,31-21-0,355
Western Ky.,16-7-0,31-18-1,772
New Mexico St.,13-10-0,28-22-0,472
Louisiana Tech,13-11-0,31-20-0,366
Jacksonville St.,12-11-0,23-28-0,315
UTEP,10-13-0,25-19-0,704
Sam Houston,8-15-0,20-30-0,624
FIU,8-16-0,21-29-0,231
Middle Tenn.,6-17-0,20-31-0,419
