Team,Conf,Total,Team ID
Texas,7-2-0,34-3-0,703
Oklahoma,9-3-0,31-3-0,522
LSU,6-3-0,32-4-0,365
Texas A&M,6-3-0,32-5-0,697
Florida,6-3-0,33-6-0,235
Mississippi St.,6-3-0,30-8-0,430
Ole Miss,5-4-0,28-6-0,433
Tennessee,5-4-0,29-7-0,694
Arkansas,6-6-0,26-7-0,31
South Carolina,4-5-0,28-7-0,648
Alabama,4-5-0,27-13-0,8
Kentucky,5-7-0,22-15-0,334
Georgia,4-8-0,25-11-0,257
Missouri,2-7-0,20-18-0,434
Auburn,0-12-0,22-14-0,37
