Team,Conf,Total,Team ID
Villanova,14-2-0,23-18-0,739
Seton Hall,11-6-0,21-16-0,635
UConn,10-7-0,23-21-0,164
Creighton,9-7-0,25-19-0,169
St. John's (NY),10-9-0,21-23-0,603
Butler,9-10-0,20-23-0,87
Providence,8-10-0,18-20-0,556
Georgetown,3-13-0,12-25-0,251
DePaul,3-13-0,8-30-0,176
