Team,Conf,Total,Team ID
Boston U.,0-0,7-0-0,68
Bucknell,0-0,2-5-0,83
Colgate,0-0,1-4-0,153
Army West Point,0-0,0-7-0,725
Lafayette,0-0,0-1-0,342
Lehigh,0-0,0-4-0,352
Holy Cross,0-0,0-0,285
