Team,Conf,Total,Team ID
Cleveland St.,8-1-0,15-14-0,148
Purdue Fort Wayne,5-1-0,10-17-0,308
Robert Morris,9-2-0,19-10-0,579
Northern Ky.,7-4-0,18-19-0,505
Oakland,4-8-0,9-19-0,514
Detroit Mercy,4-8-0,7-23-0,184
Youngstown St.,3-9-0,11-30-0,817
Green Bay,1-8-0,9-20-0,794
