Team,Conf,Total,Team ID
Southern Ill.,15-3-0,31-8-0,659
Belmont,15-6-0,27-13-0,14927
UNI,10-5-0,22-15-0,504
Bradley,11-8-0,22-22-0,72
Illinois St.,11-8-0,17-27-0,299
UIC,9-11-0,16-27-0,302
Drake,6-9-0,18-20-0,189
Indiana St.,6-9-0,18-22-0,305
Evansville,7-11-0,12-29-0,219
Missouri St.,7-11-0,11-28-0,669
Murray St.,7-12-0,19-25-0,454
Valparaiso,2-13-0,8-30-0,735
