Team,Conf,Total,Team ID
San Diego St.,13-3-0,26-14-0,626
Nevada,12-6-0,36-12-0,466
UNLV,10-5-0,27-14-0,465
Fresno St.,9-6-0,29-15-0,96
Boise St.,7-8-0,27-20-0,66
Colorado St.,6-7-0,23-15-0,156
Utah St.,5-13-0,22-24-0,731
New Mexico,4-11-0,12-35-0,473
San Jose St.,3-10-0,14-23-0,630
