Team,Conf,Total,Team ID
Princeton,4-0-0,9-12-0,554
Yale,5-2-0,15-14-0,813
Dartmouth,4-2-0,10-11-0,172
Columbia,4-2-0,10-12-0,158
Cornell,3-3-0,11-9-0,167
Brown,2-3-0,14-9-0,80
Harvard,2-4-0,13-8-0,275
Penn,0-8-0,2-22-0,540
