Team,Conf,Total,Team ID
Grand Canyon,0-0,22-4-0,1104
Seattle U,0-0,17-9-0,1356
UT Arlington,0-0,17-10-0,702
Tarleton St.,0-0,16-12-0,1395
California Baptist,0-0,13-14-0,30135
SFA,0-0,13-15-0,676
Utah Tech,0-0,10-18-0,30095
Utah Valley,0-0,7-17-0,30024
Southern Utah,0-0,7-18-0,667
Abilene Christian,0-0,7-22-0,2
