Team,Conf,Total,Team ID
Prairie View,2-0-0,7-13-0,553
Jackson St.,9-1-0,15-8-0,314
Florida A&M,8-1-0,10-13-0,228
Bethune-Cookman,5-1-0,7-19-0,61
Southern U.,3-2-0,5-10-0,665
Alabama St.,4-4-0,11-15-0,7
Grambling,2-2-0,5-11-0,261
Texas Southern,1-2-0,6-7-0,699
Ark.-Pine Bluff,1-5-0,4-10-0,2678
Alabama A&M,1-7-0,3-14-0,6
Mississippi Val.,1-9-0,2-17-0,432
Alcorn,0-3-0,3-15-0,17
