Team,Conf,Total,Team ID
Howard,8-1-0,14-17-0,290
Morgan St.,7-2-0,11-19-0,446
Norfolk St.,6-3-0,13-15-0,485
Delaware St.,5-4-0,16-14-0,178
N.C. Central,4-5-0,7-26-0,489
South Carolina St.,4-7-0,8-16-0,647
Coppin St.,3-8-0,3-18-0,165
UMES,1-8-0,2-26-0,393
