Team,Conf,Total,Team ID
Marist,26-2-1,47-7-1,386
Siena,19-9-1,35-21-1,639
Fairfield,20-10-0,25-25-0,220
Rider,18-11-0,25-33-0,576
Iona,17-11-0,27-21-0,310
Canisius,17-12-0,26-25-0,116
Quinnipiac,13-14-0,18-27-0,562
Sacred Heart,12-14-0,21-27-0,590
Merrimack,9-15-0,11-32-0,410
Niagara,8-16-0,11-30-0,482
Manhattan,7-19-0,10-35-0,381
Mount St. Mary's,5-20-0,10-39-0,450
Saint Peter's,4-22-0,13-35-0,617
