Team,Conf,Total,Team ID
Liberty,6-1-0,16-12-0,355
Louisiana Tech,6-2-0,21-6-0,366
Western Ky.,6-2-0,20-9-1,772
New Mexico St.,6-3-0,16-12-0,472
UTEP,3-3-0,18-9-0,704
Middle Tenn.,3-5-0,15-19-0,419
Jacksonville St.,1-4-0,11-20-0,315
FIU,1-5-0,13-18-0,231
Sam Houston,0-7-0,11-18-0,624
