"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"10705","4502818","UT Arlington","Houston Christian",28077,"Abi Gutierrez",3,1,0,1,0,2,11,0,2,5
"10706","4500058","UT Arlington","UIW",28077,"Abi Gutierrez",3,3,1,2,0,0,13,0,3,5
"10707","4499295","UT Arlington","Illinois St.",28077,"Abi Gutierrez",3,1,0,1,0,1,12,0,2,6
"10708","4502881","Miles","Edward Waters",6887,"Abigail Boudreaux",3,9,8,2,0,0,22,1,7,2
"10709","4512855","Miles","Alabama Huntsville",6887,"Abigail Boudreaux",3,14,11,3,1,0,26,3,3,5
"10710","4501026","Memphis","Jackson St.",48890,"Abigail Morgan",3,7,3,1,0,0,17,0,5,3
"10711","4499707","Memphis","DePaul",48890,"Abigail Morgan",3,3,1,0,0,2,11,0,3,3
"10712","4513462","USC Beaufort","North Georgia",57107,"Abigail Ramirez",3,8,5,0,0,1,16,0,3,4
"10713","4514637","Emory & Henry","Bluefield St.",67879,"Abigail Street",3,3,0,0,1,2,13,0,1,6
"10714","4516313","Lee","Lincoln Memorial",74419,"Abigail Welbaum",3,4,1,3,0,1,15,0,0,7
"10715","4501941","Sam Houston","Louisiana Tech",77373,"Abigail Young",3,3,2,2,1,2,15,1,3,4
"10716","5249531","North Dakota St.","Kansas",7026,"Addie Bowers",3,2,1,0,1,2,12,0,2,5
"10717","5249530","North Dakota St.","Kansas",7026,"Addie Bowers",3,2,1,0,1,2,12,0,2,5
"10718","4499503","North Dakota St.","Kansas",7026,"Addie Bowers",3,2,1,0,1,2,12,0,2,5
"10719","4499012","Morehead St.","Bryant",67181,"Addie Stem",3,1,1,3,3,3,16,0,3,3
"10720","4504179","Morehead St.","Southern Ind.",67181,"Addie Stem",3,4,2,2,0,1,16,0,4,4
"10721","4503376","Pitt.-Johnstown","Northern St.",31534,"Addison Hilligsberg",3,7,4,1,0,3,17,0,3,3
"10722","4493245","Hawaii","Portland St.",38230,"Addison Kostrencich",3,7,2,0,0,0,17,0,4,4
