"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo","game_order"
"22838",6323960,"Central Okla.","Okla. Baptist",8037,"Kaylee Bradley",0.1,1,0,0,0,0,2,0,NA,NA,22838
"22839",6323960,"Okla. Baptist","Central Okla.",49418,"Morgan Max",2.2,1,2,2,1,0,9,0,NA,NA,22839
"22840",6323960,"Central Okla.","Okla. Baptist",81337,"Sydney Ward",2,5,3,0,0,1,12,2,NA,NA,22840
"22841",6323960,"Central Okla.","Okla. Baptist",65022,"Terin Ritz",3,5,3,0,0,2,15,1,NA,NA,22841
"22842",6323959,"Northwestern Okla.","Southwest Baptist",39068,"Kathryn Jones",2,5,3,0,0,0,11,1,NA,NA,22842
"22843",6323959,"Northwestern Okla.","Southwest Baptist",12295,"Madelyn Cason",3.1,2,0,1,0,2,12,0,NA,NA,22843
"22844",6323959,"Southwest Baptist","Northwestern Okla.",84603,"Shalie Wooden",5.2,9,2,0,0,5,22,0,NA,NA,22844
"22845",6323958,"Concordia-St. Paul","Minn. Duluth",12012,"Abi Carter",3.1,1,0,2,0,4,13,0,NA,NA,22845
"22846",6323958,"Minn. Duluth","Concordia-St. Paul",46801,"Allison Luoma",7,3,3,3,1,5,28,0,NA,NA,22846
"22847",6323958,"Concordia-St. Paul","Minn. Duluth",21219,"Tatum Dunlavy",4.2,4,7,9,0,1,24,0,NA,NA,22847
"22848",6323957,"UC-Colo. Springs","Tex. A&M-Kingsville",42736,"Autumn Kunze",3.1,9,7,0,1,5,20,1,NA,NA,22848
"22849",6323957,"UC-Colo. Springs","Tex. A&M-Kingsville",7154,"Kailey Bond",4,4,3,9,0,2,25,0,NA,NA,22849
"22850",6323955,"Colo. Sch. of Mines","Wingate",82509,"Allison Westbrook",2.2,3,2,3,0,1,10,0,NA,NA,22850
"22851",6323955,"Colo. Sch. of Mines","Wingate",71088,"Ellen Shull",2,4,0,1,0,1,13,0,NA,NA,22851
"22852",6323955,"Wingate","Colo. Sch. of Mines",69601,"Hali Scott",4,0,0,5,0,5,17,0,NA,NA,22852
"22853",6323955,"Wingate","Colo. Sch. of Mines",35974,"Jamie Horodecki",2,1,1,2,0,1,9,0,NA,NA,22853
"22854",6323955,"Colo. Sch. of Mines","Wingate",81780,"Taylor Wayne",2,3,4,3,1,0,13,0,NA,NA,22854
"22855",6323953,"San Fran. St.","Menlo",78190,"Nia Trinidad",7,7,0,0,0,7,26,0,NA,NA,22855
"22856",6323953,"Menlo","San Fran. St.",82862,"Shelby White",1,0,0,0,0,0,2,0,NA,NA,22856
"22857",6323952,"St. Mary's (TX)","MSU Denver",67523,"Ariella Saenz",3,2,0,0,0,2,11,0,NA,NA,22857
"22858",6323952,"St. Mary's (TX)","MSU Denver",2847,"Emily Ayala",4,4,0,2,0,2,17,0,NA,NA,22858
"22859",6323952,"MSU Denver","St. Mary's (TX)",66283,"Natalie Romero",6,5,3,3,0,3,27,0,NA,NA,22859
"22860",6323951,"Dominican (CA)","Stanislaus St.",74248,"Kassidy Stetler",3.1,1,1,3,1,2,13,0,NA,NA,22860
"22861",6323951,"Stanislaus St.","Dominican (CA)",773,"Victoria Alarcon",7,7,2,5,0,5,34,0,NA,NA,22861
"22862",6323950,"Mont. St. Billings","Northern St.",37840,"Caitlyn James",2.1,4,4,2,0,3,14,0,NA,NA,22862
"22863",6323950,"Mont. St. Billings","Northern St.",81712,"Emily Watters",2.1,3,1,1,0,1,13,0,NA,NA,22863
