"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"60","1902557","Penn St.","Maryland",14177,"Jessica Cummings",11.2,6,2,3,0,6,42,1,10,16
"61","1905114","Ole Miss","UCLA",37075,"Kaitlin Lee",11.2,14,7,3,1,1,49,1,15,15
"62","1883130","Winthrop","Syracuse",39756,"Kiley Majette",11.2,13,6,5,0,9,50,0,4,18
"63","1886797","Massachusetts","Central Ark.",15901,"Candace Denis",10.1,3,0,6,1,9,39,0,11,9
"64","1898135","UIC","Northern Ky.",27928,"Elaine Heflin",10.1,1,0,4,1,18,38,0,6,7
"65","1903523","Florida","Florida St.",3366,"Kelly Barnhill",10.1,7,3,0,0,21,38,2,5,5
"66","1905174","Oklahoma","Florida",38774,"Paige Lowary",10.1,8,2,1,0,7,38,0,19,3
"67","1896036","Bucknell","Lehigh",23028,"Raeanne Geffert",10.1,10,3,0,2,4,43,0,10,17
"68","1904509","Alabama","Texas A&M",48465,"Alexis Osorio",10,2,1,4,0,15,34,1,8,5
"69","1892711","Kansas","Baylor",53352,"Alexis Reid",10,8,3,3,1,4,44,1,18,7
"70","1892769","Kennesaw St.","Stetson",14387,"Alley Cutting",10,6,1,4,1,8,43,0,12,8
"71","1892267","Kennesaw St.","Stetson",14387,"Alley Cutting",10,5,0,4,0,8,39,0,15,5
"72","1902215","Portland St.","North Dakota",8419,"Alyssa Burk",10,3,0,5,0,6,38,0,5,19
"73","1901702","Southern Ill.","Evansville",32536,"Brianna Jones",10,7,0,0,0,11,38,0,8,11
"74","1897548","Quinnipiac","Sacred Heart",28638,"Casey Herzog",10,5,0,1,0,7,36,0,7,16
"75","1895727","Lamar University","Sam Houston",39038,"Ciara Luna",10,7,0,0,0,11,36,0,13,4
"76","1894070","Tennessee Tech","Austin Peay",37724,"Danielle Liberatore",10,9,3,6,0,14,45,0,3,10
"77","1890109","Georgia Tech","Syracuse",1401,"Emily Anderson",10,11,5,8,2,6,51,1,9,14
"78","1895683","Georgia Tech","NC State",1401,"Emily Anderson",10,4,3,2,2,8,38,1,9,11
"79","1902578","Houston Christian","Northwestern St.",45562,"Emily Mueller",10,9,0,1,1,2,41,0,18,8
"80","1883236","Georgia St.","Mississippi St.",60863,"Emily Soles",10,5,1,2,0,2,38,0,17,11
"81","1897908","Tulsa","Houston",68150,"Emily Watson",10,5,0,3,0,21,39,0,6,4
"82","1904526","Delaware St.","N.C. A&T",59172,"Hannah Shields",10,5,2,0,0,5,36,0,22,2
"83","1894493","UTEP","UTSA",20224,"Kaitlin Fifield",10,14,4,2,0,0,44,0,12,14
"84","1896691","Wisconsin","Iowa",43216,"Kaitlyn Menz",10,12,5,4,3,9,51,0,17,3
"85","1888097","UC Davis","Massachusetts",34022,"Katie Kibby",10,5,1,2,1,9,38,1,9,12
"86","1891582","Saint Mary's (CA)","Princeton",45431,"Katie Moss",10,5,0,3,0,13,38,0,7,10
"87","1898832","Elon","Towson",44317,"Kiandra Mitchum",10,7,2,3,0,5,40,2,7,18
"88","1900788","Loyola Chicago","UNI",32641,"Kiley Jones",10,8,0,2,0,0,38,0,16,12
"89","1904601","Weber St.","Montana",5888,"Kirtlyn Bohling",10,14,2,1,1,7,45,1,5,16
"90","1904272","Canisius","Niagara",68266,"Madi Weathers",10,7,2,1,0,8,40,2,8,14
"91","1882978","Michigan","Florida",4909,"Megan Betsa",10,6,1,6,3,12,43,0,11,5
"92","1900228","Michigan","Wisconsin",4909,"Megan Betsa",10,2,1,7,1,18,41,1,6,5
"93","1898832","Towson","Elon",15590,"Megan Dejter",10,6,1,1,0,1,35,0,13,14
"94","1901288","Louisville","Florida St.",28312,"Megan Hensley",10,11,4,3,0,9,42,1,4,15
"95","1882721","ULM","SIUE",13526,"Melanie Coyne",10,4,1,1,2,4,36,0,9,16
"96","1904601","Montana","Weber St.",29877,"Michaela Hood",10,11,0,4,0,4,44,0,13,11
"97","1902578","Northwestern St.","Houston Christian",7713,"Mikayla Brown",10,5,1,1,1,2,35,0,6,20
"98","1887602","Oklahoma","Tulsa",49212,"Paige Parker",10,2,0,1,0,7,33,0,9,13
"99","1887605","UNCW","Robert Morris",32779,"Peyton Jordan",10,10,1,1,0,7,42,1,20,1
"100","1904630","Louisiana Tech","Western Ky.",22215,"Preslee Gallaway",10,7,0,1,2,7,41,0,9,14
"101","1894188","Kent St.","Central Mich.",35927,"Ronnie Ladines",10,6,1,1,0,10,39,0,8,13
"102","1903904","UT Arlington","Texas St.",11540,"Samantha Clakley",10,8,3,2,1,4,40,0,16,7
"103","1899982","CSU Bakersfield","UC Riverside",19373,"Summer Evans",10,6,1,0,0,1,37,1,15,14
