"","game_id","team","opponent","player_id","player","pos","ab","r","h","rbi","hr","k","bb"
"1","6324416","Jessup","CSUSB",58439,"Aaliyah Pineda","C",6,0,1,1,0,0,1
"2","6324416","Jessup","CSUSB",54413,"Kylie Nunes","DP",7,1,0,0,0,3,0
"3","6324416","Jessup","CSUSB",81714,"Maddy Ybarra","SS",6,3,2,2,0,3,1
"4","6324416","Jessup","CSUSB",42667,"Madisyn Leffle","CF",6,2,1,0,0,1,1
"5","6324416","Jessup","CSUSB",27021,"Sarah Giles","1B",6,1,3,4,1,0,1
"6","6304989","Oklahoma","Long Beach St.",17500,"Abby Dayton","CF",6,1,2,1,0,0,0
"7","6305046","North Carolina","Coastal Carolina",13995,"Alex Coleman","RF",5,3,2,1,0,0,1
"8","6332963","Black Hills St.","Adams St.",80976,"Alyssa Wong","RF",4,2,2,1,0,0,2
"9","6323876","Hillsdale","Chaminade",12743,"Anna Chellman","3B",6,0,1,1,0,0,0
"10","6332963","Black Hills St.","Adams St.",56911,"Ashlynn Pauwels","1B",5,3,2,5,1,1,1
"11","6332963","Black Hills St.","Adams St.",24356,"Audrey Fouras","2B",6,2,2,0,0,1,0
"12","6317776","Toledo","UNC Greensboro",50283,"Audrey Miller","DP",5,1,2,4,1,2,1
"13","6304814","Ohio","UConn",22583,"Brenna Farmer","1B",6,1,3,6,0,1,0
"14","6324688","Nova Southeastern","Eckerd",43989,"Brenna Lokeinsky","SS",5,3,2,0,0,0,1
"15","6358043","Lyon","Ecclesia",51856,"Brianna Morquecho","SS",5,2,4,3,1,0,1
"16","6333066","Brandeis","Occidental",6653,"Brooke Boehmer","1B",4,2,1,2,0,0,2
"17","6324416","CSUSB","Jessup",8036,"Brooke Brazill","2B",6,1,0,0,0,0,0
"18","6316176","Houston","Nevada",78839,"Brooke Wells","1B",5,1,1,3,1,3,1
"19","6332880","Barry","Wingate",64408,"Brooklyn Rushton","2B",6,0,2,3,0,1,0
"20","6315287","ETSU","Kent St.",49844,"Brylee Mesusan","CF",6,1,1,1,0,1,0
"21","6315287","ETSU","Kent St.",81906,"Cameron Young","3B",5,2,3,0,0,1,1
"22","6332963","Black Hills St.","Adams St.",45762,"Carli Maley","3B",5,2,3,3,0,0,1
"23","6305046","North Carolina","Coastal Carolina",52952,"Carlie Myrtle","DH/1B",5,1,4,5,0,0,1
"24","6332880","Barry","Wingate",23245,"Caroline Figueroa","1B",5,2,2,2,1,1,1
"25","6324688","Nova Southeastern","Eckerd",20627,"Cassidy Duskin","LF",6,1,1,0,0,3,0
"26","6324688","Nova Southeastern","Eckerd",56752,"Cassidy Patterson","DP",6,1,2,0,0,0,0
"27","6358992","Centenary (LA)","Tex. A&M-Texarkana",71521,"Catherine Stokes","2B",5,0,0,0,0,1,1
"28","6332963","Black Hills St.","Adams St.",32677,"Desi Hernandez","DP/C",3,4,2,3,0,1,3
"29","6323876","Chaminade","Hillsdale",8007,"Desiree Bravo","CF",3,2,0,0,0,0,3
"30","6333016","Texas Woman's","Tex. Permian Basin",69261,"Elizabeth Smith","DP/1B",4,2,3,1,0,0,2
"31","6304989","Oklahoma","Long Beach St.",56407,"Ella Parker","RF",3,0,2,1,0,0,3
"32","6357987","UMass Lowell","UTSA",4334,"Emily Baumes","3B",4,0,1,2,0,0,2
"33","6304814","Ohio","UConn",33830,"Emma Hoffner","C",3,4,2,3,0,0,3
"34","6323876","Hillsdale","Chaminade",65617,"Emma Sather","CF",4,1,1,0,0,1,2
"35","6323876","Hillsdale","Chaminade",77025,"Emma Vis","1B",5,2,3,4,0,1,1
"36","6333066","Brandeis","Occidental",35368,"Erin Hunt","CF",3,2,2,2,0,0,3
"37","6324688","Nova Southeastern","Eckerd",64499,"Gianna Russo","2B",6,1,2,4,1,2,0
"38","6305097","App State","Miami (OH)",3956,"Grace Barrett","DP/SS",6,1,2,4,1,0,0
"39","6317776","UNC Greensboro","Toledo",43942,"Grace Loftin","CF",6,3,3,2,1,1,0
"40","6323876","Hillsdale","Chaminade",34718,"Hannah Hoverman","DP",3,2,1,1,0,0,3
"41","6333016","Texas Woman's","Tex. Permian Basin",74705,"Hawwa Townsend","RF",6,3,4,5,2,0,0
"42","6304814","Ohio","UConn",80394,"Izzie Wilson","LF",6,1,1,3,1,1,0
"43","6317776","UNC Greensboro","Toledo",67954,"Jessie Shipley","SS",6,1,1,0,0,1,0
"44","6305097","App State","Miami (OH)",27231,"Julia Girk","CF",5,0,1,0,0,3,1
"45","6324081","Lenoir-Rhyne","Flagler",46187,"Julia Mardigian","2B",3,2,3,2,1,0,3
"46","6305046","North Carolina","Coastal Carolina",63157,"Katherine Rodriguez","2B",5,3,2,2,0,0,1
"47","6332963","Adams St.","Black Hills St.",22315,"Kaylee Eyl","SS",6,3,3,3,0,0,0
"48","6333098","Simon Fraser","Academy of Art",17401,"Kristen Davyduke","1B",3,3,2,1,0,0,3
"49","6304814","Ohio","UConn",82048,"Lauren Yuhas","2B",5,3,1,1,0,0,1
"50","6305097","App State","Miami (OH)",28134,"Leah Gore","C",5,1,2,0,0,1,1
"51","6324283","Central Mo.","Maryville (MO)",6166,"Lexi Blackmon","CF",4,1,0,0,0,1,2
"52","6304814","UConn","Ohio",31495,"Lexi Hastings","LF",5,3,2,0,0,1,1
"53","6332963","Black Hills St.","Adams St.",68489,"Lily Simmons","SS",4,3,1,2,0,2,2
"54","6324416","CSUSB","Jessup",46438,"Lindsey Marschall","CF",6,1,2,1,0,3,0
"55","6305097","App State","Miami (OH)",30318,"Macy Hamby","SS/3B",5,0,1,0,0,2,1
"56","6333066","Brandeis","Occidental",45904,"Maddie Manes","RF",4,2,1,1,0,0,2
"57","6304814","Ohio","UConn",79757,"Maddie Wilcox","DP",4,1,1,3,1,2,2
"58","6316176","Nevada","Houston",13389,"Madison Clark","2B/DP",5,0,1,2,0,0,1
