"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"1","1682132","Jacksonville","Holy Cross",5042,"Alyssa Bilodeau",16,7,0,3,1,15,58,0,15,15
"2","1682132","Holy Cross","Jacksonville",45573,"Kelly Nelson",16,7,0,5,1,27,62,0,8,12
"3","1680086","Austin Peay","McNeese",51390,"Morgan Rackel",16,13,1,3,0,16,62,0,6,24
"4","1692033","Northern Ky.","Youngstown St.",23185,"Taylor Ginther",16,11,4,2,1,5,63,0,21,22
"5","1692033","Youngstown St.","Northern Ky.",31139,"Addy Jarvis",16.2,18,5,4,0,16,70,1,12,18
"6","1687249","Florida","Ole Miss",3299,"Kelly Barnhill",15,9,2,0,3,17,54,0,9,15
"7","1720783","USC Upstate","Longwood",4978,"Christina Biggerstaff",15.2,8,2,4,0,6,58,1,11,27
"8","1731241","Youngstown St.","Oakland",31139,"Addy Jarvis",13,12,4,4,2,12,56,1,12,13
"9","1689908","UCF","South Fla.",67639,"Alea White",13,8,2,2,0,7,49,1,16,15
"10","1689908","South Fla.","UCF",12887,"Georgina Corrick",13,7,0,1,0,10,47,0,14,15
"11","1731241","Oakland","Youngstown St.",15083,"Lauryn Debono",13,15,3,5,0,11,58,2,8,18
"12","1732693","LSU","Texas Tech",61689,"Shelbi Sunseri",13,9,4,3,0,8,53,0,15,16
"13","1693378","Monmouth","Iona",30650,"Alyssa Irons",12,6,0,3,1,13,46,0,13,9
"14","1693403","Hawaii","UC Davis",28629,"Brittany Hitchcock",12,5,1,1,0,13,44,1,17,5
"15","1687564","Providence","Creighton",1134,"Daniela Alvarez",12,8,3,2,2,8,47,2,14,12
"16","1686241","Western Ill.","South Dakota",30631,"Emily Ira",12,15,4,1,1,9,53,1,16,10
"17","1700270","UNI","Southern Ill.",59997,"Jaclyn Spencer",12,10,3,5,0,8,50,1,17,8
"18","1687398","California Baptist","Grand Canyon",60179,"Kellye Springstead",12,13,2,1,2,11,50,1,10,13
"19","1731180","Lipscomb","North Ala.",32118,"Mandy Jordan",12,6,0,4,0,9,44,0,6,19
"20","1732700","Michigan","James Madison",3890,"Meghan Beaubien",12,5,0,2,1,12,45,0,9,15
"21","1700149","Northern Ky.","Green Bay",23185,"Taylor Ginther",12,11,2,2,2,7,52,0,17,12
"22","1731213","Northern Colo.","Idaho St.",65496,"Valerie Vidal",12,8,1,3,0,7,48,1,13,16
"23","1691245","UNLV","San Jose St.",8269,"Breana Burke",12.2,14,4,2,1,6,54,0,16,13
"24","1731180","North Ala.","Lipscomb",22297,"Megan Garst",12.2,7,0,8,1,6,49,0,11,16
"25","1732700","James Madison","Michigan",23826,"Megan Good",12.2,7,1,6,2,8,50,0,17,10
"26","1693403","UC Davis","Hawaii",69631,"Brooke Yanez",11.1,7,2,1,1,18,41,1,5,9
"27","1700149","Green Bay","Northern Ky.",63009,"Greta Thompson",11.1,10,3,4,1,3,47,0,16,13
"28","1693378","Iona","Monmouth",70156,"Kara Zazzaro",11.1,6,1,0,3,17,43,0,5,11
"29","1677369","California Baptist","North Texas",60179,"Kellye Springstead",11.1,10,4,6,1,12,51,0,10,11
"30","1693118","Colorado St.","Boise St.",30394,"Bridgette Hutton",11,9,6,7,0,2,46,0,17,11
"31","1692910","UAlbany","UMBC",65360,"Celeste Verdolivo",11,3,0,2,0,3,39,0,10,20
"32","1730665","Chattanooga","Samford",29852,"Celie Hudson",11,13,2,1,0,9,48,0,13,9
"33","1691548","Middle Tenn.","Western Ky.",16479,"Corrina Dodd",11,9,2,9,0,2,50,1,13,16
"34","1691370","CSUN","Cal Poly",31008,"Jillian James",11,4,0,1,1,5,41,0,7,21
"35","1731208","Portland St.","Sacramento St.",56705,"Katie Schroeder",11,6,0,1,1,4,41,0,12,15
"36","1693122","NIU","Western Mich.",7760,"Mackenzie Bryan",11,11,2,2,1,4,47,0,21,6
"37","1687902","San Diego St.","UNLV",44115,"Marissa Moreno",11,6,0,3,0,6,43,0,11,15
"38","1731208","Sacramento St.","Portland St.",12865,"Savanna Corr",11,8,1,8,0,9,49,0,10,14
"39","1685537","Louisiana","McNeese",18337,"Summer Ellyson",11,10,4,1,1,11,43,1,13,5
"40","1720783","Longwood","USC Upstate",22498,"Sydney Gay",11,6,1,2,0,3,38,0,9,18
"41","1686241","South Dakota","Western Ill.",15847,"Alexis Devers",11.2,8,2,5,0,8,45,1,15,7
"42","1687902","UNLV","San Diego St.",8269,"Breana Burke",11.2,6,0,3,0,1,39,0,17,11
"43","1692922","Alabama","Kentucky",20781,"Montana Fouts",11.2,5,1,4,0,7,40,0,16,8
"44","1685727","SFA","Texas A&M",68004,"Kassidy Wilbur",10.1,7,2,4,0,10,42,1,5,16
"45","1691009","Loyola Chicago","NIU",31990,"Kiley Jones",10.1,9,4,1,2,1,43,0,19,8
"46","1692470","Georgia","South Carolina",40249,"Lauren Mathis",10.1,7,3,1,1,8,40,2,7,16
"47","1680163","Elon","Lipscomb",3153,"Abby Barker",10,12,5,7,1,0,50,1,8,21
"48","1731512","Weber St.","Portland St.",31313,"Addie Jensen",10,6,2,0,0,1,36,0,12,16
"49","1731590","ULM","Troy",10795,"Adrianna Chavarria",10,6,0,3,0,8,38,0,11,10
"50","1688390","Monmouth","Delaware",30650,"Alyssa Irons",10,8,4,2,3,6,43,0,10,12
"51","1689175","UCF","Wichita St.",65108,"Breanna Vasquez",10,5,2,4,0,7,42,1,5,16
"52","1692514","Auburn","Florida",26466,"Chardonnay Harris",10,5,1,4,0,17,40,0,6,7
"53","1680698","Middle Tenn.","Bethune-Cookman",16479,"Corrina Dodd",10,5,0,3,2,3,38,0,11,14
"54","1692910","UMBC","UAlbany",12698,"Courtney Coppersmith",10,6,1,2,0,6,38,0,8,14
"55","1724968","Northwestern","Wisconsin",68230,"Danielle Williams",10,8,4,2,2,12,42,1,11,6
"56","1690328","Rider","Saint Peter's",31921,"Debra Jones",10,2,1,3,0,12,34,0,7,10
"57","1732653","South Carolina","South Fla.",51515,"Dixie Raley",10,8,1,2,0,5,41,1,9,16
"58","1726646","Savannah St.","N.C. Central",16040,"Faith Dickerson",10,15,8,3,2,1,58,0,11,18
"59","1732653","South Fla.","South Carolina",12887,"Georgina Corrick",10,8,2,3,2,7,41,1,12,8
"60","1683154","Valparaiso","Lipscomb",47745,"Kelsie Packard",10,4,1,2,0,9,35,1,8,12
"61","1692765","N.C. Central","N.C. A&T",30275,"Kiara Hurley",10,3,0,0,2,7,35,0,6,15
"62","1693189","Troy","South Alabama",31683,"Leanna Johnson",10,6,4,1,0,13,37,2,3,13
"63","1685024","San Diego","CSU Bakersfield",17731,"Madison Earnshaw",10,8,0,1,0,3,41,0,18,8
"64","1695994","St. John's (NY)","Providence",44302,"Madison Morris",10,11,2,0,0,14,43,2,6,11
"65","1683154","Lipscomb","Valparaiso",32118,"Mandy Jordan",10,3,1,4,0,13,36,1,5,11
"66","1693131","Lipscomb","FGCU",32118,"Mandy Jordan",10,4,0,0,0,4,34,0,2,23
"67","1693131","FGCU","Lipscomb",42478,"Marissa Mesiemore",10,8,0,2,1,3,40,0,15,11
"68","1692744","Bowling Green","Akron",43027,"Meredith Miller",10,6,2,0,0,9,37,1,8,12
"69","1687249","Ole Miss","Florida",30923,"Molly Jacobsen",10,5,3,3,0,11,40,1,7,11
"70","1677853","North Dakota St.","Texas St.",65064,"Paige Vargas",10,8,3,4,1,7,43,1,13,9
"71","1732603","UCLA","Washington",22091,"Rachel Garcia",10,8,0,4,0,16,42,0,7,8
"72","1700296","LMU (CA)","Saint Mary's (CA)",39264,"Samantha Manti",10,2,0,3,1,7,38,0,10,13
"73","1679808","New Mexico St.","California",15989,"Samaria Diaz",10,13,1,1,0,7,43,0,6,14
