"","team_id","player_id","rank","player","h"
"1",782,13380,1,"Sydney Mckinney",93
"2",703,10072,2,"Janae Jefferson",85
"3",235,6138,2,"Kendra Falby",85
"4",366,17690,4,"Sierra Sacco",83
"5",30024,3045,5,"Madison Carr",82
"6",522,360,6,"Jocelyn Alo",81
"7",31,7289,6,"Danielle Gibson",81
"8",68,17405,6,"Kayla Roncin",81
"9",97,4928,9,"Megan Delgadillo",80
"10",363,16153,10,"Jaden Pone",79
"11",414,19148,11,"Karli Spaid",78
"12",433,21742,12,"Tate Whitley",77
"13",301,19377,12,"Avrey Steiner",77
"14",393,11212,14,"Tatum Kresley",76
"15",756,10999,15,"Baylee Klingler",75
"16",458,20787,16,"Bailey Vannoy",74
"17",257,14315,16,"Sara Mosley",74
"18",454,2136,16,"Logan Braundmeier",74
"19",361,12376,16,"Camryn Lyman",74
"20",528,5983,16,"Kiki Escobar",74
"21",110,15754,21,"Briana Perez",73
"22",600,17681,21,"Mekenzie Saban",73
"23",14927,3261,21,"Cheyenne Cavanaugh",73
"24",655,12904,21,"Aeriyl Mass",73
"25",703,18248,21,"Mia Scott",73
"26",7,5018,21,"Kindall Deramus",73
"27",365,3760,27,"Danieca Coffey",72
"28",1004,8533,27,"Tremere Harris",72
"29",107,570,27,"Tatum Anzaldo",72
"30",693,3883,27,"Emily Coltharp",72
"31",235,21206,31,"Skylar Wallace",71
"32",334,11173,31,"Kayla Kowalik",71
"33",255,10604,31,"Emma Kauf",71
"34",1104,14793,31,"Gianna Nicoletti",71
"35",294,11913,31,"Rheanne Lewis",71
"36",71,11344,31,"Greta L'esperance",71
"37",817,17398,31,"Yazmine Romero",71
"38",367,7858,38,"Carmyn Greenwood",70
"39",31,18601,38,"Kb Sides",70
"40",694,13873,38,"Kiki Milloy",70
"41",365,2210,38,"Ciara Briggs",70
"42",509,18482,38,"Skyler Shellmyer",70
"43",522,12400,43,"Grace Lyons",69
"44",487,2246,43,"Emma Broadfoot",69
"45",287,5683,43,"Shelby Echols",69
"46",418,2607,43,"Kristina Burkhardt",69
"47",235,11989,43,"Cheyenne Lindsey",69
"48",639,15459,43,"Isabella Pardo",69
"49",697,11718,49,"Haley Lee",68
"50",626,971,49,"Mac Barbara",68
"51",51,22036,49,"Mckenzie Wilson",68
"52",649,3064,49,"Rozelyn Carrillo",68
"53",164,12656,49,"Briana Marcelino",68
"54",587,17831,49,"Kyleigh Sand",68
"55",660,10893,49,"Lexi King",68
"56",522,10122,56,"Tiare Jennings",67
"57",128,3746,56,"Jada Cody",67
"58",27,9528,56,"Kayt Houston",67
"59",10411,10313,56,"Summer Johnson",67
"60",692,2467,56,"Haeli Bryson",67
"61",671,11163,56,"Stormy Kotzelnick",67
"62",664,4680,56,"Alyssa Davis",67
"63",631,20452,56,"Ashley Trierweiler",67
"64",434,11403,56,"Jenna Laird",67
"65",1004,21813,56,"Jenna Wildeman",67
"66",513,3612,56,"Emma Clark",67
"67",626,6003,56,"Bella Espinoza",67
"68",782,1025,68,"Addison Barnard",66
"69",26172,5756,68,"Pal Egan",66
"70",334,3754,68,"Erin Coffel",66
"71",110,22116,68,"Delanie Wisz",66
"72",29,18266,68,"Carlie Scupin",66
"73",305,15865,68,"Bella Peterson",66
"74",559,1284,68,"Rachel Becker",66
"75",234,11827,68,"Mack Leonard",66
"76",355,297,68,"Lou Allan",66
"77",234,6438,68,"Devyn Flaherty",66
"78",312,3117,68,"Nia Carter",66
"79",355,2910,68,"Kara Canetto",66
"80",576,14799,68,"Jessie Niegocki",66
"81",29,18758,81,"Allie Skaggs",65
"82",463,22376,81,"Camryn Ybarra",65
"83",529,2556,81,"Allee Bunker",65
"84",404,14300,81,"Gracie Morton",65
"85",68,9459,81,"Jen Horita",65
"86",43,15263,86,"Lexi Osowski-anderson",64
"87",539,11981,86,"Cassie Lindmark",64
"88",742,17036,86,"Emma Ritter",64
"89",29,15348,86,"Izzy Pacho",64
"90",513,8355,86,"Leea Hanks",64
"91",509,17559,86,"Jordyn Rudd",64
"92",355,9609,86,"Caroline Hudson",64
"93",433,17426,86,"Bre Roper",64
"94",695,6825,86,"Kaci Fuller",64
"95",742,6118,86,"Cameron Fagan",64
"96",248,4537,86,"Taylor Dadig",64
"97",697,22230,86,"Koko Wooley",64
"98",29,15779,86,"Jasmine Perezchica",64
"99",28,71,99,"Yannira Acuna",63
"100",1395,2936,99,"Georgia Capell",63
"101",129,19370,99,"Shannon Stein",63
"102",193,10612,99,"Jameson Kavel",63
"103",334,10270,99,"Lauren Johnson",63
"104",290,14605,99,"Camille Navarro",63
"105",175,18189,99,"Emma Schutter",63
"106",234,14355,99,"Kaley Mudge",63
"107",1004,2380,99,"Mary kate Brown",63
"108",674,7381,99,"Taylor Gindlesperger",63
"109",283,12630,99,"Chelsea Manto",63
"110",487,8463,99,"Lexie Harper",63
