"","team_id","player_id","rank","player","ip"
"1",651,4102,1,"Georgina Corrick",270.2
"2",71,7697,2,"Payton Gottshall",250.2
"3",459,18249,3,"Morgan Scott",249
"4",509,21878,4,"Danielle Williams",241
"5",670,14399,5,"Jessica Mullins",235
"6",249,11498,6,"Sierra Lange",230.2
"7",388,14696,7,"Sydney Nester",227.3
"8",674,20844,8,"Alana Vawter",226.2
"9",518,8337,9,"Lexie Handley",225
"10",363,813,10,"Sydney Backstrom",224.2
"11",514,2877,11,"Sydney Campbell",217.2
"12",366,15962,12,"Audrey Pickett",213.1
"13",796,18199,13,"Maddie Schwartz",213
"14",539,15543,14,"Bailey Parshall",212.1
"15",465,2181,15,"Jenny Bressler",211.2
"16",676,21800,16,"Kassidy Wilbur",210.1
"17",10411,9512,17,"Hannah Houge",208
"18",703,5263,18,"Hailey Dolcini",203.3
"19",609,21573,19,"Chloe Wendling",202
"20",817,2520,19,"Elle Buffenbarger",202
"21",742,17222,21,"Keely Rochard",201.1
"22",315,3109,22,"Kat Carter",201
"23",519,11100,22,"Mackensie Kohl",201
"24",418,19528,24,"Alex Storako",200.1
"25",664,11781,25,"Morgan Leinstock",199
"26",716,10272,26,"Leanna Johnson",196.2
"27",1004,1260,27,"Kayla Beaver",195.1
"28",37,15732,28,"Maddie Penta",195
"29",102,1489,29,"Marissa Bertuccio",194.1
"30",234,17837,29,"Kathryn Sandercock",194.1
"31",454,10003,29,"Hannah James",194.1
"32",650,5724,32,"Clara Edwards",193.2
"33",669,5129,32,"Steffany Dickerson",193.2
"34",774,6939,32,"Reily Galloway",193.2
"35",416,13786,35,"Ashley Miller",193.1
"36",7,7851,36,"Bailey Greenlee",191
"37",8,6627,37,"Montana Fouts",190
"38",108,2361,37,"Kenedi Brown",190
"39",68,1790,39,"Allison Boaz",187.1
"40",110,6159,40,"Megan Faraimo",187
"41",702,100,41,"Jessica Adams",186.2
"42",528,13059,42,"Mariah Mazon",186.1
"43",285,14667,43,"Kelly Nelson",185.1
"44",1157,1412,43,"Melanie Bennett",185.1
"45",626,913,45,"Maggie Balint",185
"46",550,7900,46,"Olivia Grey",184.1
"47",61,15219,47,"Hannah Ortega",183.2
"48",257,10777,47,"Madison Kerpics",183.2
"49",659,8454,49,"Sarah Harness",183.1
"50",305,1390,50,"Lexi Benko",182
"51",521,13013,51,"Kelly Maxwell",181.2
"52",756,16064,52,"Gabbie Plain",181.1
"53",600,12739,53,"Rachel Marsden",180
"54",772,14956,53,"Shelby Nunn",180
"55",229,7068,55,"Lynn Gardner",179.1
"56",654,17414,55,"Rachel Rook",179.1
"57",464,13696,57,"Kamryn Meyer",179
"58",255,14653,58,"Blake Neleman",178
"59",48,10506,59,"Annah Junge",177.2
"60",1092,12394,59,"Andrea Lyon",177.2
"61",128,12582,61,"Gianna Mancha",176.3
"62",129,11775,62,"Grace Lehto",176
"63",244,20540,62,"Sierra Tufts",176
"64",68,759,64,"Lizzy Avery",175.2
"65",587,20935,65,"Jaden Vickers",174.1
"66",649,7412,66,"Grace Glanzer",173.2
"67",406,16050,67,"Hannah Pitts",172.2
"68",112,3288,68,"Jada Cecil",172
"69",719,16093,68,"Samantha Pochop",172
"70",107,8210,70,"Sona Halajian",171.2
"71",683,1808,70,"Dawn Bodrug",171.2
"72",365,10846,72,"Ali Kilponen",171.1
"73",493,20802,72,"Paige Vargas",171.1
"74",497,15843,74,"Ashley Peters",171
"75",346,17586,75,"Aaliyah Ruiz",170.1
"76",367,17216,76,"Taylor Roby",169.2
"77",101,9996,77,"Kenedee Jamerson",168.1
"78",769,16875,77,"Savannah Rice",168.1
"79",115,997,79,"Georgeanna Barefoot",168
"80",590,11656,80,"Sarah Lawton",167.1
"81",355,10643,81,"Karlie Keeney",167
"82",153,13942,82,"Bailey Misken",166.2
"83",231,5545,83,"Kendahl Dunford",166.1
"84",504,15353,84,"Kailyn Packard",165.2
"85",725,5571,85,"Jolie Duong",165.1
"86",402,20725,86,"Ashley Vallejo",165
"87",692,611,86,"Alyssa Arden",165
"88",1104,20135,86,"Ariel Thompson",165
"89",371,15737,89,"Peyton Pepkowski",164.2
"90",463,6305,89,"Olivia Ferrell",164.2
"91",310,22524,91,"Kara Zazzaro",164.1
"92",219,20920,92,"Izzy Vetter",164
"93",414,20950,92,"Courtney Vierstra",164
"94",1004,10246,92,"Jordan Johnson",164
"95",235,9099,95,"Elizabeth Hightower",163.2
"96",428,11687,95,"Emily Leavitt",163.2
"97",635,18977,95,"Shelby Smith",163.2
"98",352,22430,98,"Katelyn Young",163.1
"99",184,14458,99,"Liz Murphy",163
"100",711,9933,100,"Julia Jackson",160.1
