"","team_id","player_id","rank","player","hr_a"
"1",2711,3660,1,"Morgan Clausen",0
"2",554,11599,2,"Alexis Laudenslager",1
"3",193,22274,2,"Jala Wright",1
"4",368,21717,4,"Ryley White",2
"5",87,7758,4,"Alyssa Graves",2
"6",153,13942,6,"Bailey Misken",3
"7",522,835,6,"Jordyn Bahl",3
"8",432,15377,6,"Daisy Page",3
"9",310,16972,6,"Samantha Rieb",3
"10",639,6428,6,"Ava Fitzmaurice",3
"11",554,1714,6,"Ali Blanchard",3
"12",1014,11794,6,"Payton Lemire",3
"13",416,13786,13,"Ashley Miller",4
"14",758,8854,13,"Arissa Henderson",4
"15",485,17157,13,"Alexis Robinson",4
"16",26172,7325,13,"Grace Gilbert",4
"17",51,1598,13,"Aliyah Binford",4
"18",314,9146,13,"Takiya Hill",4
"19",158,9133,13,"Jordan Hill",4
"20",460,8302,13,"Kara Hammock",4
"21",596,15927,13,"Emily Phelan",4
"22",370,15763,22,"Jenna Perez",5
"23",30135,619,22,"Alyssa Argomaniz",5
"24",2711,617,22,"Halle Arends",5
"25",47,17644,22,"Angelina Russo",5
"26",1356,12468,22,"Stefanie Madrigal",5
"27",1320,9031,22,"Morgan Hess",5
"28",391,12969,22,"Kya Matter",5
"29",716,887,22,"Libby Baker",5
"30",817,9569,22,"Sophie Howell",5
"31",639,15578,22,"Nicole Patille",5
"32",796,18199,32,"Maddie Schwartz",6
"33",493,20802,32,"Paige Vargas",6
"34",473,12011,32,"Amber Linton",6
"35",277,12169,32,"Brianna Lopez",6
"36",454,20853,32,"Jenna Veber",6
"37",508,9437,32,"Sage Hoover",6
"38",483,11769,32,"Paris Lehman",6
"39",392,22321,32,"Courtney Wyche",6
"40",639,17377,32,"Adriana Romano",6
"41",220,11273,32,"Katie Kudlacik",6
"42",90,347,32,"Krystyna Allman",6
"43",559,5677,32,"Alex Echazarreta",6
"44",47,10368,32,"Deborah Jones",6
"45",674,11202,32,"Regan Krause",6
"46",579,20832,32,"Dana Vatakis",6
"47",261,16883,32,"Dacia Richard",6
"48",817,2520,48,"Elle Buffenbarger",7
"49",108,2361,48,"Kenedi Brown",7
"50",627,17445,48,"Courtney Rose",7
"51",649,11034,48,"Tori Kniesche",7
"52",10411,10685,48,"Alyssa Kelly",7
"53",299,17471,48,"Hannah Ross",7
"54",625,15551,48,"Jordyn Partain",7
"55",66,849,48,"Hannah Bailey",7
"56",51,15192,48,"Dariana Orme",7
"57",393,7630,48,"Nasya Goodman",7
"58",450,1452,48,"Amanda Berkley",7
"59",180,22058,48,"Emily Winburn",7
"60",528,8179,48,"Sarah Haendiges",7
"61",691,12246,48,"Raven Loveless",7
"62",699,7204,48,"Jazmine Gendorf",7
"63",735,18312,48,"Easton Seib",7
"64",191,4559,48,"Brooklyn Daly",7
"65",391,4056,48,"Courtney Coppersmith",7
"66",275,16663,48,"Anna Reed",7
"67",410,13717,48,"Bry Michitson",7
"68",270,10152,48,"Kiaya Jeusi",7
"69",671,11422,48,"Kandra Lamb",7
"70",104,13883,48,"Lexy Mills",7
"71",631,5728,48,"Hannah Edwards",7
"72",107,599,48,"Haylei Archer",7
"73",454,10003,73,"Hannah James",8
"74",68,1790,73,"Allison Boaz",8
"75",244,20540,73,"Sierra Tufts",8
"76",101,9996,73,"Kenedee Jamerson",8
"77",725,5571,73,"Jolie Duong",8
"78",310,22524,73,"Kara Zazzaro",8
"79",572,12392,73,"Liz Lynchard",8
"80",600,20912,73,"Grace Vesco",8
"81",1320,7844,73,"Jenna Greene",8
"82",606,18632,73,"Emily Siler",8
"83",748,12074,73,"Scarlett Lloyd",8
"84",287,19730,73,"Lyndie Swanson",8
"85",110,786,73,"Holly Azevedo",8
"86",30135,3189,73,"Jazmine Castaneda",8
"87",147,20171,73,"Millie Thompson",8
"88",671,11470,73,"Sam Landry",8
"89",355,10930,73,"Emily Kirby",8
"90",556,387,73,"Daniela Alvarez",8
"91",28,12184,73,"Lindsay Lopez",8
"92",646,8422,73,"Jenna Hardy",8
"93",201,16710,73,"Alexa Rehmeier",8
"94",248,4029,73,"Carly Cooper",8
"95",630,2010,73,"Caroline Bowman",8
"96",61,15219,96,"Hannah Ortega",9
"97",521,13013,96,"Kelly Maxwell",9
"98",164,19062,96,"Elise Sokolsky",9
"99",294,16466,96,"Haley Rainey",9
"100",563,12883,96,"Jessie Marvin",9
"101",748,8595,96,"Eve Harvey",9
"102",128,22192,96,"Kama Woodall",9
"103",172,16086,96,"Brooke Plonka",9
"104",460,22091,96,"Emily Winstead",9
"105",610,5642,96,"Sofia Earle",9
"106",556,7938,96,"Tori Grifone",9
"107",270,22244,96,"Emily Workman",9
"108",175,8083,96,"Kelsey Gumm",9
"109",77,19984,96,"Chloe Temples",9
"110",165,3067,96,"Vanessa Carrizosa",9
"111",485,20726,96,"Joana Vallejo",9
"112",446,9732,96,"Anaya Hunte",9
"113",101,12816,96,"Alexis Martinez",9
"114",697,9024,96,"Makinzy Herzog",9
"115",328,2284,96,"Katie Brooks",9
