"","team_id","player_id","rank","player","era"
"1",689,23940,1,"Mary beth Feldman",0.708
"2",30220,2756,2,"Paige Austin",0.84
"3",947,44053,3,"Shannon Lasey",0.841
"4",1057,5910,4,"Kristina Bettis",0.852
"5",383,81883,5,"Mackenzie Ward",0.924
"6",262,4755,6,"Hannah Beatus",0.932
"7",30191,19377,7,"Paityn Desormeaux",0.995
"8",3,25182,8,"Claire Fon",1.044
"9",689,26678,9,"Mariah Galhouse",1.081
"10",309,72866,10,"Kenzee Smith",1.104
"11",30063,67854,11,"Morgan Ryan",1.11
"12",41,52573,12,"Ashley Mickschl",1.179
"13",30180,54148,13,"Andrea Morales",1.186
"14",584,85374,14,"Ashley Worrell",1.243
"15",533,27072,15,"Gisselle Garcia",1.309
"16",30093,28736,16,"Alanna Goble",1.334
"17",30180,34972,17,"M'kayla Hillman",1.348
"18",593,34668,18,"Haile Hicks",1.349
"19",24639,15156,19,"Ashley Connor",1.393
"20",3,34619,20,"Lindsey Hibbs",1.399
"21",95,43981,21,"Brooke Larsen",1.499
"22",638,3513,22,"Alicia Ball",1.516
"23",309,25464,23,"Haylie Foster",1.556
"24",9630,36705,24,"Hannah Hudson",1.56
"25",30198,16219,25,"Savannah Coyle",1.568
"26",1376,61739,26,"Kiana Pogroszewski",1.595
"27",1438,1498,27,"Makenzie Amend",1.61
"28",197,86347,28,"Katie Zaun",1.637
"29",598,39693,29,"Trinity Junker",1.644
"30",30119,46257,30,"Sydney Long",1.661
"31",9004,28325,31,"Mikayla Gilgert",1.691
"32",30146,42359,32,"Katie Korstrom",1.706
"33",49,4025,33,"Maci Barnhart",1.728
"34",1274,7358,34,"Sidney Booth",1.753
"35",74,9932,35,"Katie Burawski",1.796
"36",734,65012,36,"Samantha Richards",1.806
"37",608,70865,37,"Morgan Shannon",1.808
"38",696,12512,38,"Saidi Castillo",1.811
"39",41,22401,39,"Amber Elliott",1.82
"40",645,66257,40,"Camille Rodriguez",1.822
"41",2814,28496,41,"Jaycee Ginter",1.825
"42",11416,49737,42,"Shea Mauser",1.83
"43",436,69135,43,"Annie Scaramuzzi",1.858
"44",1245,41132,44,"Hannah Killough",1.863
"45",241,29242,45,"Sabrina Gonzalez",1.878
"46",106,65441,46,"Caleigh Rister",1.879
"47",30118,40617,47,"Shelby Keltner",1.888
"48",30055,47891,48,"Jensen Main",1.908
"49",1009,47256,49,"Kylee Lynch",1.914
"50",13028,49767,50,"Laken Maxwell",1.944
"51",339,3179,51,"Bridget Bailey",1.956
"52",30002,70534,52,"Ashlan Sensing",1.971
"53",767,81061,53,"Heidi Vortherms",1.979
"54",591,55129,54,"Julia Mundy",1.985
"55",427,20158,55,"Lauren Dixon",1.995
"56",591,19238,56,"Emily Depew",2.017
"57",2696,77654,57,"Taylor Thompson",2.028
"58",1346,12674,58,"Catalina Cavazos",2.031
"59",30124,5791,59,"Casey Bertke",2.043
"60",9680,14817,60,"Kelsi Collins",2.046
"61",645,21478,61,"Jesse Dupuis",2.06
"62",262,22171,62,"Genesis Eggart",2.067
"63",30028,28837,63,"Tatum Goff",2.092
"64",30198,72525,64,"Jayline Sloss",2.111
"65",995,17549,65,"Kayla Daly",2.123
"66",11403,31800,66,"Alexis Hamilton",2.141
"67",24639,34503,67,"Emily Hess",2.155
"68",638,24777,68,"Emma Flattery",2.164
"69",30220,67292,69,"Raylene Roybal",2.25
"70",12830,68811,70,"Emily Sappington",2.269
"71",280,67685,71,"Joni Russell",2.278
"72",9630,57520,72,"Abigail O'shields",2.279
"73",2683,16371,73,"Abby Craver",2.3
"74",790,59768,74,"Liz Pautz",2.312
"75",30052,33414,75,"Delaney Heaberlin",2.319
"76",1170,63375,76,"Lauren Rakes",2.324
"77",103,59022,77,"Delaney Pamplin",2.335
"78",1343,45225,78,"Chloe Leverington",2.344
"79",9013,63252,79,"Sydney Rader",2.355
"80",395,34351,80,"Emersen Heron",2.36
"81",92,83703,81,"Ashley Wies",2.375
"82",230,33906,82,"Alex Hendrian",2.391
"83",1390,80266,83,"Jodie Vaughn",2.394
"84",246,19034,84,"Kennedy Dematteis",2.406
"85",1448,9288,85,"Sydney Brown",2.407
"86",947,9769,86,"Bailey Buffington",2.409
"87",1376,81906,87,"Sydney Ward",2.412
"88",30138,62976,88,"Ellie Quaethem",2.424
"89",30177,79688,89,"Maxine Valdez",2.432
"90",30177,25715,90,"Taylor Franco",2.434
"91",720,75214,91,"Ayriana Stoneback",2.47
"92",510,25751,92,"Shayna Frank",2.498
"93",470,37640,93,"Mia Iodice",2.504
"94",30050,46249,94,"Payton Long",2.548
"95",1438,59558,95,"Annie Paterson",2.572
"96",1126,64487,96,"Ashley Remington",2.573
"97",568,32470,97,"Kylie Harpman",2.577
"98",30052,18068,98,"Kristen Davis",2.591
"99",25,2306,99,"Genesis Armendariz",2.604
"100",159,15577,100,"Hannah rose Corbin",2.609
