"","team_id","player_id","rank","player","rc"
"1",458,80055,1,"Bailey Vannoy"," 46.47"
"2",317,29447,2,"Kate Gordon"," 45.37"
"3",334,48857,3,"Alex Martens"," 43.91"
"4",108,66591,4,"Alyse Rojas"," 42.78"
"5",388,62956,5,"Saige Pye"," 36.40"
"6",463,22146,6,"Tristen Edwards"," 36.15"
"7",739,63848,7,"Paige Rauch"," 36.04"
"8",1092,1265,8,"Weslyn Almond"," 35.81"
"9",28,31316,9,"Kindra Hackbarth"," 35.35"
"10",257,9473,10,"Ciara Bryan"," 34.78"
"11",47,59857,11,"Stacy Payton"," 34.50"
"12",388,74849,12,"Mya Stevenson"," 33.55"
"13",28,78306,13,"Alynah Torres"," 32.39"
"14",472,46452,14,"Ramsay Lopez"," 31.80"
"15",756,41743,15,"Baylee Klingler"," 31.76"
"16",697,34486,16,"Makinzy Herzog"," 31.66"
"17",703,38370,16,"Janae Jefferson"," 31.66"
"18",434,40910,18,"Cayla Kessinger"," 31.38"
"19",235,21921,19,"Charla Echols"," 31.33"
"20",430,44861,20,"Ulufa Leilua"," 31.22"
"21",1092,58591,21,"Autumn Owen"," 31.09"
"22",388,32481,22,"Aly Harrell"," 30.87"
"23",522,1274,23,"Jocelyn Alo"," 30.85"
"24",299,45058,24,"Mack Leonard"," 30.67"
"25",328,27667,25,"Shelby Gayre"," 30.50"
"26",368,12345,26,"Courtney Cashman"," 30.46"
"27",29,32447,27,"Jessie Harper"," 30.44"
"28",490,25255,28,"Taty Forbes"," 30.26"
"29",370,30756,29,"Molly Grumbo"," 29.89"
"30",294,7387,30,"Emma Bordenkecher"," 29.86"
"31",235,45598,31,"Kendyl Lindaman"," 29.69"
"32",77,38544,32,"Rylee Jensen"," 29.58"
"33",521,23849,33,"Alysen Febrey"," 29.54"
"34",334,60912,34,"Mallory Peyton"," 29.47"
"35",101,74822,35,"Megan Stevens"," 29.44"
"36",30095,36826,36,"Hannah Hughbanks"," 29.36"
"37",107,72923,37,"Makena Smith"," 29.33"
"38",29,59000,38,"Alyssa Palomino"," 29.31"
"39",428,19128,39,"Natalie Denhartog"," 29.16"
"40",147,10803,40,"Valerie Cagle"," 28.99"
"41",355,6296,41,"Amber Bishop"," 28.89"
"42",676,29645,42,"Shaylon Govan"," 28.73"
"43",43,58423,43,"Lexi Osowski-anderson"," 28.54"
"44",257,24420,44,"Lacey Fincher"," 28.52"
"45",703,10106,45,"Lauren Burke"," 28.50"
"46",706,46597,46,"Celeste Loughman"," 28.42"
"47",419,17232,47,"Lexi Cushing"," 28.39"
"48",147,30966,48,"Marissa Guimbarda"," 27.95"
"49",28,31317,49,"Maddi Hackbarth"," 27.75"
"50",311,84206,50,"Sami Williams"," 27.64"
"51",796,42270,51,"Kayla Konwent"," 27.30"
"52",257,42989,52,"Sydney Kuma"," 27.22"
"53",108,45027,53,"Isabella Leon"," 27.14"
"54",742,5426,54,"Kelsey Bennett"," 27.00"
"55",180,28588,55,"Brooke Glanden"," 26.83"
"56",28,34871,56,"Jazmine Hill"," 26.76"
"57",219,23898,57,"Jessica Fehr"," 26.67"
"58",434,66638,58,"Jazmyn Rollin"," 26.49"
"59",388,36744,59,"Sierra Huerta"," 26.31"
"60",772,75849,59,"Kennedy Sullivan"," 26.31"
"61",334,80634,61,"Bailey Vick"," 26.28"
"62",110,39472,62,"Aaliyah Jordan"," 26.25"
"63",529,16825,63,"Haley Cruse"," 26.07"
"64",630,8971,64,"Suzy Brookshire"," 25.99"
"65",96,84502,65,"Mckenzie Wilson"," 25.89"
"66",559,82473,66,"Skye Webb"," 25.85"
"67",694,70362,67,"Chelsea Seggern"," 25.84"
"68",1395,16818,68,"Destiny Crumpley"," 25.81"
"69",193,38001,69,"Caroline Jacobsen"," 25.71"
"70",253,25942,70,"Mekhia Freeman"," 25.69"
"71",305,72116,71,"Leslie Sims"," 25.59"
"72",257,54749,72,"Sara Mosley"," 25.56"
"73",317,39642,73,"Sara Jubas"," 25.50"
"74",635,1190,74,"Baylee Allender"," 25.42"
"75",664,63955,75,"Madison Rayner"," 25.27"
"76",28755,67244,76,"Johneisha Rowe"," 25.07"
"77",102,18269,77,"Lewa Day"," 24.90"
"78",1395,11452,78,"Georgia Capell"," 24.89"
"79",196,50312,79,"Rachel Mccollum"," 24.88"
"80",782,60508,80,"Madison Perrigan"," 24.82"
"81",674,16126,81,"Teaghan Cowles"," 24.81"
"82",529,13757,82,"Rachel Cid"," 24.65"
"83",706,30760,82,"Riley Grunberg"," 24.65"
"84",465,23861,84,"Justine Federe"," 24.64"
"85",472,10537,85,"Nikki Butler"," 24.52"
"86",521,55701,86,"Kiley Naomi"," 24.38"
"87",522,32156,87,"Kinzie Hansen"," 23.93"
"88",30024,20689,88,"Abby Doughty"," 23.86"
"89",664,75887,89,"Lacey Sumerlin"," 23.76"
"90",251,25376,90,"Mae Forshey"," 23.75"
"91",1157,19727,91,"Brea Dickey"," 23.69"
"92",472,23371,92,"Matalasi Faapito"," 23.65"
"93",609,84766,93,"Sadie Wise"," 23.62"
"94",654,1751,94,"Rachel Anderson"," 23.57"
"95",202,53001,95,"Sammi Miller"," 23.52"
"96",521,60211,96,"Sydney Pennington"," 23.44"
"97",430,17880,97,"Mia Davidson"," 23.43"
"98",11504,50493,98,"Mckenzie Mccullen"," 23.21"
"99",742,3204,99,"Jayme Bailey"," 23.07"
"100",277,33590,100,"Callee Heen"," 22.99"
